Investment and Capital Stock (ICSD),,,,,,,,,,,,,,,,,,
,2013,,2014,,2015,,2016,,2017,,2018,,2019,,,,,
Afghanistan,69.44,,71.58,,70.56,,71.73,,73.63,,74.80,,77.81,,,,,
Albania,31.34,,31.89,,32.60,,33.68,,34.96,,36.38,,37.19,,,,,
Algeria,419.11,,435.03,,451.13,,465.57,,471.62,,477.28,,481.10,,,,,
Angola,223.46,,234.23,,236.44,,230.34,,230.00,,225.39,,222.01,,,,,
Antigua and Barbuda,1.17,,1.21,,1.26,,1.33,,1.37,,1.46,,1.51,,,,,
Argentina,"1,015.00",,989.50,,"1,016.53",,995.38,,"1,021.94",,996.58,,975.02,,,,,
Armenia,33.15,,34.35,,35.47,,35.53,,38.20,,40.19,,43.24,,,,,
Aruba,2.78,,2.79,,2.95,,3.01,,3.07,,3.09,,3.07,,,,,
Australia,"1,107.68",,"1,135.93",,"1,161.97",,"1,194.02",,"1,223.84",,"1,257.80",,"1,280.61",,,,,
Austria,448.27,,451.91,,456.15,,465.20,,476.82,,488.82,,495.89,,,,,
Azerbaijan,137.47,,141.32,,142.80,,138.43,,138.64,,140.72,,143.84,,,,,
"Bahamas, The",11.54,,11.66,,11.69,,11.86,,12.23,,12.60,,12.75,,,,,
Bahrain,63.68,,66.45,,68.35,,70.79,,73.55,,74.86,,76.22,,,,,
Bangladesh,505.76,,536.42,,571.57,,612.23,,656.82,,708.47,,766.23,,,,,
Barbados,3.21,,3.20,,3.28,,3.36,,3.38,,3.36,,3.36,,,,,
Belarus,195.94,,199.36,,191.73,,187.00,,191.76,,197.80,,200.27,,,,,
Belgium,537.92,,546.42,,557.57,,564.63,,573.71,,584.11,,594.30,,,,,
Belize,2.15,,2.22,,2.29,,2.29,,2.33,,2.38,,2.39,,,,,
Benin,24.59,,27.80,,31.42,,32.47,,34.31,,36.61,,39.12,,,,,
Bhutan,6.64,,6.91,,7.36,,7.96,,8.33,,8.59,,8.91,,,,,
Bolivia,76.19,,80.35,,84.25,,87.85,,91.53,,95.40,,97.51,,,,,
Bosnia and Herzegovina,38.19,,38.63,,39.82,,41.08,,42.38,,43.96,,45.14,,,,,
Botswana,32.50,,33.85,,33.27,,34.71,,35.71,,37.31,,38.42,,,,,
Brazil,"3,123.78",,"3,139.52",,"3,028.20",,"2,929.00",,"2,967.75",,"3,006.84",,"3,041.02",,,,,
Brunei Darussalam,28.44,,27.72,,27.61,,26.93,,27.29,,27.30,,28.36,,,,,
Bulgaria,132.92,,135.43,,140.83,,146.21,,151.34,,156.02,,161.78,,,,,
Burkina Faso,30.19,,31.50,,32.73,,34.68,,36.83,,39.31,,41.55,,,,,
Burundi,8.01,,8.35,,8.32,,8.58,,8.94,,9.09,,9.25,,,,,
Cabo Verde,3.35,,3.37,,3.41,,3.57,,3.70,,3.87,,4.09,,,,,
Cambodia,48.29,,51.70,,55.34,,59.15,,63.29,,68.14,,72.80,,,,,
Cameroon,71.35,,75.54,,79.81,,83.52,,86.49,,90.00,,93.47,,,,,
Canada,"1,636.82",,"1,683.80",,"1,694.90",,"1,711.87",,"1,766.15",,"1,801.71",,"1,831.55",,,,,
Central African Republic,3.73,,3.73,,3.89,,4.08,,4.26,,4.42,,4.56,,,,,
Chad,23.00,,23.87,,24.97,,24.29,,23.72,,24.26,,24.98,,,,,
Chile,394.07,,401.03,,410.27,,417.29,,422.25,,438.92,,443.55,,,,,
China,"13,956.69",,"14,840.27",,"15,410.06",,"16,013.16",,"16,705.46",,"17,381.44",,"18,025.05",,,,,
Colombia,622.60,,650.61,,669.84,,683.82,,693.12,,710.55,,733.72,,,,,
Comoros,2.22,,2.31,,2.35,,2.42,,2.55,,2.65,,2.73,,,,,
