,solar,volcanic
1750.5,0.097590262,0.199978066
1751.5,0.079243973,0.199990368
1752.5,0.049166043,0.199994508
1753.5,0.012988284,0.199995892
1754.5,-0.021426608,0.199996357
1755.5,-0.045903927,0.173027884
1756.5,-0.053485812,-0.077672576
1757.5,-0.034343893,0.066351195
1758.5,0.017013236,0.153268066
1759.5,0.067512332,0.184216499
1760.5,0.092395267,0.194692096
1761.5,0.086248636,0.198214589
1762.5,0.064158206,-0.806271446
1763.5,0.030819754,-0.495250595
1764.5,-0.005935226,-0.049791932
1765.5,-0.035779147,0.115351391
1766.5,-0.049897677,-0.20472549
1767.5,-0.036715182,-0.262005657
1768.5,0.019446927,0.026420788
1769.5,0.085593411,0.140854668
1770.5,0.117262601,0.033996593
1771.5,0.109711917,0.092364024
1772.5,0.086779056,0.161483452
1773.5,0.050835306,0.186952381
1774.5,0.010086575,0.195610024
1775.5,-0.025638766,0.198522881
1776.5,-0.046793161,0.199501557
1777.5,-0.042986618,0.199830301
1778.5,0.001646658,0.199940734
1779.5,0.07305054,0.199977834
1780.5,0.115827347,0.199990297
1781.5,0.115671341,0.199994485
1782.5,0.091381229,0.199995887
1783.5,0.054517044,-1.792085248
1784.5,0.010991409,-3.881461175
1785.5,-0.025701169,-1.476096235
1786.5,-0.044999093,-0.547803265
1787.5,-0.031301779,-0.113225751
1788.5,0.037309598,0.091961834
1789.5,0.117449808,0.163578309
1790.5,0.144626029,0.187757471
1791.5,0.130523099,0.195885085
1792.5,0.112348416,0.198615488
1793.5,0.08156846,0.199532669
1794.5,0.045702713,0.199840762
1795.5,0.00780889,0.199944254
1796.5,-0.026059982,0.055970543
1797.5,-0.051098923,-0.053955853
1798.5,-0.063329782,0.05753317
1799.5,-0.060802487,0.149543034
1800.5,-0.042596603,0.182930525
1801.5,-0.012721481,0.194258535
1802.5,0.015421976,0.198068871
1803.5,0.03258262,0.199349047
1804.5,0.034860306,0.199779077
1805.5,0.026311185,0.199923531
1806.5,0.011833841,0.199972049
1807.5,-0.008212912,0.19998835
1808.5,-0.029866525,0.199993825
1809.5,-0.049382858,-3.746059499
1810.5,-0.062799362,-2.57732827
1811.5,-0.067495138,-0.797852262
1812.5,-0.06222214,-0.138142679
1813.5,-0.046543551,0.086277768
1814.5,-0.025638766,0.161791115
1815.5,-0.006668454,-3.719522573
1816.5,0.004938382,-4.816199118
1817.5,0.006685648,-1.694761301
1818.5,-0.000662228,-0.445789927
1819.5,-0.014063132,-0.01735374
1820.5,-0.031379782,0.126967002
1821.5,-0.047978805,0.060677509
1822.5,-0.059398434,0.066296768
1823.5,-0.061800925,-0.306481259
1824.5,-0.050178488,-0.03936311
1825.5,-0.020240964,0.116444052
1826.5,0.01314429,0.171787267
1827.5,0.037543607,0.190514267
1828.5,0.044953885,0.196811081
1829.5,0.035921146,0.198926532
1830.5,0.016186405,0.199637148
1831.5,-0.010365793,-2.50056224
1832.5,-0.035482736,-1.671704028
1833.5,-0.051052121,-0.472499954
1834.5,-0.048509225,-0.027891774
1835.5,-0.015155173,-1.854586605
1836.5,0.043861844,-1.192767438
1837.5,0.087793094,-0.299805039
1838.5,0.099618338,0.030655116
1839.5,0.085936624,0.143046911
1840.5,0.063502982,0.180863574
1841.5,0.03071055,0.193569468
1842.5,-0.004141159,0.197837646
1843.5,-0.034468698,0.199271383
1844.5,-0.053002194,0.199752984
1845.5,-0.054250241,0.199914768
1846.5,-0.041878976,-0.002477614
1847.5,-0.029538913,0.060106771
1848.5,-0.017167648,0.149738416
1849.5,-0.004796384,0.182965737
1850.5,0.007528079,0.194332728
1851.5,0.002067874,0.197859192
1852.5,0.001256644,0.191554105
1853.5,-0.008868136,0.01098643
1854.5,-0.022721457,-0.022960512
1855.5,-0.031254977,0.118022357
1856.5,-0.033641867,0.128167035
1857.5,-0.027666842,-0.057672927
1858.5,-0.010802609,0.087809164
1859.5,0.003456326,0.162295882
1860.5,0.014033524,0.187949291
