

"Period",1.0000000000,2.0000000000,3.0000000000,4.0000000000,5.0000000000,6.0000000000,7.0000000000,8.0000000000,9.0000000000,10.0000000000,11.0000000000,12.0000000000,13.0000000000,14.0000000000,15.0000000000,16.0000000000,17.0000000000,18.0000000000,19.0000000000,20.0000000000,21.0000000000,22.0000000000,23.0000000000,24.0000000000,25.0000000000,26.0000000000,27.0000000000,28.0000000000,29.0000000000,30.0000000000,31.0000000000,32.0000000000,33.0000000000,34.0000000000,35.0000000000,36.0000000000,37.0000000000,38.0000000000,39.0000000000,40.0000000000,41.0000000000,42.0000000000,43.0000000000,44.0000000000,45.0000000000,46.0000000000,47.0000000000,48.0000000000,49.0000000000,50.0000000000,51.0000000000,52.0000000000,53.0000000000,54.0000000000,55.0000000000,56.0000000000,57.0000000000,58.0000000000,59.0000000000,60.0000000000,61.0000000000,62.0000000000,63.0000000000,64.0000000000,65.0000000000,66.0000000000,67.0000000000,68.0000000000,69.0000000000,70.0000000000,71.0000000000,72.0000000000,73.0000000000,74.0000000000,75.0000000000,76.0000000000,77.0000000000,78.0000000000,79.0000000000,80.0000000000,81.0000000000,82.0000000000,83.0000000000,84.0000000000,85.0000000000,86.0000000000,87.0000000000,88.0000000000,89.0000000000,90.0000000000,91.0000000000,92.0000000000,93.0000000000,94.0000000000,95.0000000000,96.0000000000,97.0000000000,98.0000000000,99.0000000000,100.0000000000,101.0000000000,102.0000000000,103.0000000000,104.0000000000,105.0000000000,106.0000000000,107.0000000000,108.0000000000,109.0000000000,110.0000000000,111.0000000000,112.0000000000,113.0000000000,114.0000000000,115.0000000000,116.0000000000,117.0000000000,118.0000000000,119.0000000000,120.0000000000,121.0000000000,122.0000000000,123.0000000000,124.0000000000,125.0000000000,126.0000000000,127.0000000000,128.0000000000,129.0000000000,130.0000000000,131.0000000000,132.0000000000,133.0000000000,134.0000000000,135.0000000000,136.0000000000,137.0000000000,138.0000000000,139.0000000000,140.0000000000,141.0000000000,142.0000000000,143.0000000000,144.0000000000,145.0000000000,146.0000000000,147.0000000000,148.0000000000,149.0000000000,150.0000000000,151.0000000000,152.0000000000,153.0000000000,154.0000000000,155.0000000000,156.0000000000,157.0000000000,158.0000000000,159.0000000000,160.0000000000
"Year",2023.0000000000,2026.0000000000,2029.0000000000,2032.0000000000,2035.0000000000,2038.0000000000,2041.0000000000,2044.0000000000,2047.0000000000,2050.0000000000,2053.0000000000,2056.0000000000,2059.0000000000,2062.0000000000,2065.0000000000,2068.0000000000,2071.0000000000,2074.0000000000,2077.0000000000,2080.0000000000,2083.0000000000,2086.0000000000,2089.0000000000,2092.0000000000,2095.0000000000,2098.0000000000,2101.0000000000,2104.0000000000,2107.0000000000,2110.0000000000,2113.0000000000,2116.0000000000,2119.0000000000,2122.0000000000,2125.0000000000,2128.0000000000,2131.0000000000,2134.0000000000,2137.0000000000,2140.0000000000,2143.0000000000,2146.0000000000,2149.0000000000,2152.0000000000,2155.0000000000,2158.0000000000,2161.0000000000,2164.0000000000,2167.0000000000,2170.0000000000,2173.0000000000,2176.0000000000,2179.0000000000,2182.0000000000,2185.0000000000,2188.0000000000,2191.0000000000,2194.0000000000,2197.0000000000,2200.0000000000,2203.0000000000,2206.0000000000,2209.0000000000,2212.0000000000,2215.0000000000,2218.0000000000,2221.0000000000,2224.0000000000,2227.0000000000,2230.0000000000,2233.0000000000,2236.0000000000,2239.0000000000,2242.0000000000,2245.0000000000,2248.0000000000,2251.0000000000,2254.0000000000,2257.0000000000,2260.0000000000,2263.0000000000,2266.0000000000,2269.0000000000,2272.0000000000,2275.0000000000,2278.0000000000,2281.0000000000,2284.0000000000,2287.0000000000,2290.0000000000,2293.0000000000,2296.0000000000,2299.0000000000,2302.0000000000,2305.0000000000,2308.0000000000,2311.0000000000,2314.0000000000,2317.0000000000,2320.0000000000,2323.0000000000,2326.0000000000,2329.0000000000,2332.0000000000,2335.0000000000,2338.0000000000,2341.0000000000,2344.0000000000,2347.0000000000,2350.0000000000,2353.0000000000,2356.0000000000,2359.0000000000,2362.0000000000,2365.0000000000,2368.0000000000,2371.0000000000,2374.0000000000,2377.0000000000,2380.0000000000,2383.0000000000,2386.0000000000,2389.0000000000,2392.0000000000,2395.0000000000,2398.0000000000,2401.0000000000,2404.0000000000,2407.0000000000,2410.0000000000,2413.0000000000,2416.0000000000,2419.0000000000,2422.0000000000,2425.0000000000,2428.0000000000,2431.0000000000,2434.0000000000,2437.0000000000,2440.0000000000,2443.0000000000,2446.0000000000,2449.0000000000,2452.0000000000,2455.0000000000,2458.0000000000,2461.0000000000,2464.0000000000,2467.0000000000,2470.0000000000,2473.0000000000,2476.0000000000,2479.0000000000,2482.0000000000,2485.0000000000,2488.0000000000,2491.0000000000,2494.0000000000,2497.0000000000,2500.0000000000
"Industrial Emissions GTCO2 per year",36.6400000003,35.3692547585,35.8557474514,36.3777467204,36.8961265925,37.3527387408,37.7395919784,38.0268001183,38.1864246197,38.2202624884,38.0971056842,37.8118791264,37.3724501024,36.7479265456,35.9648895545,34.9885790003,33.8364785074,32.5037858123,30.9965055067,29.3116934230,27.4391218771,25.3870772200,23.1466367786,20.7330586135,18.1362116464,15.3486581896,12.3905380917,9.2552045786,5.9330748353,2.4376655606,-1.2177483707,-5.0117107880,-8.8505248801,-12.6519447729,-16.3639721877,-17.3556805435,-17.4509011973,-17.5375011466,-17.6093796374,-17.6797509161,-17.7387078565,-17.8013381451,-17.8458807626,-17.8481937716,-17.8886479110,-17.9107213009,-17.8990299063,-17.8717462844,-17.8396244730,-17.7997270508,-17.7438475499,-17.6895896399,-17.6074823219,-17.5165101733,-17.4302200033,-17.3146950927,-17.1943373124,-17.0965221376,-16.9589939572,-16.8286442033,-16.7160681089,-16.5563132618,-16.4180015851,-16.2460178124,-16.0645572246,-15.9189532486,-15.7401266279,-15.5459254680,-15.3266975224,-15.1288642832,-14.9236602221,-14.7224780070,-14.5041227570,-14.2832621668,-14.0449703399,-13.8309709469,-13.5798910368,-13.3154788810,-13.1200562145,-12.8753371993,-12.6247448641,-12.3638556766,-12.1516193264,-11.9328280983,-11.7428684028,-11.4850737457,-11.2541254144,-11.0301489860,-10.8040996633,-10.5411686327,-10.3277416794,-10.0839607089,-9.8929937967,-9.7181698710,-9.5308563159,-9.3311656453,-9.1168930125,-8.9399070651,-8.7543741024,-8.5598357423,-8.3706853977,-8.1880164183,-8.0072402608,-7.8408087391,-7.6683524739,-7.4886401331,-7.3371997805,-7.1893242569,-7.0424094016,-6.8952794468,-6.7613156896,-6.6303013488,-6.5037485837,-6.3749955685,-6.2541478202,-6.1186865783,-5.9857780740,-5.8650809869,-5.7479066507,-5.6265325791,-5.5087105986,-5.3858154222,-5.2761748938,-5.1684657968,-5.0579577276,-4.9560873096,-4.8398737881,-4.7345211300,-4.6319122712,-4.5316031381,-4.4350812288,-4.3495394765,-4.2543312308,-4.1679097265,-4.0806500670,-3.9948306075,-3.9104888862,-3.8296250375,-3.7574422852,-3.6832548152,-3.6066925540,-3.5334973157,-3.4617707497,-3.3913736575,-3.3219044117,-3.2535671775,-3.1855806157,-3.1180753170,-3.0508409534,-2.9815438170,-2.9088221860,-2.8694132625,-2.8272278573,-2.7831265978,-2.7376429946,-2.6915325132,-2.6449455877,-2.5982992479,12.7591247442,12.5279224756
"Atmospheric concentrations ppm",417.6371435060,424.0365372055,430.0160380130,436.1672209399,442.4404146896,448.8180846573,455.2765468770,461.7941349425,468.3415093631,474.8831466255,481.3866208717,487.8095918850,494.1094382242,500.2465569795,506.1723155383,511.8489733700,517.2256521172,522.2594108291,526.9051831176,531.1201993633,534.8602254512,538.0774005212,540.7275449581,542.7634140328,544.1439581753,544.8241178781,544.7559693522,543.9013932339,542.2205742337,539.6715323517,536.2222382374,531.8545064967,526.5788071662,520.4866605931,513.7709272142,506.6567546367,500.1269636589,494.1968093393,488.6066535293,483.2343185798,478.0270186550,472.9656514364,468.0357835635,463.2342993657,458.5666340675,454.0093118265,449.5619687351,445.2286334585,441.0059955265,436.8875880586,432.8689129914,428.9487355755,425.1197187480,421.3856176586,417.7427303055,414.1833941292,410.7126370778,407.3259858211,404.0105500056,400.7765656697,397.6160092347,394.5188984231,391.4986067249,388.5424982830,385.6591314145,382.8470496797,380.0902059392,377.3986365174,374.7738370526,372.2205127740,369.7273391818,367.2950648870,364.9201157058,362.6065093769,360.3524731001,358.1617061167,356.0234948074,353.9496351545,351.9414147899,349.9736013524,348.0647415967,346.2141099235,344.4232342836,342.6743678613,340.9713892148,339.3048326783,337.6983379405,336.1395617094,334.6263548281,333.1595922644,331.7509762478,330.3819933575,329.0643156933,327.7795154510,326.5250100229,325.3067340786,324.1287714837,322.9952742595,321.8932797890,320.8274279183,319.8007297925,318.8110175919,317.8563948781,316.9366687014,316.0474956794,315.1917405870,314.3716740923,313.5778794912,312.8107887549,312.0708475495,311.3585315815,310.6698895265,310.0049352137,309.3628235746,308.7448040737,308.1485161400,307.5791466873,307.0352053067,306.5127604595,306.0113319288,305.5325892897,305.0752486946,304.6410214365,304.2254128834,303.8284402781,303.4512192706,303.0909263092,302.7524835474,302.4317035107,302.1280653843,301.8410092949,301.5694757192,301.3102663052,301.0670881531,300.8368305155,300.6201686862,300.4166940590,300.2260259049,300.0471656813,299.8776284969,299.7186049507,299.5708848645,299.4333148001,299.3055942389,299.1874152057,299.0785775727,298.9787890291,298.8879995599,298.8060682925,298.7329076725,298.6691245411,298.6155852558,298.5617325591,298.5103124711,298.4623645290,298.4185087468,298.3790358227,298.3441550155,298.3139099622,302.9708050985
"Atmospheric Temperature rel. 1850-1900",1.4617211590,1.6194112672,1.7081643171,1.8049357494,1.8987936240,1.9926135366,2.0848260707,2.1752732885,2.2649460229,2.3536763199,2.4411334298,2.5257734220,2.6054528058,2.6824999026,2.7570760738,2.8290795400,2.8989647762,2.9667528774,3.0325684155,3.0960741424,3.1569435127,3.2150983000,3.2706476601,3.3235324060,3.3730153091,3.4154863334,3.4526869810,3.4848585076,3.5086097870,3.5242420828,3.5327218215,3.5339434938,3.5277641056,3.5140929782,3.4931120638,3.4654399630,3.4319822882,3.3966947896,3.3608905537,3.3245463413,3.2876941355,3.2504220857,3.2128471163,3.1750538303,3.1371422174,3.0992770365,3.0614694032,3.0237774658,2.9862727018,2.9489953711,2.9119628634,2.8751900588,2.8386997414,2.8024862281,2.7665842063,2.7310017494,2.6957240370,2.6607857902,2.6261874988,2.5918845724,2.5579258585,2.5242925890,2.4909454663,2.4579472266,2.4252578053,2.3929222350,2.3609524045,2.3292851861,2.2979658861,2.2670169402,2.2364792784,2.2063189623,2.1765463664,2.1471537461,2.1181690231,2.0895980342,2.0614730231,2.0337562816,2.0055561783,1.9774728496,1.9499801627,1.9231969504,1.8971349604,1.8718001234,1.8470868733,1.8229785330,1.7993959504,1.7764337727,1.7540284947,1.7321517572,1.7107937228,1.6900115729,1.6697108239,1.6499391449,1.6305957805,1.6116416890,1.5930908624,1.5749614533,1.5572802864,1.5399805971,1.5230775083,1.5065887430,1.4905068898,1.4748223907,1.4595337348,1.4446155847,1.4300797266,1.4159415004,1.4021498138,1.3886973508,1.3755813498,1.3628018621,1.3503340820,1.3381717850,1.3263058848,1.3147402109,1.3034599844,1.2924935066,1.2818380266,1.2714720600,1.2613891234,1.2515969016,1.2420886399,1.2328741515,1.2239282684,1.2152462233,1.2068320036,1.1986678964,1.1907802119,1.1831479997,1.1757651480,1.1686257840,1.1617208581,1.1550270104,1.1485600412,1.1423011615,1.1362499822,1.1304019057,1.1247524145,1.1192931532,1.1140054030,1.1088904367,1.1039506776,1.0991781518,1.0945685672,1.0901178317,1.0858226284,1.0816792990,1.0776857391,1.0738396876,1.0701393717,1.0665876252,1.0631902299,1.0598819995,1.0566642038,1.0535363194,1.0504981462,1.0475491898,1.0446893566,1.0419181264
"Mid-ocean Temperature rel. 1850-1900",1.0477467405,1.1539841934,1.2533495275,1.3452565653,1.4329750849,1.5181799812,1.6016220560,1.6835399081,1.7643210896,1.8442186455,1.9232665332,2.0010295935,2.0765404076,2.1497049069,2.2207093785,2.2896396731,2.3566552978,2.4218864786,2.4854384362,2.5472849849,2.6072895157,2.6653222546,2.7213297794,2.7752714753,2.8269137370,2.8750692157,2.9192328743,2.9593303686,2.9944052036,3.0237040799,3.0470859123,3.0645165635,3.0759197251,3.0812065974,3.0803605817,3.0735487621,3.0611578409,3.0445586924,3.0252147409,3.0040508182,2.9815914720,2.9581576392,2.9339692346,2.9091834532,2.8839239770,2.8583149281,2.8324443276,2.8063797482,2.7801850607,2.7539147257,2.7276090363,2.7012977188,2.6750065362,2.6487519184,2.6225536670,2.5964296512,2.5703880969,2.5444434054,2.5186083118,2.4928793175,2.4672655036,2.4417724947,2.4163925260,2.3911364655,2.3660062255,2.3410131519,2.3161721016,2.2914765029,2.2669309844,2.2425494853,2.2183542672,2.1943533504,2.1705524602,2.1469548594,2.1235706223,2.1004106485,2.0774916302,2.0548166170,2.0321410638,2.0094164022,1.9867974302,1.9644451913,1.9424646536,1.9209186772,1.8998155278,1.8791475986,1.8588888555,1.8390451003,1.8196115814,1.8005736412,1.7819191067,1.7636571046,1.7457729133,1.7282643010,1.7111075664,1.6942710637,1.6777384447,1.6615075935,1.6455870912,1.6299666251,1.6146396432,1.5996094195,1.5848780690,1.5704442975,1.5563069004,1.5424588703,1.5288980412,1.5156291067,1.5026427104,1.4899278707,1.4774776703,1.4652886095,1.4533525213,1.4416615505,1.4302088044,1.4189912010,1.4080037923,1.3972507688,1.3867366382,1.3764582859,1.3664108066,1.3565934421,1.3470050118,1.3376473865,1.3285159834,1.3196051676,1.3109128468,1.3024337124,1.2941708310,1.2861228003,1.2782857078,1.2706555587,1.2632274491,1.2559917584,1.2489456957,1.2420841799,1.2354029012,1.2288983977,1.2225673330,1.2164053868,1.2104045069,1.2045591160,1.1988670445,1.1933252783,1.1879304366,1.1826792953,1.1775689389,1.1725965905,1.1677599402,1.1630570237,1.1584861854,1.1540472414,1.1497420339,1.1455543556,1.1414699540,1.1374808636,1.1335825672,1.1297724212,1.1260489129,1.1224110782
"Deep-ocean temperature rel. 1850-1900",-0.0492458515,-0.0260360104,-0.0011769603,0.0250980471,0.0526538030,0.0813963752,0.1112604798,0.1421906379,0.1741381385,0.2070624141,0.2409265169,0.2756906036,0.3113013876,0.3476936093,0.3848060700,0.4225816436,0.4609665095,0.4999111385,0.5393692799,0.5792966157,0.6196479647,0.6603761992,0.7014332340,0.7427711379,0.7843404743,0.8260795805,0.8679078102,0.9097417810,0.9514911171,0.9930475789,1.0342962039,1.0751234478,1.1154169295,1.1550648208,1.1939563633,1.2319844210,1.2690496196,1.3050711168,1.3400002815,1.3738140009,1.4065038321,1.4380698000,1.4685172699,1.4978552680,1.5260954299,1.5532516121,1.5793396071,1.6043764059,1.6283799702,1.6513691068,1.6733632015,1.6943819474,1.7144451905,1.7335728134,1.7517846373,1.7691004809,1.7855400330,1.8011227839,1.8158681274,1.8297951750,1.8429226547,1.8552691095,1.8668526880,1.8776911494,1.8878020875,1.8972028238,1.9059106212,1.9139425104,1.9213150926,1.9280448462,1.9341482775,1.9396419048,1.9445420176,1.9488646780,1.9526257395,1.9558409641,1.9585260606,1.9606966567,1.9623659941,1.9635432176,1.9642386461,1.9644658374,1.9642407824,1.9635808064,1.9625036297,1.9610265427,1.9591661736,1.9569385181,1.9543593618,1.9514439411,1.9482069031,1.9446625416,1.9408248898,1.9367074377,1.9323232261,1.9276844218,1.9228024390,1.9176882856,1.9123528171,1.9068067003,1.9010601619,1.8951231968,1.8890056693,1.8827172508,1.8762673869,1.8696652607,1.8629197559,1.8560396061,1.8490333554,1.8419091373,1.8346747412,1.8273376954,1.8199052714,1.8123844196,1.8047818039,1.7971038477,1.7893567747,1.7815466541,1.7736795423,1.7657613936,1.7577979487,1.7497947693,1.7417572949,1.7336908534,1.7256006566,1.7174916921,1.7093687661,1.7012365255,1.6930994775,1.6849620843,1.6768286515,1.6687033176,1.6605900493,1.6524925919,1.6444144689,1.6363590753,1.6283296307,1.6203292148,1.6123607767,1.6044271305,1.5965309122,1.5886745553,1.5808603685,1.5730905679,1.5653672577,1.5576924327,1.5500679852,1.5424957123,1.5349773227,1.5275144482,1.5201086508,1.5127614405,1.5054743136,1.4982486241,1.4910853459,1.4839852161,1.4769488344,1.4699767178,1.4630693318,1.4562271085
"Output Net Net ",132.3413109294,141.4623088220,152.0920204394,164.0158482591,177.2053699811,191.4931459481,206.9457898809,223.5072336795,241.0965153163,259.8127996687,279.5240245165,300.2573171381,322.1707489247,345.0444113063,369.2095266499,394.3636287020,420.7345704112,448.3121310246,477.2467277228,507.6029597078,539.2394479211,572.3868765222,606.7738552201,642.8588639956,680.6049815769,719.4180271532,759.9348044733,802.7008396653,846.8021700170,892.4455390328,939.9774861892,989.6496386041,1040.4743334077,1094.4196453341,1150.3429165787,1209.3143014428,1270.8981789608,1334.7774635831,1400.4844315261,1469.0952383573,1539.8664258859,1614.1702982025,1690.1261666320,1765.2623119218,1847.4648070251,1931.2799526552,2014.8648337608,2099.9987574210,2187.8885657101,2278.2045598445,2369.8464999844,2465.1143833138,2559.8701240399,2656.5916202954,2757.3523684867,2856.7528151304,2958.4796087591,3067.4218384963,3172.5335080274,3282.1181882351,3398.5756357530,3508.6777651415,3626.4119791902,3739.7347950527,3853.5438344384,3978.9134052913,4098.9980524232,4217.6186063900,4331.5403688382,4453.5383035259,4575.5303832016,4700.8546708642,4822.5864663461,4945.0619805169,5062.7233764203,5190.3730632297,5305.0358532100,5414.5075192724,5552.8498531178,5671.2977067803,5787.0046164594,5897.3388530705,6030.7455507266,6161.3929194917,6307.7286862251,6417.4247266952,6540.8218835095,6667.4652301799,6791.9179014853,6891.0120472761,7020.3078970478,7126.9644262352,7269.2639276457,7423.4028759353,7567.8652936799,7701.3638970116,7820.5322432397,7969.8044295519,8110.2176849352,8240.1187558714,8372.5478832430,8508.8705539250,8644.5186030049,8793.2991064147,8932.9415013550,9060.7763002987,9220.0116663274,9382.0250549909,9543.4661093567,9702.4667846353,9878.1611985840,10056.8513663217,10241.0810214773,10420.4090353031,10611.2239491813,10775.0108036888,10939.8688632194,11124.1631819130,11312.9221393337,11490.7331878665,11672.6327186696,11840.0216020612,12032.9655920736,12227.5077342974,12412.0862301506,12614.5682332708,12776.2074370015,12961.3187031046,13149.5050699055,13339.7521162131,13536.7751894320,13764.0322121467,13957.0480117068,14174.6279340198,14385.5031433364,14597.1396303402,14809.6759218052,15030.9816068761,15283.1034684424,15524.2553791750,15751.4177055089,15988.9001826498,16228.8321748535,16470.6849858034,16712.5293464219,16955.3167140720,17194.8309962904,17431.3597252005,17663.2986495361,17876.1219155028,18059.3243173619,18445.9924930939,18817.7100396154,19178.2326991695,19529.6639835427,19876.1676994509,20217.9727313827,20557.5192256699,20896.2332997389,21234.0361192963
"Climate Damages fraction output",0.0050424438,0.0061890831,0.0068860678,0.0076883916,0.0085087847,0.0093704005,0.0102577394,0.0111670808,0.0121067539,0.0130739096,0.0140635525,0.0150556941,0.0160205870,0.0169821015,0.0179394656,0.0188887109,0.0198334324,0.0207718294,0.0217036720,0.0226221932,0.0235204499,0.0243949827,0.0252452412,0.0260682477,0.0268502682,0.0275306907,0.0281336718,0.0286604036,0.0290524086,0.0293118661,0.0294530914,0.0294734656,0.0293704822,0.0291432847,0.0287963233,0.0283418870,0.0277972657,0.0272285838,0.0266575813,0.0260841558,0.0255090812,0.0249339752,0.0243608324,0.0237910817,0.0232263206,0.0226690228,0.0221193240,0.0215780232,0.0210460662,0.0205239139,0.0200116854,0.0195094542,0.0190173903,0.0185352726,0.0180634121,0.0176017545,0.0171499503,0.0167082832,0.0162765914,0.0158541629,0.0154414439,0.0150380453,0.0146433500,0.0142579508,0.0138812260,0.0135135413,0.0131548672,0.0128043440,0.0124623274,0.0121289033,0.0118043414,0.0114881103,0.0111801556,0.0108802353,0.0105884704,0.0103047511,0.0100292236,0.0097613485,0.0094925232,0.0092285413,0.0089737174,0.0087289002,0.0084939257,0.0082685803,0.0080516826,0.0078428717,0.0076412689,0.0074474920,0.0072608137,0.0070808253,0.0069072838,0.0067404883,0.0065795248,0.0064246261,0.0062748685,0.0061298379,0.0059895349,0.0058539884,0.0057232877,0.0055968350,0.0054746456,0.0053567508,0.0052430015,0.0051332386,0.0050273634,0.0049251175,0.0048265021,0.0047315412,0.0046398169,0.0045512136,0.0044656488,0.0043830602,0.0043032290,0.0042260608,0.0041514460,0.0040793587,0.0040096587,0.0039424731,0.0038777366,0.0038152732,0.0037550019,0.0036969277,0.0036409707,0.0035871497,0.0035352810,0.0034853032,0.0034372066,0.0033908592,0.0033463797,0.0033036205,0.0032625199,0.0032230195,0.0031850450,0.0031484463,0.0031132888,0.0030794506,0.0030469111,0.0030156280,0.0029855605,0.0029566485,0.0029287790,0.0029019457,0.0028761488,0.0028513346,0.0028274696,0.0028045223,0.0027824654,0.0027612711,0.0027409195,0.0027213908,0.0027026679,0.0026847576,0.0026676814,0.0026511057,0.0026350326,0.0026194555,0.0026043694,0.0025897680,0.0025756470,0.0025620004
"Consumption Per Capita ",12.6003484321,13.0063142871,13.5584296497,14.2308273727,15.0062097228,15.8707011801,16.8164287224,17.8380278436,18.9311910244,20.0951460240,21.3282075582,22.6299152871,24.0028840394,25.4461336795,26.9640147706,28.5559711470,30.2245667216,31.9716676736,33.8009043748,35.7165900157,37.7205488693,39.8177621887,42.0086656964,44.3001458767,46.6989057180,49.2027546242,51.8173518605,54.5564561367,57.4212804495,60.4152430471,63.5460542867,66.8254220999,70.2501270461,73.8450850674,77.6204497827,81.5901596387,85.7560075562,90.1157831846,94.6615912615,99.4020616223,104.3360485263,109.4845075996,114.8443867921,120.3734583742,126.1436414039,132.1545585409,138.3808142066,144.8208889567,151.4899602295,158.3993435518,165.5444006006,172.9566734393,180.6075702454,188.5024441543,196.6794473685,205.0950277426,213.7548121283,222.7427516666,231.9760713345,241.4940884743,251.3832231411,261.5282348120,272.0325614201,282.8142552179,293.8581651257,305.3347540440,317.1614415604,329.3172088432,341.7172907368,354.4803839058,367.5986825808,381.1284229005,395.0165050108,409.2849641675,423.8557884470,438.9152426425,454.2514471455,469.7502557723,485.9239787923,502.4355296621,519.2327664069,536.1768424392,553.6566302508,571.6046601550,590.3553137304,609.2417576868,628.5343171176,648.3164126317,668.5787618014,688.7919575493,709.5229638321,730.2197110408,751.5217575912,773.6423713240,796.3912935382,819.5557072790,842.7993912106,866.7595327942,891.2576530199,916.0631817617,941.2123356947,966.7614126950,992.6467842169,1019.1350308265,1045.9740025582,1072.7796633990,1100.1795089871,1128.1444990579,1156.5712046316,1185.2904286538,1214.6071742885,1244.5141144262,1275.1001158783,1306.2147154486,1338.1663367171,1370.2790093067,1402.5324114899,1435.3740437467,1468.9015243233,1502.8181060390,1537.2174186089,1571.6577640956,1606.7559391771,1642.5299979940,1678.6940109997,1715.7606550797,1752.5991395338,1789.7791772256,1827.2935859104,1865.0815377199,1903.1897955515,1942.3860045493,1981.6195104979,2021.5004237090,2061.7573531797,2102.3143434577,2143.0662557370,2184.1053288726,2226.2216802207,2269.0648060123,2312.2043645267,2355.9351497038,2400.3527979091,2445.6187308310,2491.9210694894,2539.6296394707,2589.2192812269,2641.5343656171,2697.9612920604,2760.3904768483,2688.6956504740,2750.4408355710,2809.7620944150,2867.1895290230,2923.2040712807,2978.0164138724,3032.0309913625,3085.3955463078,3138.3031595997,3190.9318667143
