

"Period",1.0000000000,2.0000000000,3.0000000000,4.0000000000,5.0000000000,6.0000000000,7.0000000000,8.0000000000,9.0000000000,10.0000000000,11.0000000000,12.0000000000,13.0000000000,14.0000000000,15.0000000000,16.0000000000,17.0000000000,18.0000000000,19.0000000000,20.0000000000,21.0000000000,22.0000000000,23.0000000000,24.0000000000,25.0000000000,26.0000000000,27.0000000000,28.0000000000,29.0000000000,30.0000000000,31.0000000000,32.0000000000,33.0000000000,34.0000000000,35.0000000000,36.0000000000,37.0000000000,38.0000000000,39.0000000000,40.0000000000,41.0000000000,42.0000000000,43.0000000000,44.0000000000,45.0000000000,46.0000000000,47.0000000000,48.0000000000,49.0000000000,50.0000000000,51.0000000000,52.0000000000,53.0000000000,54.0000000000,55.0000000000,56.0000000000,57.0000000000,58.0000000000,59.0000000000,60.0000000000,61.0000000000,62.0000000000,63.0000000000,64.0000000000,65.0000000000,66.0000000000,67.0000000000,68.0000000000,69.0000000000,70.0000000000,71.0000000000,72.0000000000,73.0000000000,74.0000000000,75.0000000000,76.0000000000,77.0000000000,78.0000000000,79.0000000000,80.0000000000,81.0000000000,82.0000000000,83.0000000000,84.0000000000,85.0000000000,86.0000000000,87.0000000000,88.0000000000,89.0000000000,90.0000000000,91.0000000000,92.0000000000,93.0000000000,94.0000000000,95.0000000000,96.0000000000,97.0000000000,98.0000000000,99.0000000000,100.0000000000
"Year",2015.0000000000,2020.0000000000,2025.0000000000,2030.0000000000,2035.0000000000,2040.0000000000,2045.0000000000,2050.0000000000,2055.0000000000,2060.0000000000,2065.0000000000,2070.0000000000,2075.0000000000,2080.0000000000,2085.0000000000,2090.0000000000,2095.0000000000,2100.0000000000,2105.0000000000,2110.0000000000,2115.0000000000,2120.0000000000,2125.0000000000,2130.0000000000,2135.0000000000,2140.0000000000,2145.0000000000,2150.0000000000,2155.0000000000,2160.0000000000,2165.0000000000,2170.0000000000,2175.0000000000,2180.0000000000,2185.0000000000,2190.0000000000,2195.0000000000,2200.0000000000,2205.0000000000,2210.0000000000,2215.0000000000,2220.0000000000,2225.0000000000,2230.0000000000,2235.0000000000,2240.0000000000,2245.0000000000,2250.0000000000,2255.0000000000,2260.0000000000,2265.0000000000,2270.0000000000,2275.0000000000,2280.0000000000,2285.0000000000,2290.0000000000,2295.0000000000,2300.0000000000,2305.0000000000,2310.0000000000,2315.0000000000,2320.0000000000,2325.0000000000,2330.0000000000,2335.0000000000,2340.0000000000,2345.0000000000,2350.0000000000,2355.0000000000,2360.0000000000,2365.0000000000,2370.0000000000,2375.0000000000,2380.0000000000,2385.0000000000,2390.0000000000,2395.0000000000,2400.0000000000,2405.0000000000,2410.0000000000,2415.0000000000,2420.0000000000,2425.0000000000,2430.0000000000,2435.0000000000,2440.0000000000,2445.0000000000,2450.0000000000,2455.0000000000,2460.0000000000,2465.0000000000,2470.0000000000,2475.0000000000,2480.0000000000,2485.0000000000,2490.0000000000,2495.0000000000,2500.0000000000,2505.0000000000,2510.0000000000
"Industrial Emissions GTCO2 per year",35.7403846239,32.6129907118,34.4399144563,35.8796773111,36.8999766997,37.4781553830,37.5988732523,37.2545175591,36.4403194948,35.1571364711,33.4130777690,31.2223996501,28.6055518774,25.5872882456,22.1958641116,18.4605014944,14.4026022076,10.0370540168,5.3723346140,0.4097757682,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-16.1661923505,-16.0131183633,-15.8440798450,-15.6626117479,-15.4691602859,-15.2637507633,-15.0466737859,-14.8185408377,-14.5801884666,-14.3325778391,-14.0767223580,-13.8136422218,-13.5443379185,-13.2697754973,-12.9908787182,-12.7085250779,-12.4235439802,-12.1367160675,-11.8487731272,-11.5603980945,-11.2722427544,-10.9849716143,-10.6990870802,-10.4150357731,-10.1332501584,-9.8541463495,-9.5781150122,-9.3055148911,-9.0366699337,-8.7718689658,-8.5113668074,-8.2553860699,-8.0041191958,-7.7577305263,-7.5163582968,-7.2801165277,-7.0490968050,-6.8233699612,-6.6029876567,-6.3879838814,-6.1783763711,-5.9741679531,-5.7753478150,-5.5818927020,-5.3937680400,-5.2109289811,-5.0333213602,-4.8608825488,-4.6935421816,-4.5312227032,-4.3738396663,-4.2213016299,-4.0735094566,-3.9303546071,-3.7917158126,-3.6574530413,-3.5273969431,-3.4013307085,-3.2789590249,-3.1598548633,-3.0433673474,-2.9284590581,-2.8381657942,-2.7461721595,-2.6541136318,-2.5630608895,-2.4737061937,-2.3864873013,-2.3016704245,11.0970303804,10.6988704836
"Atmospheric concentrations ppm",399.4352965040,417.4364400422,428.2649364491,440.0773920292,452.2334170249,464.5346917314,476.8253433972,488.9424992114,500.7193269538,511.9806667291,522.5442611757,532.2309158510,540.8651291526,548.2793029163,554.3147479593,558.8235045015,561.6698338766,562.7260107487,561.8676087081,558.9771241093,553.9396045102,549.7619828552,546.2458324021,543.1409111363,540.3262548177,537.7373102449,535.3355149470,533.0950458133,530.9968311085,529.0257339595,516.7827101012,506.4612587187,497.2686432817,488.8175531934,480.9094453498,473.4389820407,466.3478799944,459.6017288456,453.1781859918,447.0609550009,441.2367271949,435.6936407319,430.4205141920,425.4064742026,420.6407834625,416.1127712155,411.8118168048,407.7273613597,403.8489348335,400.1662589407,396.6694370960,393.3481793944,390.1924185049,387.1925317279,384.3393397573,381.6240834872,379.0384168014,376.5744123143,374.2245718059,371.9818356482,369.8395883411,367.7916590678,365.8323171242,363.9562625357,362.1586123895,360.4348835100,358.7809721460,357.1931313406,355.6679466464,354.2023108062,352.7933979780,351.4386380180,350.1356912729,348.8824242603,347.6768865451,346.5172890529,345.4019840000,344.3294465666,343.2982583989,342.3070930074,341.3547031226,340.4399101206,339.5615957029,338.7186962078,337.9102002278,337.1351507533,336.3926539766,335.6818984418,335.0021909322,334.3530202210,333.7341684402,333.1459063359,332.5734367533,332.0228050006,331.4956407651,330.9922805538,330.5125475004,330.0560016128,329.6220515671,337.7655698907
"Atmospheric Temperature rel. 1850-1900",1.1278027847,1.2458024493,1.4825600606,1.6731705783,1.8384854551,2.0014007512,2.1597787978,2.3155523703,2.4651019179,2.6011428918,2.7261583343,2.8409114625,2.9478074541,3.0473925557,3.1387933823,3.2213571957,3.2940783952,3.3488015087,3.3871866038,3.4071920875,3.4094597731,3.3940580391,3.3730107811,3.3511958869,3.3299506275,3.3094817484,3.2896832195,3.2703945645,3.2514806483,3.2329994070,3.2150712564,3.1545952739,3.0818949842,3.0076057255,2.9350367434,2.8649313936,2.7972459606,2.7317705015,2.6683160131,2.6067507170,2.5469914393,2.4889868052,2.4327030323,2.3781141710,2.3251960513,2.2739227939,2.2242649520,2.1761886497,2.1292567581,2.0819379282,2.0368592413,1.9949856121,1.9561865939,1.9200560054,1.8861909221,1.8542641105,1.8240260812,1.7952884796,1.7679065402,1.7417653947,1.7167705635,1.6928417320,1.6699088094,1.6479094698,1.6267876189,1.6064924182,1.5869776376,1.5682011938,1.5501247921,1.5327136213,1.5159360765,1.4997634954,1.4841699024,1.4691317574,1.4546277127,1.4406383767,1.4271460886,1.4141347055,1.4015894038,1.3894964968,1.3778432699,1.3666178340,1.3558090001,1.3454061756,1.3353992879,1.3257787391,1.3165354054,1.3076606990,1.2991467247,1.2909865905,1.2831749690,1.2757090855,1.2685904510,1.2617242932,1.2551078988,1.2487513211,1.2426619420,1.2368425743,1.2313033029,1.2260772029
"Ocean Temperature rel. 1850-1900",0.0581384051,0.0653034947,0.0735914477,0.0831549854,0.0937695966,0.1053509449,0.1178701734,0.1312996665,0.1456043394,0.1607134207,0.1765455417,0.1930293593,0.2101046556,0.2277201171,0.2458231278,0.2643566853,0.2832587711,0.3024358844,0.3217787508,0.3411760317,0.3605138018,0.3796808528,0.3986098040,0.4172839841,0.4357049354,0.4538785841,0.4718110052,0.4895073728,0.5069719068,0.5242086384,0.5412221616,0.5578634487,0.5739748952,0.5895207544,0.6045063923,0.6189488410,0.6328669007,0.6462783843,0.6591997430,0.6716463376,0.6836327745,0.6951731573,0.7062812396,0.7169705035,0.7272541885,0.7371452925,0.7466565552,0.7558004347,0.7645876571,0.7730222169,0.7811132800,0.7888805807,0.7963459006,0.8035290769,0.8104472725,0.8171152722,0.8235459822,0.8297508728,0.8357403101,0.8415237890,0.8471100930,0.8525074054,0.8577233880,0.8627652401,0.8676397449,0.8723533080,0.8769119906,0.8813215390,0.8855874116,0.8897148031,0.8937086677,0.8975737396,0.9013145520,0.9049354544,0.9084406283,0.9118341014,0.9151197599,0.9183013593,0.9213825346,0.9243668085,0.9272575987,0.9300582240,0.9327719098,0.9354017930,0.9379509256,0.9404222785,0.9428187452,0.9451431454,0.9473982291,0.9495866831,0.9517111390,0.9537741877,0.9557784015,0.9577260020,0.9596189282,0.9614591353,0.9632486200,0.9649893968,0.9666835110,0.9683331408
"Output Net Net) ",104.8608472382,124.7972424512,146.8652681515,171.1387030182,197.6699801103,226.4791194927,257.6002145121,291.0586209640,326.8915093993,365.1639362987,405.9234517689,449.2206339123,495.0943970690,543.5859294100,594.7448785132,648.6214194565,705.2646246025,764.8020225929,827.2718767718,892.6930627232,962.6371069862,1036.4642577140,1113.9077776769,1194.8219998608,1279.1179220441,1366.7504570994,1457.7169724046,1552.0712544927,1649.9609355341,1746.7246116675,1849.4783134880,1956.6507553847,2067.7086162103,2182.2597564973,2300.0263552425,2420.8068958947,2544.4460252916,2670.8142104660,2799.7951274065,2931.2783063068,3065.1550788334,3201.3164957071,3339.6523752829,3480.0509795744,3622.3990238664,3766.5818494582,3912.4836538062,4059.9876920434,4208.9933933602,4359.4540980350,4511.1690689141,4663.9622120744,4817.6951708964,4972.2505341992,5127.5212974815,5283.4050516412,5439.8011615243,5596.6096522529,5753.7309855175,5911.0662479988,6068.5174941690,6225.9881129150,6383.3831636932,6540.6096613769,6697.5768081733,6854.1961769544,7010.3818587029,7166.0505721331,7321.1217535262,7475.5176179155,7629.1632066954,7781.9864100863,7933.9179690116,8084.8914456655,8234.8431502439,8383.7119931818,8531.4392140084,8677.9679080442,8823.2421828216,8967.2056959517,9109.7990631759,9250.9553418719,9390.5920700799,9528.5972954119,9664.8049838067,9798.9516991389,9930.6002110911,10059.0042463980,10182.8676915691,10299.9114288543,10406.0803986365,10586.3929819889,10749.6447092230,10900.2542584826,11041.3459286953,11175.1383658679,11303.2115698388,11426.6930615154,11546.7035427321,11663.2075414239
"Climate Damages fraction output",0.0030017763,0.0036627760,0.0051872430,0.0066068195,0.0079768679,0.0094532277,0.0110085609,0.0126538074,0.0143410768,0.0159676287,0.0175393767,0.0190470359,0.0205073823,0.0219163793,0.0232507764,0.0244900556,0.0256082478,0.0264661528,0.0270763581,0.0273971407,0.0274336216,0.0271863267,0.0268501961,0.0265040127,0.0261690280,0.0258482999,0.0255399570,0.0252413342,0.0249502183,0.0246673930,0.0243945723,0.0234854724,0.0224154610,0.0213478336,0.0203300800,0.0193704833,0.0184660205,0.0176116654,0.0168029884,0.0160365523,0.0153097103,0.0146203305,0.0139665839,0.0133468077,0.0127594266,0.0122029107,0.0116757568,0.0111764810,0.0106996130,0.0102293387,0.0097911575,0.0093927235,0.0090309317,0.0087004116,0.0083962102,0.0081143771,0.0078518879,0.0076064233,0.0073761647,0.0071596422,0.0069556308,0.0067630830,0.0065810852,0.0064088293,0.0062455936,0.0060907302,0.0059436553,0.0058038418,0.0056708130,0.0055441381,0.0054234268,0.0053083257,0.0051985143,0.0050937016,0.0049936226,0.0048980359,0.0048067205,0.0047194736,0.0046361087,0.0045564532,0.0044803469,0.0044076406,0.0043381946,0.0042718780,0.0042085674,0.0041481467,0.0040905065,0.0040355445,0.0039831660,0.0039332854,0.0038858297,0.0038407435,0.0037979993,0.0037569977,0.0037176982,0.0036801365,0.0036443325,0.0036102797,0.0035780145,0.0035477061
"Consumption Per Capita ",10.4765415694,11.8063341067,13.2521001890,14.8203479533,16.5167331877,18.3453806024,20.3105905049,22.4164259877,24.6673399913,27.0687136187,29.6253822940,32.3419754308,35.2226368366,38.2715559641,41.4934663890,44.8938072481,48.4792869079,52.2610261189,56.2520320917,60.4719980297,64.9503283285,69.6814139929,74.6536987994,79.8566072518,85.2811686085,90.9188699377,96.7596046794,102.7884709813,108.9803766569,115.4084548293,122.0814469483,129.0200689146,136.2111893147,143.6353235625,151.2749735835,159.1160699219,167.1473620958,175.3594729497,183.7441224092,192.2936006563,201.0004460891,209.8572643465,218.8566362461,227.9910789359,237.2530379367,246.6348976189,256.1290053443,265.7277138287,275.4238126354,285.2112631060,295.0800863550,305.0199296178,315.0215922709,325.0769857157,335.1787636077,345.3199992817,355.4939816486,365.6941100673,375.9138534759,386.1467451771,396.3863950601,406.6265077247,416.8609015961,427.0835262406,437.2884772456,447.4700075487,457.6225379889,467.7406637740,477.8191617153,487.8529940921,497.8373138942,507.7674685525,517.6390048244,527.4476749811,537.1894471817,546.8605226568,556.4573640316,565.9767487617,575.4158587325,584.7724469844,594.0451219794,603.2338607828,612.3409057715,621.3723528028,630.3409515001,639.2710372057,648.2072606243,657.2300682001,666.4833535118,676.2243931889,671.1674209698,682.7970575608,693.3263196274,703.0402005131,712.1402091484,720.7694420340,729.0298045716,736.9940184204,744.7343654868,752.2485573272
"Carbon Price (per t CO2)",2.0125964256,40.4696309123,48.4277929481,57.3584101104,67.2965758487,78.2585328695,90.2454528584,103.2570726135,117.3129402150,132.4320484063,148.6205531796,165.8628899529,184.1206186826,203.3398978989,223.4559661343,244.4078434047,266.1926794273,288.8560312181,312.4940533247,337.2558114021,331.4782241205,323.1912685175,315.1114868046,307.2336996344,299.5528571436,292.0640357150,284.7624348221,277.6433739516,270.7022896028,353.3349018239,344.5015292783,335.8889910464,327.4917662702,319.3044721134,311.3218603106,303.5388138028,295.9503434578,288.5515848713,281.3377952495,274.3043503683,267.4467416091,260.7605730689,254.2415587421,247.8855197736,241.6883817793,235.6461722348,229.7550179289,224.0111424807,218.4108639187,212.9505923207,207.6268275127,202.4361568249,197.3752529042,192.4408715816,187.6298497921,182.9391035473,178.3656259586,173.9064853096,169.5588231769,165.3198525975,161.1868562825,157.1571848755,153.2282552536,149.3975488723,145.6626101504,142.0210448967,138.4705187743,135.0087558049,131.6335369098,128.3426984870,125.1341310249,122.0057777492,118.9556333055,115.9817424729,113.0821989111,110.2551439383,107.4987653398,104.8112962063,102.1910138012,99.6362384561,97.1453324947,94.7166991824,92.3487817028,90.0400621602,87.7890606062,85.5943340911,83.4544757388,81.3681138453,79.3339109992,77.3505632242,75.4167991436,73.5313791650,71.6930946859,69.9007673187,68.1532481358,66.4494169324,64.7881815091,63.1684769713,0.0000000000,0.0000000000
