

"Period",1.0000000000,2.0000000000,3.0000000000,4.0000000000,5.0000000000,6.0000000000,7.0000000000,8.0000000000,9.0000000000,10.0000000000,11.0000000000,12.0000000000,13.0000000000,14.0000000000,15.0000000000,16.0000000000,17.0000000000,18.0000000000,19.0000000000,20.0000000000,21.0000000000,22.0000000000,23.0000000000,24.0000000000,25.0000000000,26.0000000000,27.0000000000,28.0000000000,29.0000000000,30.0000000000,31.0000000000,32.0000000000,33.0000000000,34.0000000000,35.0000000000,36.0000000000,37.0000000000,38.0000000000,39.0000000000,40.0000000000,41.0000000000,42.0000000000,43.0000000000,44.0000000000,45.0000000000,46.0000000000,47.0000000000,48.0000000000,49.0000000000,50.0000000000,51.0000000000,52.0000000000,53.0000000000,54.0000000000,55.0000000000,56.0000000000,57.0000000000,58.0000000000,59.0000000000,60.0000000000,61.0000000000,62.0000000000,63.0000000000,64.0000000000,65.0000000000,66.0000000000,67.0000000000,68.0000000000,69.0000000000,70.0000000000,71.0000000000,72.0000000000,73.0000000000,74.0000000000,75.0000000000,76.0000000000,77.0000000000,78.0000000000,79.0000000000,80.0000000000,81.0000000000,82.0000000000,83.0000000000,84.0000000000,85.0000000000,86.0000000000,87.0000000000,88.0000000000,89.0000000000,90.0000000000,91.0000000000,92.0000000000,93.0000000000,94.0000000000,95.0000000000,96.0000000000,97.0000000000,98.0000000000,99.0000000000,100.0000000000
"Year",2015.0000000000,2020.0000000000,2025.0000000000,2030.0000000000,2035.0000000000,2040.0000000000,2045.0000000000,2050.0000000000,2055.0000000000,2060.0000000000,2065.0000000000,2070.0000000000,2075.0000000000,2080.0000000000,2085.0000000000,2090.0000000000,2095.0000000000,2100.0000000000,2105.0000000000,2110.0000000000,2115.0000000000,2120.0000000000,2125.0000000000,2130.0000000000,2135.0000000000,2140.0000000000,2145.0000000000,2150.0000000000,2155.0000000000,2160.0000000000,2165.0000000000,2170.0000000000,2175.0000000000,2180.0000000000,2185.0000000000,2190.0000000000,2195.0000000000,2200.0000000000,2205.0000000000,2210.0000000000,2215.0000000000,2220.0000000000,2225.0000000000,2230.0000000000,2235.0000000000,2240.0000000000,2245.0000000000,2250.0000000000,2255.0000000000,2260.0000000000,2265.0000000000,2270.0000000000,2275.0000000000,2280.0000000000,2285.0000000000,2290.0000000000,2295.0000000000,2300.0000000000,2305.0000000000,2310.0000000000,2315.0000000000,2320.0000000000,2325.0000000000,2330.0000000000,2335.0000000000,2340.0000000000,2345.0000000000,2350.0000000000,2355.0000000000,2360.0000000000,2365.0000000000,2370.0000000000,2375.0000000000,2380.0000000000,2385.0000000000,2390.0000000000,2395.0000000000,2400.0000000000,2405.0000000000,2410.0000000000,2415.0000000000,2420.0000000000,2425.0000000000,2430.0000000000,2435.0000000000,2440.0000000000,2445.0000000000,2450.0000000000,2455.0000000000,2460.0000000000,2465.0000000000,2470.0000000000,2475.0000000000,2480.0000000000,2485.0000000000,2490.0000000000,2495.0000000000,2500.0000000000,2505.0000000000,2510.0000000000
"Industrial Emissions GTCO2 per year",35.7403846239,30.6491351934,31.6296252426,31.9271308218,31.4234335162,29.9900686601,27.4878302529,23.7611901262,18.6262463922,11.8488199019,3.0961991962,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.8313901774,1.1852308885,1.2059943048,1.4193668478,1.6177580770,1.8085043812,1.9941822867,2.1773125299,2.3607464058,2.5464894497,2.7321794542,2.8609573643,2.9323644303,2.9864260619,3.0308704527,3.0690076179,2.0069269088,-1.3619587308,-4.6440071822,-7.8340696125,-10.9315912944,-13.9419575731,-14.4108597145,-14.1473741691,-13.8781586601,-13.6037335648,-13.3247215135,-13.0418512992,-12.7558888279,-12.4675963877,-12.1777119134,-11.8869385131,-11.5959391340,-11.3053388290,-11.0157367223,-10.7276486188,-10.4415533326,-10.1578998298,-9.8771028322,-9.5995406675,-9.3255552453,-9.0554531445,-8.7895072079,-8.5279583229,-8.2710172487,-8.0188664257,-7.7716617397,-7.5295342302,-7.2925917406,-7.0609205106,-6.8345867062,-6.6136378929,-6.3981044498,-6.1880009120,-5.9833272686,-5.7840701807,-5.5902041438,-5.4016925752,-5.2184888256,-5.0405371079,-4.8677733816,-4.7001259703,-4.5375161421,-4.3798583799,-4.2270602826,-4.0790218149,-3.9356336008,-3.7967735805,-3.6623009497,-3.5320455559,-3.4057897414,-3.2832372109,-3.1639596632,-3.0473043857,-2.9322310322,-2.8418700003,-2.7497771808,-2.6576011288,-2.5664210313,-2.4769347262,-2.3895836314,-2.3046363372,11.1112243295,10.7124498732
"Atmospheric concentrations ppm",399.6668848308,415.4103257751,423.3302814919,432.5536885752,441.8148217823,450.6790734595,458.7232895279,465.4758939167,470.3994440161,472.8728142467,472.1650407585,467.3859361190,462.6306941729,459.1207255272,456.1823027696,453.6155653627,451.3328092060,450.4569790777,449.0639849841,447.8455598271,446.8832350343,446.1144209119,445.5101326268,445.0517047762,444.7257643330,444.5227877231,444.4357814073,444.4571611313,444.5441347362,444.6631353320,444.8103499411,444.9832146953,445.1794384368,444.6930888691,442.2022799548,438.1596484166,432.7772736640,426.1883028774,418.4946824933,411.3651434335,404.9434473315,399.0080316830,393.4671289466,388.2739163246,383.3977892625,378.8145580208,374.5030679974,370.4440023650,366.6194310015,363.0126205311,359.6079375894,356.3907960816,353.3476430306,350.4659219388,347.7340405748,345.1413430249,342.6780802341,340.3353761518,338.1051884308,335.9802635941,333.9540871800,332.0208297514,330.1752898986,328.4128354928,326.7293444752,325.1211464122,323.5849659293,322.1178689744,320.7172126705,319.3805993138,318.1058348874,316.8908922540,315.7338790553,314.6330101906,313.5865846511,312.5929664078,311.6505689969,310.7578433937,309.9132689030,309.1153466106,308.3625951669,307.6535486908,306.9867567686,306.3607866842,305.7742284033,305.2257033850,304.7138792129,304.2374935065,303.7953932754,303.3866003951,303.0104222159,302.6666422666,302.3398889993,302.0366503139,301.7578477666,301.5033463939,301.2725573872,301.0646387530,300.8786095566,309.2799170722
"Atmospheric Temperature rel. 1850-1900",1.0956054625,1.1742646522,1.2786480460,1.3345137819,1.3856250125,1.4365665365,1.4825462525,1.5226720061,1.5552591888,1.5779839634,1.5894720473,1.5858287732,1.5649910620,1.5432712926,1.5267735622,1.5148577980,1.5063169965,1.5000000000,1.5000000000,1.5000000000,1.5000000000,1.5000000000,1.5000000000,1.5000000000,1.5000000000,1.5000000000,1.5000000000,1.5000000000,1.5000000000,1.5000000000,1.5000000000,1.5000000000,1.5000000000,1.5000000000,1.4971098477,1.4854513016,1.4659073975,1.4392866926,1.4060322931,1.3663787660,1.3274826852,1.2911280798,1.2567123076,1.2238319701,1.1922956514,1.1620053172,1.1328983167,1.1049251995,1.0778176009,1.0506688781,1.0252930248,1.0018355171,0.9799372550,0.9593025201,0.9397259875,0.9210646141,0.9032148915,0.8860985384,0.8696538953,0.8538307671,0.8385872938,0.8238880014,0.8097025362,0.7960047918,0.7827722637,0.7699855338,0.7576278352,0.7456846682,0.7341434533,0.7229932149,0.7122242940,0.7018280881,0.6917968198,0.6821233331,0.6728009163,0.6638231533,0.6551837987,0.6468766775,0.6388956060,0.6312343330,0.6238864987,0.6168456100,0.6101050303,0.6036579846,0.5974975809,0.5916168500,0.5860088120,0.5806665829,0.5755835429,0.5707536086,0.5661716805,0.5618343899,0.5577413807,0.5538010395,0.5500402437,0.5464691441,0.5430891637,0.5398977068,0.5369030430,0.5341388522
"Ocean Temperature rel. 1850-1900",0.1904244418,0.2154027834,0.2422229275,0.2702375352,0.2988978763,0.3281414458,0.3578665571,0.3879158271,0.4180991249,0.4481763606,0.4778692975,0.5068279407,0.5346411060,0.5611690268,0.5865267170,0.6108701054,0.6343246345,0.6569819165,0.6789908888,0.7004252650,0.7213000463,0.7416298424,0.7614288812,0.7807110195,0.7994897522,0.8177782218,0.8355892279,0.8529352357,0.8698283851,0.8862804991,0.9023030919,0.9179073772,0.9331042758,0.9479044237,0.9622687062,0.9760324270,0.9889974609,1.0009926343,1.0118660961,1.0214779582,1.0298165970,1.0369655663,1.0430119605,1.0480282776,1.0520782198,1.0552204271,1.0575100551,1.0589994095,1.0597343924,1.0597417752,1.0590705312,1.0577871527,1.0559515570,1.0536138068,1.0508164846,1.0475967669,1.0439878021,1.0400196022,1.0357196370,1.0311132452,1.0262239364,1.0210736228,1.0156828062,1.0100707331,1.0042555280,0.9982543073,0.9920832788,0.9857578285,0.9792925950,0.9727015337,0.9659979715,0.9591946536,0.9523037817,0.9453370468,0.9383056552,0.9312203507,0.9240914318,0.9169287665,0.9097418037,0.9025395830,0.8953307430,0.8881235285,0.8809257968,0.8737450247,0.8665883150,0.8594624035,0.8523736682,0.8453281400,0.8383315172,0.8313891856,0.8245062483,0.8176875719,0.8109378594,0.8042601198,0.7976569197,0.7911311745,0.7846858388,0.7783237585,0.7720478233,0.7658614987
"Output Net Net) ",104.8786166679,124.6699474359,146.6992503113,170.9907320860,197.5610754308,226.4263087997,257.5969540569,291.0534293986,326.7176749630,364.3828137766,403.5459544737,446.7464844867,494.1827893397,545.0500484625,599.2217161014,656.6221528737,717.8534198506,781.6955825714,848.8218963918,919.2100604100,992.8300971982,1069.6883431252,1149.7872903758,1233.1252220225,1319.6956524228,1409.4868014837,1502.4807950313,1598.6409060664,1697.9353402178,1800.3396407098,1905.8251967676,2014.3684544970,2125.7079837016,2239.4409478285,2355.8959467019,2475.1564771792,2597.1967693215,2721.9379415788,2849.9544774136,2980.9180254173,3114.4405877292,3250.3136045680,3388.3859397395,3528.5241770910,3670.6030518030,3814.5016845268,3960.1016022920,4107.2856203133,4255.9420657458,4405.9756621894,4557.2394562626,4709.6071541369,4862.9647861510,5017.2018853877,5172.2093990129,5327.8791714309,5484.1039322697,5640.7774720963,5797.7948839830,5955.0528109478,6112.4496780058,6269.8859004874,6427.2640679496,6584.4891032356,6741.4684005991,6898.1119457181,7054.3324163083,7210.0452687950,7365.1688130845,7519.6242591239,7673.3357682134,7826.2304685937,7978.2384588357,8129.2927735460,8279.3292996729,8428.2866171075,8576.1058124134,8722.7298527671,8868.1028141564,9012.1683848884,9154.8672917618,9296.1326872512,9435.8821656749,9574.0037152129,9710.3309803496,9844.5996556948,9976.3707672887,10104.8946786498,10228.8689378676,10346.0026231461,10452.2186632520,10633.1537708645,10796.8620271508,10947.8093653718,11089.1544355323,11223.1411985413,11351.3679909126,11474.9755274772,11595.0947459173,11711.6975462437
"Climate Damages fraction output",0.0028328291,0.0032541980,0.0038584603,0.0042029878,0.0045310978,0.0048703873,0.0051871464,0.0054717309,0.0057084415,0.0058764788,0.0059623545,0.0059350528,0.0057801050,0.0056207796,0.0055012485,0.0054157142,0.0053548185,0.0053100000,0.0053100000,0.0053100000,0.0053100000,0.0053100000,0.0053100000,0.0053100000,0.0053100000,0.0053100000,0.0053100000,0.0053100000,0.0053100000,0.0053100000,0.0053100000,0.0053100000,0.0053100000,0.0053100000,0.0052895574,0.0052074947,0.0050713674,0.0048888490,0.0046655473,0.0044060986,0.0041588163,0.0039341477,0.0037272089,0.0035347247,0.0033549027,0.0031866050,0.0030289623,0.0028812289,0.0027415902,0.0026052160,0.0024808929,0.0023686716,0.0022662538,0.0021718167,0.0020840804,0.0020021297,0.0019252813,0.0018530027,0.0017848630,0.0017205037,0.0016596196,0.0016019478,0.0015472589,0.0014953518,0.0014460485,0.0013991914,0.0013546399,0.0013122677,0.0012719612,0.0012336173,0.0011971417,0.0011624479,0.0011294555,0.0010980897,0.0010682801,0.0010399604,0.0010130673,0.0009875407,0.0009633227,0.0009403580,0.0009185931,0.0008979765,0.0008784584,0.0008599910,0.0008425279,0.0008260248,0.0008104389,0.0007957299,0.0007818595,0.0007687928,0.0007564989,0.0007449526,0.0007341381,0.0007238016,0.0007140045,0.0007047633,0.0006960722,0.0006879153,0.0006803051,0.0006733182
"Consumption Per Capita ",10.4952058361,11.8173636817,13.2607807410,14.8294087592,16.5247071959,18.3471514279,20.2966220069,22.3726232507,24.5762991023,26.9157479778,29.4187415136,32.1556690851,35.1404552211,38.3575688444,41.7980000247,45.4581776012,49.3394696152,53.4248393280,57.7215480687,62.2320293181,66.9568766200,71.8966104044,77.0514906511,82.4214193559,88.0058684129,93.8038099434,99.8136347723,106.0330392777,112.4592910198,119.0890610682,125.9178401263,132.9392707305,140.1436142141,147.5236514343,155.0844095060,162.8311249521,170.7666675143,178.8936253736,187.2167222034,195.7260252421,204.4055301082,213.2414806124,222.2228060429,231.3399901363,240.5843537501,249.9476742874,259.4219846815,268.9994724333,278.6725500736,288.4340306635,298.2754637297,308.1886573635,318.1659137450,328.1998354127,338.2831919937,348.4088585729,358.5697960200,368.7590513125,378.9697677615,389.1951980722,399.4287178271,409.6638380250,419.8942166618,430.1136686462,440.3161743231,450.4958873535,460.6471408223,470.7644522551,480.8425306648,490.8762771219,500.8607917461,510.7913757139,520.6635369573,530.4729968484,540.2157001877,549.8878154155,559.4858040968,569.0064332608,578.4468837159,587.8049067930,597.0791279010,606.2695451463,615.3784344326,624.4119477957,633.3829347489,642.3158762055,651.2556800042,660.2832523818,669.5433161987,679.2946692987,674.1432292361,685.8130167367,696.3717234661,706.1073906070,715.2237426486,723.8655088378,732.1357772438,740.1081204985,747.8554806922,755.3760448593
"Carbon Price (per t CO2)",2.0125964256,57.0960305013,71.4488148968,89.1269136042,110.8514178905,137.5121824085,170.2100696871,210.3234700711,259.6339668853,320.5829536608,396.8850761201,416.3067591843,405.8990902047,395.7516129495,385.8578226258,376.2113770602,353.3804748093,349.2607301822,340.4800645794,330.6425227117,321.1823702717,312.0308091726,303.1557304008,294.5289177537,286.1231616944,277.9184342300,269.9198415829,262.4187133790,255.3922556097,248.6158956749,242.0427663277,235.6509679302,234.7545766883,245.2176046841,255.4301044721,265.4006814534,275.1568094140,284.7547758440,281.3377952495,274.3043503683,267.4467416091,260.7605730689,254.2415587421,247.8855197736,241.6883817793,235.6461722348,229.7550179289,224.0111424807,218.4108639187,212.9505923207,207.6268275127,202.4361568249,197.3752529042,192.4408715816,187.6298497921,182.9391035473,178.3656259586,173.9064853096,169.5588231769,165.3198525975,161.1868562825,157.1571848755,153.2282552536,149.3975488723,145.6626101504,142.0210448967,138.4705187743,135.0087558049,131.6335369098,128.3426984870,125.1341310249,122.0057777492,118.9556333055,115.9817424729,113.0821989111,110.2551439383,107.4987653398,104.8112962063,102.1910138012,99.6362384561,97.1453324947,94.7166991824,92.3487817028,90.0400621602,87.7890606062,85.5943340911,83.4544757388,81.3681138453,79.3339109992,77.3505632242,75.4167991436,73.5313791650,71.6930946859,69.9007673187,68.1532481358,66.4494169324,64.7881815091,63.1684769713,0.0000000000,0.0000000000
