

"Period",1.0000000000,2.0000000000,3.0000000000,4.0000000000,5.0000000000,6.0000000000,7.0000000000,8.0000000000,9.0000000000,10.0000000000,11.0000000000,12.0000000000,13.0000000000,14.0000000000,15.0000000000,16.0000000000,17.0000000000,18.0000000000,19.0000000000,20.0000000000,21.0000000000,22.0000000000,23.0000000000,24.0000000000,25.0000000000,26.0000000000,27.0000000000,28.0000000000,29.0000000000,30.0000000000,31.0000000000,32.0000000000,33.0000000000,34.0000000000,35.0000000000,36.0000000000,37.0000000000,38.0000000000,39.0000000000,40.0000000000,41.0000000000,42.0000000000,43.0000000000,44.0000000000,45.0000000000,46.0000000000,47.0000000000,48.0000000000,49.0000000000,50.0000000000,51.0000000000,52.0000000000,53.0000000000,54.0000000000,55.0000000000,56.0000000000,57.0000000000,58.0000000000,59.0000000000,60.0000000000,61.0000000000,62.0000000000,63.0000000000,64.0000000000,65.0000000000,66.0000000000,67.0000000000,68.0000000000,69.0000000000,70.0000000000,71.0000000000,72.0000000000,73.0000000000,74.0000000000,75.0000000000,76.0000000000,77.0000000000,78.0000000000,79.0000000000,80.0000000000,81.0000000000,82.0000000000,83.0000000000,84.0000000000,85.0000000000,86.0000000000,87.0000000000,88.0000000000,89.0000000000,90.0000000000,91.0000000000,92.0000000000,93.0000000000,94.0000000000,95.0000000000,96.0000000000,97.0000000000,98.0000000000,99.0000000000,100.0000000000,101.0000000000,102.0000000000,103.0000000000,104.0000000000,105.0000000000,106.0000000000,107.0000000000,108.0000000000,109.0000000000,110.0000000000,111.0000000000,112.0000000000,113.0000000000,114.0000000000,115.0000000000,116.0000000000,117.0000000000,118.0000000000,119.0000000000,120.0000000000,121.0000000000,122.0000000000,123.0000000000,124.0000000000,125.0000000000,126.0000000000,127.0000000000,128.0000000000,129.0000000000,130.0000000000,131.0000000000,132.0000000000,133.0000000000,134.0000000000,135.0000000000,136.0000000000,137.0000000000,138.0000000000,139.0000000000,140.0000000000,141.0000000000,142.0000000000,143.0000000000,144.0000000000,145.0000000000,146.0000000000,147.0000000000,148.0000000000,149.0000000000,150.0000000000,151.0000000000,152.0000000000,153.0000000000,154.0000000000,155.0000000000,156.0000000000,157.0000000000,158.0000000000,159.0000000000,160.0000000000
"Year",2023.0000000000,2026.0000000000,2029.0000000000,2032.0000000000,2035.0000000000,2038.0000000000,2041.0000000000,2044.0000000000,2047.0000000000,2050.0000000000,2053.0000000000,2056.0000000000,2059.0000000000,2062.0000000000,2065.0000000000,2068.0000000000,2071.0000000000,2074.0000000000,2077.0000000000,2080.0000000000,2083.0000000000,2086.0000000000,2089.0000000000,2092.0000000000,2095.0000000000,2098.0000000000,2101.0000000000,2104.0000000000,2107.0000000000,2110.0000000000,2113.0000000000,2116.0000000000,2119.0000000000,2122.0000000000,2125.0000000000,2128.0000000000,2131.0000000000,2134.0000000000,2137.0000000000,2140.0000000000,2143.0000000000,2146.0000000000,2149.0000000000,2152.0000000000,2155.0000000000,2158.0000000000,2161.0000000000,2164.0000000000,2167.0000000000,2170.0000000000,2173.0000000000,2176.0000000000,2179.0000000000,2182.0000000000,2185.0000000000,2188.0000000000,2191.0000000000,2194.0000000000,2197.0000000000,2200.0000000000,2203.0000000000,2206.0000000000,2209.0000000000,2212.0000000000,2215.0000000000,2218.0000000000,2221.0000000000,2224.0000000000,2227.0000000000,2230.0000000000,2233.0000000000,2236.0000000000,2239.0000000000,2242.0000000000,2245.0000000000,2248.0000000000,2251.0000000000,2254.0000000000,2257.0000000000,2260.0000000000,2263.0000000000,2266.0000000000,2269.0000000000,2272.0000000000,2275.0000000000,2278.0000000000,2281.0000000000,2284.0000000000,2287.0000000000,2290.0000000000,2293.0000000000,2296.0000000000,2299.0000000000,2302.0000000000,2305.0000000000,2308.0000000000,2311.0000000000,2314.0000000000,2317.0000000000,2320.0000000000,2323.0000000000,2326.0000000000,2329.0000000000,2332.0000000000,2335.0000000000,2338.0000000000,2341.0000000000,2344.0000000000,2347.0000000000,2350.0000000000,2353.0000000000,2356.0000000000,2359.0000000000,2362.0000000000,2365.0000000000,2368.0000000000,2371.0000000000,2374.0000000000,2377.0000000000,2380.0000000000,2383.0000000000,2386.0000000000,2389.0000000000,2392.0000000000,2395.0000000000,2398.0000000000,2401.0000000000,2404.0000000000,2407.0000000000,2410.0000000000,2413.0000000000,2416.0000000000,2419.0000000000,2422.0000000000,2425.0000000000,2428.0000000000,2431.0000000000,2434.0000000000,2437.0000000000,2440.0000000000,2443.0000000000,2446.0000000000,2449.0000000000,2452.0000000000,2455.0000000000,2458.0000000000,2461.0000000000,2464.0000000000,2467.0000000000,2470.0000000000,2473.0000000000,2476.0000000000,2479.0000000000,2482.0000000000,2485.0000000000,2488.0000000000,2491.0000000000,2494.0000000000,2497.0000000000,2500.0000000000
"Industrial Emissions GTCO2 per year",36.6400000003,32.1844714950,26.7507829413,20.4485557078,17.1521451281,16.6481030371,16.0266425063,15.2833001270,14.4149172565,13.4261468893,12.3124473796,11.0790209630,9.7306675053,8.2677391027,6.6974252045,5.0219447467,3.2494229505,1.3856367489,-0.5653601852,-2.6013237577,-4.7132371246,-6.8992119690,-9.1434303189,-11.4499032994,-13.8156969935,-16.2063211958,-18.2475256540,-18.4710635999,-18.6744879272,-18.8606367360,-19.0358019322,-19.2035083408,-19.3431561729,-19.4907111685,-19.6236097501,-19.7431288886,-19.8482217469,-19.9389931955,-20.0096777172,-20.0765299151,-20.1291445564,-20.1852669639,-20.2201642887,-20.2062104219,-20.2359150783,-20.2453821063,-20.2161260660,-20.1687419010,-20.1160424675,-20.0550324014,-19.9763976687,-19.9000932010,-19.7925363458,-19.6751376640,-19.5635595365,-19.4193037563,-19.2700317137,-19.1472258437,-18.9803091246,-18.8220465957,-18.6848302131,-18.4948391907,-18.3290940801,-18.1256757017,-16.2595940491,-12.9852931251,-9.4257262498,-5.5330178711,-1.2066901856,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,13.5469479101,13.3050056293
"Atmospheric concentrations ppm",417.7824817264,424.3981349116,429.4371821316,432.8403066288,434.4926244819,435.5260728367,436.7674815304,437.9972600226,439.1262801279,440.0924398132,440.8486904995,441.3537103931,441.5715721499,441.4703153288,441.0209093320,440.1983898373,438.9790777465,437.3436399969,435.2754894386,432.7600603564,429.7842259936,426.3387590801,422.4155308579,418.0126038073,413.1265977616,407.7559787617,401.9117546009,395.7321935716,389.8344396008,384.1173792541,378.5467787818,373.1129048377,367.8307021386,362.7676671434,358.0426826453,353.7857452003,349.9648685056,346.4019973409,342.9502712312,339.5461788609,336.1660020018,332.8070633096,329.4661052912,326.1503290659,322.8748755054,319.6235420391,316.4050082871,313.2312720438,310.1058812597,307.0287491093,304.0013994628,301.0281823423,298.1066149486,295.2455826690,292.4455081469,289.7026691332,287.0262457420,284.4148730076,281.8586290304,279.3713355621,276.9471670970,274.5787516553,272.2823959130,270.0471083526,267.8839868704,266.2870866632,265.5670372942,265.6719007378,266.6128627916,268.4397475778,270.1506050989,271.5372298869,272.7160382588,273.7413421655,274.6508753325,275.4719636380,276.2244434769,276.9227280077,277.5773151756,278.1959455648,278.7842952240,279.3465445053,279.8858184407,280.4044832311,280.9043582661,281.3868678868,281.8531500713,282.3041343074,282.7405974216,283.1632036319,283.5725333116,283.9691036693,284.3533836434,284.7258046519,285.0867683745,285.4366524076,285.7758143948,286.1045950644,286.4233204812,286.7323037353,287.0318462241,287.3222386427,287.6037617617,287.8766870525,288.1412772003,288.3977865354,288.6464614035,288.8875404914,289.1212551182,289.3478295005,289.5674809970,289.7804203371,289.9868518361,290.1869735994,290.3809777175,290.5690504525,290.7513724177,290.9281187506,291.0994592794,291.2655586844,291.4265766541,291.5826680362,291.7339829837,291.8806670967,292.0228615598,292.1607032755,292.2943249929,292.4238554333,292.5494194114,292.6711379534,292.7891284111,292.9035045727,293.0143767703,293.1218519845,293.2260339450,293.3270232293,293.4249173575,293.5198108848,293.6117954911,293.7009600678,293.7873908020,293.8711712586,293.9523824592,294.0311029591,294.1074089221,294.1813741929,294.2530703671,294.3225668591,294.3899309688,294.4552279451,294.5185210482,294.5798716101,294.6393390924,294.6969811440,294.7528536552,294.8070108114,294.8595051449,294.9103875850,294.9597075066,299.0114256174
"Atmospheric Temperature rel. 1850-1900",1.3104841216,1.3714535770,1.4257774891,1.4858559843,1.5408056148,1.5862146946,1.6250768032,1.6600757149,1.6895223341,1.7147149481,1.7372321433,1.7571917031,1.7743980383,1.7895924462,1.8027987385,1.8133181749,1.8213832327,1.8269964870,1.8300722337,1.8304884043,1.8281196692,1.8228804234,1.8148438500,1.8041545165,1.7907579228,1.7748151508,1.7559770652,1.7340186060,1.7078691872,1.6793734653,1.6493009072,1.6179842248,1.5856913621,1.5526855167,1.5193603836,1.4863143084,1.4542889618,1.4236260270,1.3940960958,1.3653004829,1.3369253061,1.3087361199,1.2805732194,1.2523040246,1.2238582814,1.1952484130,1.1664018001,1.1373144034,1.1080142615,1.0785208784,1.0488468439,1.0190105989,0.9890432627,0.9589568313,0.9288009605,0.8986062593,0.8683859800,0.8381954781,0.8080629279,0.7779800433,0.7480152479,0.7181809257,0.6884715702,0.6589652365,0.6296557326,0.6006070207,0.5738984038,0.5516120006,0.5346335608,0.5237941129,0.5199103132,0.5194198439,0.5204917287,0.5225412953,0.5251273918,0.5279623920,0.5308652296,0.5337258766,0.5361813983,0.5383159542,0.5402808137,0.5421067995,0.5438165986,0.5454274076,0.5469523638,0.5484015877,0.5497829568,0.5511026798,0.5523657224,0.5535761212,0.5547372172,0.5558518270,0.5569223703,0.5579509637,0.5589394899,0.5598896493,0.5608029980,0.5616809758,0.5625249277,0.5633361193,0.5641157490,0.5648649566,0.5655848305,0.5662764129,0.5669407039,0.5675786647,0.5681912206,0.5687792632,0.5693436518,0.5698852155,0.5704047543,0.5709030405,0.5713808199,0.5718388123,0.5722777135,0.5726981950,0.5731009057,0.5734864724,0.5738555006,0.5742085752,0.5745462613,0.5748691048,0.5751776329,0.5754723552,0.5757537638,0.5760223342,0.5762785257,0.5765227821,0.5767555321,0.5769771899,0.5771881555,0.5773888155,0.5775795432,0.5777606995,0.5779326327,0.5780956796,0.5782501654,0.5783964043,0.5785346997,0.5786653450,0.5787886233,0.5789048082,0.5790141641,0.5791169463,0.5792134014,0.5793037677,0.5793882753,0.5794671464,0.5795405958,0.5796088308,0.5796720517,0.5797304520,0.5797842186,0.5798335317,0.5798785658,0.5799194891,0.5799564640,0.5799896475,0.5800191912,0.5800452412
"Mid-ocean Temperature rel. 1850-1900",1.1190907019,1.1832649438,1.2401811474,1.2961478081,1.3498376404,1.3981167660,1.4406719004,1.4787004416,1.5121253599,1.5413771897,1.5674004610,1.5907409347,1.6115519825,1.6302096252,1.6469261404,1.6614856829,1.6738530881,1.6840237864,1.6919548978,1.6975659437,1.7007565327,1.7014347408,1.6995841107,1.6952613834,1.6884721394,1.6792830390,1.6675760762,1.6531782421,1.6355286958,1.6151269657,1.5926288397,1.5685071449,1.5431029368,1.5166948665,1.4895919164,1.4622139685,1.4351043809,1.4086940239,1.3830925712,1.3581634870,1.3336903132,1.3094609254,1.2853018625,1.2610722157,1.2366737800,1.2120664779,1.1872028177,1.1620572089,1.1366314611,1.1109373625,1.0849875283,1.0587971082,1.0323882495,1.0057784981,0.9789988339,0.9520799007,0.9250435422,0.8979252633,0.8707570230,0.8435517487,0.8163456450,0.7891648637,0.7620201865,0.7349513153,0.7079783825,0.6811389965,0.6553658916,0.6320984752,0.6124750618,0.5974132639,0.5877268104,0.5822650221,0.5795308621,0.5785177990,0.5785641529,0.5792323920,0.5802370507,0.5813954474,0.5824624273,0.5833468638,0.5840792404,0.5846940487,0.5852172304,0.5856682103,0.5860615433,0.5864081584,0.5867162901,0.5869921732,0.5872405586,0.5874650973,0.5876686239,0.5878533664,0.5880211013,0.5881732685,0.5883110554,0.5884354592,0.5885473335,0.5886474213,0.5887363810,0.5888148044,0.5888832304,0.5889421556,0.5889920415,0.5890333205,0.5890663999,0.5890916655,0.5891094837,0.5891202038,0.5891241594,0.5891216696,0.5891130399,0.5890985634,0.5890785209,0.5890531823,0.5890228063,0.5889876415,0.5889479267,0.5889038911,0.5888557548,0.5888037295,0.5887480181,0.5886888156,0.5886263095,0.5885606794,0.5884920981,0.5884207313,0.5883467380,0.5882702711,0.5881914771,0.5881104966,0.5880274645,0.5879425104,0.5878557584,0.5877673277,0.5876773325,0.5875858822,0.5874930821,0.5873990326,0.5873038304,0.5872075679,0.5871103337,0.5870122126,0.5869132860,0.5868136317,0.5867133243,0.5866124351,0.5865110323,0.5864091814,0.5863069447,0.5862043820,0.5861015505,0.5859985047,0.5858952968,0.5857919766,0.5856885918,0.5855851875,0.5854818073,0.5853784924,0.5852752821,0.5851722141
"Deep-ocean temperature rel. 1850-1900",0.2865217004,0.3106282506,0.3357451132,0.3617258778,0.3885119767,0.4159739625,0.4439340568,0.4722345560,0.5007407118,0.5293238286,0.5578784486,0.5863238308,0.6145909368,0.6426193012,0.6703588922,0.6977611577,0.7247746228,0.7513490081,0.7774348126,0.8029821772,0.8279400841,0.8522562272,0.8758781875,0.8987556028,0.9208405270,0.9420872054,0.9624507299,0.9818831593,1.0003280152,1.0177279022,1.0340445997,1.0492568678,1.0633552473,1.0763390728,1.0882157762,1.0990026727,1.1087300401,1.1174411526,1.1251857401,1.1320115681,1.1379599308,1.1430649220,1.1473542957,1.1508506789,1.1535727378,1.1555366931,1.1567571812,1.1572473701,1.1570197380,1.1560866307,1.1544603998,1.1521534364,1.1491783030,1.1455477792,1.1412749428,1.1363733868,1.1308570620,1.1247403029,1.1180380095,1.1107653029,1.1029375167,1.0945704738,1.0856800662,1.0762823970,1.0663940192,1.0560317764,1.0452246831,1.0340347889,1.0225591883,1.0109205951,0.9992622546,0.9877205866,0.9763887941,0.9653219965,0.9545509528,0.9440904521,0.9339449327,0.9241122777,0.9145846639,0.9053495398,0.8963939796,0.8877064675,0.8792766450,0.8710950692,0.8631530298,0.8554424115,0.8479555896,0.8406853519,0.8336248391,0.8267674988,0.8201070509,0.8136374604,0.8073529155,0.8012478109,0.7953167339,0.7895544526,0.7839559066,0.7785161984,0.7732305866,0.7680944790,0.7631034269,0.7582531200,0.7535393813,0.7489581627,0.7445055402,0.7401777103,0.7359709857,0.7318817921,0.7279066637,0.7240422407,0.7202852654,0.7166325792,0.7130811192,0.7096279157,0.7062700891,0.7030048468,0.6998294808,0.6967413652,0.6937379534,0.6908167755,0.6879754363,0.6852116130,0.6825230525,0.6799075698,0.6773630454,0.6748874238,0.6724787110,0.6701349730,0.6678543339,0.6656349738,0.6634751274,0.6613730824,0.6593271774,0.6573358010,0.6553973897,0.6535104266,0.6516734402,0.6498850027,0.6481437289,0.6464482747,0.6447973361,0.6431896475,0.6416239813,0.6400991459,0.6386139853,0.6371673775,0.6357582339,0.6343854978,0.6330481438,0.6317451770,0.6304756315,0.6292385700,0.6280330828,0.6268582869,0.6257133252,0.6245973658,0.6235096014,0.6224492479,0.6214155446,0.6204077528
"Output Net Net ",132.4730008814,147.4130415904,162.1966236160,176.7157249600,192.1999056943,209.2350801499,227.3631551405,246.5914043859,266.8927126410,288.4214469666,311.0650098803,334.8761910352,360.0460452121,386.3522119962,414.1807180826,443.2097323553,473.7072554247,505.6784056411,539.3094881449,574.6867822916,611.6573275281,650.4884034414,690.8787186172,733.3545287152,777.8700597544,823.6756679730,871.6561711621,923.1415947484,976.3261426536,1031.3427472764,1088.5512993508,1148.2100960162,1209.1068491266,1273.4927677013,1340.0312364157,1408.8189969428,1479.7889178251,1552.9487674169,1627.8304214653,1705.7494520784,1785.8882296273,1869.8757476319,1955.5138314584,2039.9017562785,2132.2929743340,2226.3944327828,2319.9559428388,2415.0199399619,2513.0420058128,2613.6760115702,2715.6469243157,2821.6047118258,2926.7470319621,3033.9085875900,3145.5190438638,3255.3452039534,3367.6307480243,3488.0813288075,3603.9868254865,3724.8332410283,3853.4561818761,3974.6114829370,4104.2133933648,4228.5371332040,4353.4498239378,4491.7386124135,4623.9044808365,4753.9984525903,4878.3642597905,5011.3126427511,5143.9903522003,5280.2817767066,5412.2763668639,5544.8211382483,5671.6635438366,5809.6079343075,5932.5863427769,6049.4252314266,6198.9662646226,6326.0165105395,6449.4456428447,6566.6528952051,6710.1862754050,6851.1593225931,7009.8410807559,7126.8664337512,7258.6599403482,7393.9891202080,7526.4883467241,7629.9731741583,7767.0769333351,7879.1769714777,8031.7754820857,8198.5278174558,8354.5073857030,8497.5584004981,8623.9913538642,8783.9834882770,8934.1767203697,9072.1833192245,9212.6078783995,9357.2364161449,9501.0841785515,9659.5068190484,9807.5029095326,9942.0101416729,10111.6224739510,10284.7953569220,10457.3416343074,10627.0997712551,10815.5376323982,11007.5868565141,11205.8329319595,11398.4928482479,11603.4644818462,11777.7807914626,11952.6682077008,12149.2272837961,12350.9959532446,12540.4682191190,12734.0626529398,12911.4072639892,13117.1725357755,13325.0524168309,13521.8023970833,13737.8698932650,13908.1124787190,14103.6812641200,14302.7923788837,14504.3486421678,14713.7441472169,14956.8436901690,15162.1065650883,15394.0036786266,15618.3547242209,15843.2046834782,16068.9729701799,16304.8094634744,16575.2904374612,16834.0128082090,17077.0131466419,17331.2409233337,17588.3613008090,17847.5890259818,18106.1855520972,18363.6652120800,18611.9295754373,18843.7492570816,19040.9995463798,19151.3671770304,19077.2504361080,19519.4868367990,19939.7461423811,20343.2682043204,20733.2662281180,21114.9295954176,21489.1113209230,21858.8872109333,22226.1207875005,22591.1151188383
"Climate Damages fraction output",0.0040529900,0.0044388884,0.0047975058,0.0052103325,0.0056028334,0.0059379419,0.0062324641,0.0065038093,0.0067365863,0.0069389838,0.0071224222,0.0072870255,0.0074304326,0.0075582331,0.0076701966,0.0077599698,0.0078291510,0.0078774821,0.0079040279,0.0079076232,0.0078871708,0.0078420276,0.0077730334,0.0076817375,0.0075680809,0.0074339264,0.0072769549,0.0070960964,0.0068836885,0.0066558968,0.0064196566,0.0061781802,0.0059340243,0.0056895643,0.0054479561,0.0052135473,0.0049912971,0.0047830381,0.0045866693,0.0043991472,0.0042181915,0.0040421849,0.0038700879,0.0037011063,0.0035348767,0.0033715403,0.0032107639,0.0030526224,0.0028973616,0.0027451692,0.0025961881,0.0024505829,0.0023085675,0.0021702518,0.0020359041,0.0019056840,0.0017796623,0.0016580691,0.0015409990,0.0014283970,0.0013204833,0.0012172499,0.0011186237,0.0010247950,0.0009356606,0.0008513200,0.0007772881,0.0007180909,0.0006745660,0.0006474902,0.0006379239,0.0006367209,0.0006393515,0.0006443966,0.0006507907,0.0006578365,0.0006650902,0.0006722774,0.0006784776,0.0006838904,0.0006888919,0.0006935563,0.0006979381,0.0007020789,0.0007060103,0.0007097566,0.0007133367,0.0007167654,0.0007200546,0.0007232138,0.0007262508,0.0007291722,0.0007319836,0.0007346899,0.0007372955,0.0007398043,0.0007422200,0.0007445458,0.0007467849,0.0007489403,0.0007510147,0.0007530109,0.0007549314,0.0007567788,0.0007585554,0.0007602635,0.0007619054,0.0007634832,0.0007649992,0.0007664552,0.0007678533,0.0007691955,0.0007704835,0.0007717191,0.0007729042,0.0007740404,0.0007751294,0.0007761727,0.0007771719,0.0007781286,0.0007790440,0.0007799198,0.0007807572,0.0007815575,0.0007823221,0.0007830521,0.0007837488,0.0007844133,0.0007850468,0.0007856503,0.0007862250,0.0007867717,0.0007872916,0.0007877855,0.0007882545,0.0007886993,0.0007891209,0.0007895201,0.0007898977,0.0007902545,0.0007905912,0.0007909086,0.0007912075,0.0007914884,0.0007917521,0.0007919991,0.0007922302,0.0007924459,0.0007926468,0.0007928335,0.0007930065,0.0007931663,0.0007933134,0.0007934483,0.0007935716,0.0007936836,0.0007937848,0.0007938757,0.0007939565,0.0007940279
"Consumption Per Capita ",10.4764562558,11.4566478792,12.3778457759,13.2733596389,14.1855852682,15.1473328417,16.1641005865,17.2394887586,18.3740878595,19.5746552657,20.8409623535,22.1738646430,23.5816523453,25.0599259474,26.6208854022,28.2596310709,29.9813272223,31.7877966538,33.6859410013,35.6840057579,37.7814573261,39.9883595466,42.2991889091,44.7301024521,47.2962174441,49.9817880738,52.8033336728,55.8031387815,58.9563915746,62.2512221175,65.6922090176,69.2955659476,73.0212404748,76.9215827033,80.9892817457,85.2266503914,89.6371494685,94.2252109105,98.9706168137,103.9046510758,109.0178780533,114.3756933633,119.9592236785,125.6144609685,131.5818395104,137.8398309595,144.2918283527,150.9291294071,157.7955699956,164.9167426092,172.2619249599,179.9287029467,187.8054372936,195.9035866942,204.3451318461,212.9657813585,221.7746492851,231.0448909119,240.4643153919,250.1562498611,260.3977912809,270.7670950340,281.6258993750,292.6770346875,303.8630262158,315.7516493373,328.0198905458,340.5999789583,353.1970727950,366.2077919327,379.5680726521,393.4555999595,407.6741165572,422.3069483530,437.0808550691,452.6536152829,468.2879336547,483.5949862839,500.3341790941,517.2866415726,534.3272969262,550.9721687736,568.5193653244,586.6143913874,606.3990284819,625.5672147598,645.1579322277,665.4677034681,686.5126051899,706.5071261444,727.4880967264,747.4246856279,768.4467397732,791.1098589476,814.6994942374,838.5590739796,861.5889346867,886.0326900774,911.2214020543,936.4087189864,961.7853291054,987.5624050053,1013.5040258418,1040.5464420866,1067.8318137940,1094.0538737993,1121.3734692792,1149.5603376743,1178.2151826589,1206.7227027234,1236.0967315589,1266.2131413051,1297.3398630265,1328.9440373858,1362.1855282460,1394.8025158492,1426.8413769315,1459.8378617580,1494.0581886402,1528.4717873360,1563.4869080118,1597.5649885814,1632.8383592560,1669.2700490178,1705.8540948945,1744.5088113053,1781.3780175802,1818.6184701709,1856.1560529191,1893.7141589498,1931.3444314146,1971.6597625661,2010.9214950078,2051.3838161680,2092.0989298574,2132.8594921259,2173.2842577353,2213.5653817222,2256.2961753822,2300.1204371386,2343.5677912251,2387.6908845330,2432.7890370335,2479.3950328698,2528.3627562296,2581.6243272147,2642.4968227204,2717.9167497837,2822.1402767755,2984.7682374467,2690.3380408684,2756.8910279806,2820.1572582990,2880.8421805423,2939.5646248249,2996.6429286854,3052.5684381749,3107.5570950682,3161.8515816529,3215.6855368981
