,2023,2026,2029,2032,2035,2038,2041,2044,2047,2050,2053,2056,2059,2062,2065,2068,2071,2074,2077,2080,2083,2086,2089,2092,2095,2098,2101,2104,2107,2110,2113,2116,2119,2122,2125,2128,2131,2134,2137,2140,2143,2146,2149,2152,2155,2158,2161,2164,2167,2170,2173,2176,2179,2182,2185,2188,2191,2194,2197,2200,2203,2206,2209,2212,2215,2218,2221,2224,2227,2230,2233,2236,2239,2242,2245,2248,2251,2254,2257,2260,2263,2266,2269,2272,2275,2278,2281,2284,2287,2290,2293,2296,2299,2302,2305,2308,2311,2314,2317,2320,2323,2326,2329,2332,2335,2338,2341,2344,2347,2350,2353,2356,2359,2362,2365,2368,2371,2374,2377,2380,2383,2386,2389,2392,2395,2398,2401,2404,2407,2410,2413,2416,2419,2422,2425,2428,2431,2434,2437,2440,2443,2446,2449,2452,2455,2458,2461,2464,2467,2470,2473,2476,2479,2482,2485,2488,2491,2494,2497,2500
2786,0.0061829954,0.0047148593,0.0040493901,0.0037071051,0.0035172988,0.0037195789,0.0038258425,0.0038409111,0.0038467987,0.0038242952,0.0037894513,0.0037782731,0.0037343128,0.0037273112,0.0036889977,0.0036600614,0.0036261672,0.0036017006,0.0035880656,0.0035604335,0.0035489071,0.0035137045,0.0035086454,0.0035324645,0.0034888407,0.0034485327,0.0034570581,0.0034303249,0.0033921743,0.0033637275,0.0033579626,0.0032919965,0.0032911414,0.0032688865,0.0032473449,0.0032355375,0.0032126665,0.0031630377,0.0031431792,0.0031088476,0.003127753,0.0031273774,0.0030022342,0.0030593162,0.0030832171,0.0030396844,0.0029956953,0.0029780147,0.0029701805,0.0029385867,0.0029593619,0.0029170924,0.0028824135,0.0029065539,0.0028507084,0.0027995641,0.0028628641,0.0027875942,0.0027624202,0.0028371341,0.0027482285,0.0027961321,0.0027378216,0.0026581482,0.0027511392,0.0027377002,0.0027182518,0.0026232457,0.0026394443,0.0026260014,0.002652074,0.0026265501,0.0026247411,0.0025586641,0.0026415302,0.0025683247,0.0024179808,0.0026129783,0.002560294,0.0025073816,0.0023690842,0.0024469463,0.00243591,0.0026138519,0.0024286167,0.0024246028,0.0024576314,0.0025007652,0.0023035077,0.0024001305,0.0022085544,0.0022804387,0.0023934497,0.0024174651,0.002383726,0.0022330881,0.0023328734,0.0023482317,0.002293133,0.0022653043,0.0022580872,0.0022233127,0.0022781261,0.0022581128,0.002125953,0.0021817542,0.0022042217,0.0021950927,0.0021373909,0.0021584279,0.0021609085,0.0021814811,0.002160515,0.0022314827,0.0021499213,0.0020804501,0.0021080196,0.0021448501,0.0021163331,0.0021225019,0.0020331949,0.0020698914,0.0020952765,0.0020607886,0.0021445618,0.0020199758,0.0020228911,0.0020161457,0.0019918994,0.0019630356,0.002062509,0.0019760781,0.0020072215,0.0019931289,0.0019746737,0.0019398815,0.0019064589,0.0019779837,0.001987604,0.0019400906,0.001935593,0.001932317,0.0019336456,0.0019416179,0.0019828933,0.0020937148,0.0024117744,0.0032992914,0.0057792553,-0.0061401571,0.0022645833,0.0021754576,0.0021049159,0.0020492784,0.0020027026,0.0019663262,0.0019355353,0.0019100459,0.0018892135,0.0
2901,0.0075172313,0.0052002429,0.0042437464,0.0038256904,0.0038404707,0.003863058,0.0038602685,0.003832541,0.0038216526,0.0037931604,0.0037561594,0.0037430648,0.0036985776,0.0036915821,0.0036535638,0.0036251189,0.0035919224,0.0035681705,0.0035551445,0.0035279525,0.0035159125,0.0034780208,0.0034648752,0.003468107,0.0034215271,0.0033850126,0.003399373,0.0033788214,0.0033467247,0.0033243752,0.0033253549,0.0032683167,0.0032794815,0.00326946,0.0032504163,0.0032243889,0.0031988662,0.0031520343,0.0031351977,0.003102985,0.0031232086,0.0031236613,0.0029990871,0.0030566096,0.0030808912,0.0030377053,0.0029940398,0.0029766639,0.0029691119,0.00293777,0.002958774,0.0029166889,0.0028821609,0.0029064262,0.0028506538,0.0027995481,0.0028628737,0.0027875657,0.0027623351,0.0028369975,0.0027480224,0.0027960003,0.0027380741,0.0026597097,0.0027542815,0.0027415202,0.0027221511,0.0026269505,0.0026428752,0.0026291286,0.0026549148,0.0026291241,0.0026270824,0.0025607979,0.0026434944,0.00257014,0.0024197026,0.0026144897,0.0025615347,0.0025084264,0.0023699952,0.0024477707,0.0024366624,0.0026145445,0.0024292497,0.0024251918,0.0024581756,0.0025012659,0.0023039721,0.0024005728,0.002208982,0.0022808632,0.0023938651,0.002417858,0.0023840623,0.0022332681,0.0023328434,0.0023480684,0.002292921,0.0022650833,0.0022578736,0.0022231117,0.0022779376,0.002257936,0.0021257865,0.0021815956,0.0022040702,0.0021949477,0.0021372518,0.0021582941,0.0021607796,0.0021813569,0.0021603954,0.0022313674,0.0021498106,0.0020803438,0.0021079173,0.0021447516,0.0021162386,0.0021224112,0.0020331081,0.002069808,0.0020951965,0.002060712,0.0021444884,0.0020199058,0.0020228241,0.0020160817,0.0019918382,0.0019629772,0.0020624532,0.001976025,0.0020071708,0.0019930807,0.0019746278,0.0019398378,0.0019064174,0.0019779442,0.0019875665,0.001940055,0.0019355593,0.0019322851,0.0019336153,0.0019415893,0.0019828663,0.0020936897,0.0024117516,0.003299273,0.0057792486,-0.0061402328,0.0022645727,0.0021754463,0.0021049043,0.0020492668,0.0020026911,0.0019663151,0.0019355245,0.0019100356,0.0018892037,0.0
5004,0.0067114327,0.0049054804,0.0041250322,0.0037580507,0.0036189839,0.0037854136,0.0038396075,0.0038347365,0.0038336845,0.0038094134,0.003774762,0.0037639888,0.0037207779,0.003714602,0.0036768599,0.0036485176,0.0036152872,0.0035912111,0.0035777429,0.0035500153,0.0035375006,0.0034991954,0.0034856229,0.0034884251,0.0034410812,0.0034041654,0.0034190607,0.0034020728,0.0033791613,0.0033599306,0.0033577057,0.0032938565,0.0032971894,0.0032852779,0.0032715527,0.0032422564,0.0032109602,0.003159471,0.0031396838,0.0031057203,0.0031248607,0.0031245947,0.0029995302,0.0030566563,0.0030806362,0.0030372345,0.0029934071,0.0029759037,0.0029682549,0.0029368481,0.0029578004,0.0029156936,0.0028811593,0.0029054216,0.0028496698,0.0027985955,0.0028619443,0.0027866835,0.0027615032,0.0028362088,0.0027472959,0.0027953278,0.0027374634,0.0026591666,0.002753794,0.0027410914,0.0027217821,0.0026266459,0.0026426316,0.002628947,0.0026547951,0.0026290687,0.0026270919,0.0025608744,0.0026436222,0.0025702955,0.002419816,0.0026145326,0.0025611918,0.0025075546,0.0023688515,0.0024465644,0.0024354811,0.0026134128,0.0024281856,0.0024241816,0.0024572212,0.0025003665,0.0023031223,0.0023997554,0.0022081918,0.0022800856,0.0023931059,0.0024171317,0.0023834036,0.0022327772,0.0023325717,0.0023479401,0.0022928518,0.0022650331,0.0022578256,0.0022230606,0.0022778829,0.0022578788,0.0021257285,0.0021815377,0.0022040133,0.0021948924,0.0021371986,0.002158243,0.0021607308,0.0021813104,0.0021603512,0.0022313253,0.0021497707,0.002080306,0.0021078813,0.0021447173,0.0021162061,0.0021223802,0.0020330787,0.00206978,0.0020951698,0.0020606866,0.0021444641,0.0020198827,0.0020228021,0.0020160608,0.0019918182,0.0019629581,0.0020624349,0.0019760076,0.0020071541,0.0019930647,0.0019746126,0.0019398233,0.0019064035,0.0019779307,0.0019875536,0.0019400427,0.0019355475,0.0019322737,0.0019336045,0.0019415789,0.0019828564,0.0020936803,0.002411743,0.0032992662,0.0057792468,-0.0061402654,0.0022645682,0.0021754414,0.0021048992,0.0020492614,0.0020026858,0.0019663097,0.0019355191,0.0019100303,0.0018891985,0.0
5038,0.0059116578,0.0046101675,0.0040060327,0.0036876264,0.0035013558,0.0036324125,0.0037917097,0.0038284261,0.0038439839,0.0038269418,0.0037954079,0.0037855345,0.0037425852,0.0037365868,0.0036986869,0.0036701325,0.0036367406,0.0036129735,0.0036008512,0.0035768679,0.0035742475,0.0035599879,0.0035511095,0.0035505565,0.0034969901,0.0034529141,0.0034600874,0.0034328213,0.0033944044,0.0033658398,0.0033600187,0.0032939474,0.0032928479,0.0032699968,0.0032469681,0.003230849,0.0032145795,0.0031676351,0.0031484836,0.0031139588,0.0031322696,0.0031311621,0.0030052973,0.0030617422,0.0030851156,0.0030411587,0.0029968299,0.0029788799,0.0029708354,0.0029390822,0.0029597367,0.0029173877,0.0028826606,0.0029067788,0.0028509406,0.0027998175,0.0028631356,0.0027878752,0.0027626433,0.0028371449,0.0027476907,0.0027941568,0.0027347921,0.0026558918,0.0027503836,0.0027377707,0.0027186256,0.0026236822,0.002639849,0.0026263465,0.0026523614,0.0026267913,0.0026249499,0.0025588532,0.002641713,0.0025685166,0.0024182114,0.0026131435,0.0025603533,0.0025073777,0.0023690549,0.0024469131,0.0024358824,0.0026138325,0.0024286055,0.002424598,0.0024576316,0.002500769,0.0023035138,0.0024001384,0.0022085633,0.0022804484,0.0023934599,0.0024174757,0.0023837368,0.002233099,0.0023328845,0.002348243,0.0022931444,0.0022653159,0.002258099,0.0022233246,0.0022781383,0.0022581252,0.0021259656,0.002181767,0.0022042347,0.002195106,0.0021374043,0.0021584416,0.0021609224,0.0021814952,0.0021605293,0.0022314972,0.0021499359,0.0020804649,0.0021080346,0.0021448652,0.0021163484,0.0021225173,0.0020332104,0.002069907,0.0020952923,0.0020608045,0.0021445778,0.0020199918,0.0020229072,0.0020161619,0.0019919156,0.0019630518,0.0020625253,0.0019760945,0.0020072378,0.0019931453,0.0019746901,0.0019398979,0.0019064753,0.0019780001,0.0019876205,0.001940107,0.0019356094,0.0019323334,0.0019336619,0.0019416341,0.0019829093,0.0020937305,0.002411789,0.0032993028,0.0057792562,-0.0061400871,0.0022645928,0.0021754684,0.0021049276,0.0020492908,0.0020027156,0.0019663396,0.001935549,0.0019100599,0.0018892277,0.0
5346,0.0031608139,0.0036671139,0.003677696,0.0035467618,0.0033705107,0.0032559458,0.0032849182,0.0038208724,0.004019102,0.0040545401,0.0040265673,0.0040047334,0.0039427992,0.0039168899,0.0038598736,0.0038133499,0.0037630148,0.0037234472,0.0036959103,0.0036550423,0.0036306525,0.0035814372,0.00355806,0.0035519427,0.0034959508,0.0034509929,0.0034581802,0.0034315861,0.0033944068,0.0033677865,0.0033645961,0.0033003907,0.0032971089,0.0032661822,0.0032343451,0.0032116266,0.0031962181,0.0031574811,0.0031449349,0.0031145176,0.0031362005,0.0031405154,0.0030173407,0.0030741069,0.0030967766,0.0030517264,0.0030060857,0.002986358,0.0029754917,0.0029380713,0.0029521993,0.0029070836,0.0028717295,0.0028960527,0.0028407025,0.0027901123,0.0028539491,0.0027792162,0.0027545164,0.002829666,0.0027412198,0.0027896538,0.0027321906,0.0026542459,0.00274918,0.0027367948,0.002717768,0.0026228868,0.0026390825,0.0026255849,0.0026515949,0.0026260131,0.0026241533,0.0025580334,0.0026408552,0.0025675948,0.0024171503,0.0026122921,0.0025597814,0.0025069406,0.0023686786,0.0024465639,0.0024355513,0.0026135102,0.0024282936,0.0024242934,0.0024573331,0.0025004765,0.0023032287,0.002399858,0.0022082887,0.0022801787,0.0023931919,0.0024172138,0.0023834783,0.0022328458,0.0023326339,0.0023479968,0.0022929016,0.0022650782,0.0022578636,0.0022230937,0.0022779099,0.0022579006,0.0021257446,0.0021815487,0.0022040197,0.0021948947,0.0021371947,0.0021582362,0.0021607192,0.0021812948,0.0021603317,0.0022313021,0.0021497437,0.0020802764,0.0021078484,0.0021446813,0.0021161672,0.0021223386,0.002033035,0.0020697333,0.0020951208,0.0020606358,0.0021444113,0.0020198282,0.0020227456,0.0020160027,0.0019917602,0.0019628975,0.0020623712,0.0019759424,0.0020070927,0.0019929997,0.0019745465,0.0019397537,0.0019063376,0.0019778621,0.0019874847,0.0019399733,0.0019354776,0.0019322033,0.001933533,0.0019415105,0.0019827854,0.0020936111,0.0024116775,0.0032992166,0.0057792446,-0.0061405796,0.0022645258,0.0021753931,0.0021048463,0.0020492053,0.002002627,0.001966249,0.001935457,0.0019099673,0.0018891346,0.0
6016,0.0049746244,0.0042859491,0.0038932321,0.0036397323,0.0034539384,0.0034228648,0.0037422912,0.0038430489,0.0038820778,0.0038721754,0.0038416155,0.0038306187,0.0037856673,0.0037778736,0.0037385441,0.0037105318,0.0036822829,0.0036745694,0.0036788003,0.0036505327,0.0036307475,0.0035828752,0.0035597149,0.0035533954,0.0034973171,0.0034521021,0.0034587268,0.0034315662,0.0033934717,0.0033652554,0.0033598912,0.0032942192,0.0032929825,0.0032693685,0.0032464189,0.0032335119,0.0032162735,0.0031676419,0.0031472423,0.0031121195,0.003130229,0.0031291157,0.0030033423,0.0030598486,0.0030832666,0.0030393617,0.0029950857,0.0029771866,0.0029691998,0.002937521,0.0029582554,0.0029160077,0.0028813927,0.0029056161,0.002849885,0.002798834,0.0028620953,0.0027865049,0.0027601895,0.002832522,0.002742476,0.002790314,0.0027326441,0.0026546553,0.0027496065,0.0027372564,0.0027182719,0.0026234314,0.0026396651,0.0026262072,0.0026522519,0.0026267018,0.0026248739,0.0025587864,0.0026416514,0.0025684563,0.0024181443,0.0026131157,0.0025603599,0.0025073889,0.0023690586,0.0024469063,0.0024358659,0.0026138083,0.002428576,0.0024245651,0.0024575968,0.0025007337,0.0023034792,0.0024001048,0.0022085315,0.0022804184,0.0023934319,0.0024174498,0.0023837132,0.0022330777,0.0023328653,0.0023482258,0.0022931293,0.0022653026,0.0022580874,0.0022233148,0.00227813,0.0022581184,0.0021259602,0.0021817629,0.0022042319,0.0021951043,0.0021374037,0.002158442,0.0021609237,0.0021814975,0.0021605323,0.002231501,0.0021499404,0.0020804701,0.0021080404,0.0021448716,0.0021163553,0.0021225246,0.0020332182,0.0020699152,0.0020953009,0.0020608134,0.0021445871,0.0020200013,0.0020229169,0.0020161719,0.0019919258,0.0019630622,0.0020625359,0.0019761052,0.0020072487,0.0019931562,0.0019747012,0.001939909,0.0019064865,0.0019780113,0.0019876317,0.0019401182,0.0019356207,0.0019323446,0.0019336731,0.0019416453,0.0019829204,0.0020937414,0.0024117991,0.0032993107,0.005779257,-0.0061400397,0.0022645993,0.0021754757,0.0021049356,0.0020492992,0.0020027244,0.0019663487,0.0019355582,0.0019100692,0.0018892371,0.0
6120,0.0063640247,0.0047765215,0.0040719473,0.0037234126,0.0035441553,0.0037644643,0.0038413098,0.0038442365,0.0038451722,0.0038212646,0.0037861539,0.0037742573,0.0037300698,0.0037231442,0.0036847192,0.0036557942,0.0036220753,0.0035975908,0.0035837969,0.0035558358,0.0035433002,0.0035053333,0.0034931315,0.0034997079,0.0034619905,0.0034385005,0.0034539758,0.0034299982,0.0033928336,0.003364581,0.0033587003,0.0032926958,0.0032924702,0.003272114,0.0032542023,0.0032392985,0.0032129083,0.0031623993,0.0031425576,0.0031083861,0.0031273902,0.0031270456,0.003001904,0.0030589797,0.0030828812,0.0030393617,0.0029953925,0.0029777343,0.0029699224,0.002938348,0.0029591387,0.002916876,0.0028821973,0.002906331,0.0028504663,0.0027992941,0.0028625608,0.0027872397,0.0027620132,0.0028366883,0.0027477751,0.0027958154,0.0027379838,0.0026597176,0.0027543175,0.0027414611,0.0027216043,0.0026249903,0.0026401344,0.0026262214,0.0026520845,0.0026264734,0.002624637,0.0025585633,0.0026414498,0.0025682807,0.0024180002,0.0026129552,0.002560184,0.0025072179,0.0023688985,0.0024467568,0.0024357263,0.0026136769,0.0024284528,0.0024244483,0.0024574854,0.0025006271,0.0023033774,0.0024000066,0.002208437,0.0022803266,0.0023933426,0.002417363,0.002383629,0.0022329961,0.0023327855,0.0023481481,0.0022930537,0.002265229,0.0022580157,0.0022232449,0.0022780617,0.0022580518,0.0021258955,0.0021816996,0.0022041701,0.0021950439,0.002137345,0.0021583845,0.0021608676,0.0021814427,0.0021604789,0.0022314487,0.0021498896,0.0020804205,0.0021079919,0.0021448243,0.0021163091,0.0021224796,0.0020331744,0.0020698724,0.002095259,0.0020607726,0.0021445471,0.0020199625,0.002022879,0.0020161349,0.0019918897,0.001963027,0.0020625015,0.0019760716,0.0020072159,0.0019931243,0.00197467,0.0019398786,0.0019064568,0.0019779823,0.0019876034,0.0019400906,0.0019355937,0.0019323183,0.0019336475,0.0019416203,0.0019828962,0.0020937181,0.0024117776,0.0032992937,0.0057792536,-0.0061401294,0.0022645869,0.002175462,0.002104921,0.002049284,0.0020027087,0.0019663328,0.0019355422,0.0019100532,0.0018892211,0.0
9563,0.0033745721,0.0036991739,0.0036387655,0.0034784623,0.0033027251,0.0031935501,0.0032296615,0.0037816765,0.0039903061,0.0040313998,0.0040081803,0.0039927957,0.0039359482,0.0039143712,0.0038612737,0.0038185354,0.0037713771,0.0037339261,0.0037078984,0.0036683135,0.003645221,0.0035975545,0.0035753446,0.0035700519,0.0035138816,0.0034685683,0.0034751342,0.0034492147,0.0034129155,0.003386966,0.0033844359,0.0033209555,0.0033182936,0.003289019,0.0032644245,0.0032703378,0.0032473428,0.0031864942,0.0031562488,0.003114931,0.0031294566,0.0031262533,0.0029993605,0.0030552345,0.0030782911,0.0030343356,0.0029901514,0.0029724238,0.0029646954,0.0029332973,0.0029543017,0.0029123383,0.002878024,0.0029024594,0.0028469641,0.0027961643,0.0028597801,0.0027848255,0.00275996,0.0028349787,0.0027464125,0.0027947963,0.0027373135,0.0026594271,0.0027544411,0.0027420543,0.0027228501,0.0026272499,0.0026418295,0.002626817,0.0026522486,0.0026263705,0.0026242851,0.0025580234,0.0026406965,0.002567342,0.0024168223,0.0026118671,0.0025592489,0.0025063459,0.0023680598,0.0024459265,0.0024349038,0.0026128607,0.002427649,0.0024236558,0.0024566998,0.0024998537,0.0023026172,0.002399255,0.0022076986,0.0022795962,0.0023926185,0.0024166493,0.0023829259,0.0022323052,0.0023321043,0.0023474748,0.0022923912,0.0022645814,0.0022573709,0.0022226176,0.0022774416,0.002257441,0.002125294,0.0021811146,0.0022035908,0.0021944732,0.0021367855,0.002157835,0.0021603271,0.0021809147,0.0021599487,0.0022309476,0.0021493791,0.0020799275,0.0021075121,0.0021443479,0.0021158424,0.0021220251,0.0020327231,0.002069433,0.0020948272,0.0020603491,0.0021441309,0.0020195557,0.0020224799,0.0020157435,0.001991506,0.0019626507,0.0020621314,0.0019757096,0.0020068605,0.0019927758,0.0019743287,0.0019395441,0.0019061286,0.0019776601,0.0019872872,0.0019397808,0.00193529,0.0019320205,0.0019333556,0.0019413346,0.0019826174,0.0020934499,0.0024115304,0.0032991005,0.0057792097,-0.0061411962,0.0022644399,0.0021752977,0.0021047444,0.0020490989,0.0020025178,0.0019661381,0.0019353453,0.0019098555,0.0018890232,0.0
9581,0.0078140365,0.0053064599,0.0042811666,0.0038518228,0.0038608736,0.0038591147,0.003846566,0.003815618,0.0038039662,0.0037756002,0.0037393913,0.0037277272,0.0036843481,0.0036782199,0.00364098,0.0036132472,0.0035807151,0.0035574186,0.0035448021,0.0035180545,0.003506521,0.003469261,0.0034567418,0.0034606154,0.0034145337,0.0033786089,0.0033936432,0.0033743843,0.003343935,0.0033236553,0.0033275273,0.0032740978,0.0032886062,0.0032799129,0.0032595856,0.0032307344,0.0032025725,0.0031541477,0.0031366397,0.0031042611,0.0031245655,0.003125216,0.0030009599,0.0030591675,0.003084673,0.0030414763,0.0029972841,0.0029793176,0.0029712481,0.002939481,0.0029601941,0.0029178943,0.0028832683,0.0029076335,0.0028522644,0.0028016099,0.0028650687,0.0027896971,0.0027643455,0.0028388661,0.0027497279,0.0027975539,0.0027394699,0.0026609591,0.0027554,0.0027425125,0.0027230295,0.0026277246,0.0026435591,0.0026297337,0.0026554544,0.0026296097,0.0026275256,0.0025612106,0.0026438841,0.0025705147,0.0024200647,0.0026148567,0.0025618925,0.0025087006,0.0023700145,0.0024472746,0.0024358758,0.0026136972,0.0024284276,0.0024244074,0.0024574394,0.0025005797,0.0023033299,0.0023999589,0.0022083895,0.0022802787,0.0023932942,0.0024173143,0.0023835799,0.0022329468,0.0023327357,0.0023480979,0.0022930032,0.0022651783,0.0022579647,0.0022231937,0.0022780104,0.0022580004,0.0021258442,0.0021816481,0.0022041186,0.0021949925,0.0021372937,0.0021583333,0.0021608165,0.0021813916,0.002160428,0.002231398,0.0021498392,0.0020803705,0.0021079421,0.0021447747,0.0021162599,0.0021224307,0.0020331259,0.0020698242,0.0020952111,0.0020607251,0.0021445,0.0020199159,0.0020228328,0.0020160891,0.0019918443,0.0019629821,0.0020624568,0.0019760275,0.0020071722,0.0019930811,0.0019746272,0.0019398363,0.001906415,0.0019779409,0.0019875624,0.0019400501,0.0019355537,0.0019322788,0.0019336084,0.0019415818,0.0019828584,0.0020936815,0.0024117437,0.003299267,0.0057792501,-0.006140283,0.002264566,0.0021754385,0.0021048955,0.0020492571,0.0020026809,0.0019663042,0.0019355132,0.0019100239,0.0018891917,0.0
9877,0.0002407222,0.0027176857,0.003380598,0.0034773327,0.0034100189,0.0034155321,0.0036849483,0.0039732097,0.0040775436,0.0040781755,0.0040379433,0.0040116272,0.0039486747,0.0039232741,0.0038665146,0.0038203764,0.003770461,0.0037312058,0.0037039257,0.0036632463,0.0036389304,0.0035894798,0.0035659449,0.0035597075,0.0035036545,0.0034586236,0.0034657447,0.0034388524,0.003401272,0.0033742689,0.0033706896,0.0033060546,0.0033025078,0.0032715539,0.0032396741,0.0032165857,0.003200593,0.0031612918,0.0031483534,0.003117829,0.0031399041,0.0031458478,0.0030218563,0.0030768638,0.003097768,0.0030513211,0.0030047794,0.0029848709,0.0029748669,0.0029404924,0.0029559957,0.002909591,0.0028733612,0.00289726,0.0028417035,0.0027910244,0.0028548258,0.0027800929,0.0027554082,0.0028305841,0.0027421599,0.002790617,0.0027331724,0.0026552496,0.0027502044,0.0027378306,0.0027188134,0.002623938,0.0026401398,0.0026266518,0.002652669,0.0026270929,0.0026252408,0.0025591297,0.0026419723,0.0025687511,0.0024184052,0.0026133839,0.0025606414,0.0025076756,0.0023693484,0.0024471993,0.0024361594,0.0026141013,0.0024288638,0.0024248479,0.0024578736,0.0025010032,0.0023037394,0.0024003573,0.0022087745,0.0022806537,0.0023936597,0.0024176695,0.0023839244,0.0022332803,0.0023330609,0.0023484141,0.0022933102,0.0022654766,0.0022582549,0.0022234758,0.0022782853,0.0022582677,0.0021261034,0.0021819011,0.0022043651,0.0021952325,0.0021375271,0.0021585609,0.0021610383,0.0021816079,0.0021606388,0.0022316037,0.0021500391,0.002080565,0.002108132,0.00214496,0.0021164404,0.0021226067,0.0020332972,0.0020699915,0.0020953744,0.0020608843,0.0021446556,0.0020200671,0.0020229804,0.0020162331,0.0019919847,0.0019631191,0.0020625909,0.0019761581,0.0020072998,0.0019932055,0.0019747486,0.0019399547,0.0019065306,0.001978054,0.0019876728,0.0019401578,0.0019356589,0.0019323815,0.0019337087,0.0019416795,0.0019829533,0.0020937725,0.0024118276,0.0032993335,0.0057792629,-0.0061399291,0.0022646145,0.0021754925,0.0021049532,0.0020493175,0.0020027428,0.0019663672,0.0019355766,0.0019100875,0.001889255,0.0
