,2023,2026,2029,2032,2035,2038,2041,2044,2047,2050,2053,2056,2059,2062,2065,2068,2071,2074,2077,2080,2083,2086,2089,2092,2095,2098,2101,2104,2107,2110,2113,2116,2119,2122,2125,2128,2131,2134,2137,2140,2143,2146,2149,2152,2155,2158,2161,2164,2167,2170,2173,2176,2179,2182,2185,2188,2191,2194,2197,2200,2203,2206,2209,2212,2215,2218,2221,2224,2227,2230,2233,2236,2239,2242,2245,2248,2251,2254,2257,2260,2263,2266,2269,2272,2275,2278,2281,2284,2287,2290,2293,2296,2299,2302,2305,2308,2311,2314,2317,2320,2323,2326,2329,2332,2335,2338,2341,2344,2347,2350,2353,2356,2359,2362,2365,2368,2371,2374,2377,2380,2383,2386,2389,2392,2395,2398,2401,2404,2407,2410,2413,2416,2419,2422,2425,2428,2431,2434,2437,2440,2443,2446,2449,2452,2455,2458,2461,2464,2467,2470,2473,2476,2479,2482,2485,2488,2491,2494,2497,2500
2786,2.4451260399,2.5280184313,2.647349894,2.7455266816,2.762119658,2.7501214179,2.7176664364,2.6803877633,2.6428086799,2.6092864785,2.573581977,2.529568646,2.4872404828,2.4453753383,2.4023042031,2.3580973043,2.3123190764,2.2650423743,2.2153005463,2.1623906948,2.1055187476,2.0440685406,1.9793129958,1.9114464078,1.8428204243,1.777152011,1.7129952481,1.6437994609,1.5725760315,1.5022587671,1.4325387003,1.3632748581,1.294675953,1.227779378,1.164451116,1.1068219773,1.0545798452,1.0162012127,0.981981499,0.9467360024,0.9091372371,0.8693365962,0.8277440763,0.7850363716,0.7422559871,0.6995564032,0.6574423616,0.6164947618,0.5771056639,0.5395314165,0.5040046529,0.4708130822,0.4400314642,0.4119752435,0.3868194611,0.3645884267,0.3456074051,0.3301083262,0.3181144261,0.3101865745,0.3067129476,0.3080566204,0.3151991761,0.3289614787,0.3506841961,0.3743972845,0.394241476,0.411796964,0.427693305,0.4423484137,0.4560542863,0.4690169184,0.4813829482,0.4932579303,0.5047188971,0.5158230091,0.5266135253,0.5332826947,0.5381009177,0.5430887825,0.5481454299,0.5532019151,0.5582115428,0.5631427082,0.5679742647,0.5726924073,0.5772885244,0.5817576915,0.5860976019,0.590307802,0.5943891419,0.5983433791,0.602172893,0.6058804784,0.6094691972,0.6129422712,0.6163030057,0.6195547345,0.6227007814,0.6257444327,0.6286889187,0.6315374008,0.6342929631,0.6369586074,0.6395372502,0.6420317213,0.6444447641,0.646779036,0.6490371098,0.6512214754,0.6533345417,0.6553786389,0.6573560207,0.6592688662,0.6611192829,0.6629093081,0.6646409121,0.6663159995,0.6679364121,0.6695039305,0.6710202764,0.6724871143,0.6739060541,0.675278652,0.6766064131,0.6778907926,0.679133198,0.6803349901,0.6814974852,0.6826219562,0.683709634,0.6847617094,0.685779334,0.6867636216,0.6877156497,0.6886364604,0.6895270618,0.6903884292,0.6912215059,0.6920272046,0.6928064082,0.6935599709,0.694288719,0.6949934522,0.695674944,0.6963339429,0.6969711732,0.6975873356,0.6981831082,0.6987591472,0.6993160874,0.6998545433,0.7003751094,0.7008783612,0.7013648553,0.7018351307,0.7022897089,0.7027290945,0.7031537761,0.7736115515
2901,3.1032783563,3.1137037543,3.1735602079,3.2054558162,3.2046930851,3.1776410756,3.1566841604,3.130571916,3.1031666815,3.0784616,3.0561610323,3.0362183453,3.0171283603,2.9982683644,2.9804970003,2.9615387558,2.9405954635,2.9176994984,2.8920099893,2.8629336188,2.8306581769,2.7955303044,2.7569287452,2.7148511234,2.6702266076,2.6220177996,2.5700069856,2.5118090151,2.4487565549,2.3820447703,2.3116487412,2.2378673808,2.1617445144,2.086226971,2.0166154166,1.9585981415,1.9116423312,1.8694403695,1.8268045732,1.7817124991,1.7337505989,1.6831894043,1.6303016055,1.5755637051,1.5198591384,1.4632127439,1.4060413228,1.3488876953,1.2921263631,1.2360053266,1.1807584656,1.1266868247,1.0738495692,1.0225759475,0.9730132665,0.9251074639,0.8791366337,0.8351938402,0.7930345132,0.7530271166,0.7151216375,0.6790483196,0.6451742149,0.6131762127,0.5832287918,0.5554003805,0.5292704579,0.504942198,0.482344948,0.4615889289,0.4424208609,0.4248201784,0.4086375544,0.3938878559,0.3804619257,0.3684411488,0.3575045337,0.3464479066,0.3363625984,0.3273720877,0.3195143583,0.3126350321,0.3068523078,0.3019052563,0.2979146852,0.2945274298,0.2921166887,0.2905769208,0.2898585905,0.2898350992,0.2908378093,0.2926687221,0.2958444131,0.3005876933,0.3072599844,0.3164288299,0.3288577353,0.3420621484,0.3535280444,0.3639159042,0.3734881693,0.382416031,0.3908154611,0.3987663785,0.4063250406,0.4135321227,0.4204179893,0.4270061332,0.4333154226,0.4393615691,0.4451580906,0.4507169433,0.4560489383,0.4611640186,0.4660714439,0.4707799163,0.4752976661,0.4796325128,0.4837919085,0.4877829707,0.491612507,0.4952870359,0.4988128029,0.5021957951,0.5054417538,0.508556186,0.5115443749,0.5144113893,0.517162093,0.5198011536,0.5223330502,0.5247620815,0.5270923731,0.5293278849,0.5314724172,0.5335296178,0.535502988,0.5373958885,0.5392115451,0.5409530544,0.5426233885,0.5442254006,0.5457618296,0.5472353045,0.5486483491,0.5500033861,0.5513027413,0.5525486473,0.5537432474,0.5548885993,0.5559866781,0.5570393802,0.558048526,0.5590158633,0.5599430696,0.5608317559,0.5616834685,0.5624996919,0.5632818514,0.6396819588
5004,3.0575378221,3.1485040824,3.2885916208,3.4057786699,3.4335443672,3.4263763418,3.4046222155,3.3745802669,3.3404711321,3.3094746353,3.2772397798,3.2398122437,3.2036379844,3.167958778,3.1340071865,3.0989284691,3.0617487457,3.02405068,2.9840943781,2.9404056223,2.8923419684,2.8394578205,2.7829085377,2.723044568,2.6630000398,2.5997041351,2.5326232434,2.4515454203,2.3616731925,2.2682368127,2.1759340318,2.0858507777,1.9978207937,1.9129606974,1.8334639351,1.7681550817,1.7264958272,1.6960670187,1.6672011666,1.6359809012,1.6014501048,1.5638486579,1.5235627216,1.4811965549,1.4377468461,1.393337127,1.3484747347,1.3037716973,1.2596502282,1.2163851692,1.1742148304,1.1334342154,1.0940783831,1.0564329193,1.0206117708,0.9865132309,0.9543483377,0.9241807086,0.8957130119,0.8692404681,0.8447117195,0.8218265269,0.800913223,0.7816464628,0.7641581318,0.7485597376,0.734482336,0.7220356055,0.7111743847,0.7020908697,0.6946692165,0.6890511121,0.6852883528,0.6836465416,0.6843375295,0.687909801,0.6946214764,0.7005916491,0.7096207296,0.7247745799,0.7408438158,0.7544805311,0.7666572283,0.7777639524,0.7880529812,0.7976932126,0.806798932,0.8154485685,0.82369702,0.8315837348,0.8391379983,0.8463823839,0.8533350025,0.8600109649,0.8664233325,0.8725837342,0.8785027669,0.884190256,0.8896554252,0.8949070085,0.8999533239,0.9048023242,0.9094616319,0.9139385643,0.9182401528,0.9223731576,0.926344081,0.9301591776,0.9338244645,0.9373457303,0.9407285436,0.9439782614,0.9471000363,0.9500988248,0.9529793939,0.9557463283,0.9584040373,0.9609567611,0.9634085774,0.9657634072,0.9680250208,0.9701970435,0.972282961,0.974286125,0.9762097577,0.9780569572,0.979830702,0.9815338557,0.9831691711,0.9847392948,0.986246771,0.9876940454,0.9890834692,0.9904173026,0.991697718,0.9929268039,0.9941065677,0.995238939,0.9963257727,0.9973688515,0.998369889,0.9993305324,1.0002523646,1.0011369074,1.0019856231,1.0027999174,1.0035811413,1.004330593,1.0050495206,1.0057391234,1.0064005539,1.0070349199,1.0076432861,1.0082266755,1.0087860713,1.0093224186,1.0098366253,1.0103295642,1.0108020738,1.0917234874
5038,2.6784375275,2.7241772073,2.8209527206,2.8889479325,2.8918928965,2.8667820098,2.8182571884,2.7588988275,2.700037694,2.6441538577,2.5892619572,2.5343145954,2.4803018952,2.4266561235,2.3753845268,2.3229629694,2.2683686959,2.2132477518,2.1558738866,2.0947512121,2.0295100252,1.9599825998,1.8865501645,1.8156706423,1.7484538277,1.68258665,1.6175364578,1.5462835507,1.472222819,1.3986790929,1.3254138906,1.2523563403,1.1797909441,1.1088797954,1.0416718967,0.9805027309,0.9250838932,0.8778299598,0.8377959956,0.7983445791,0.7576779512,0.7157005729,0.6726422009,0.6290629776,0.5859370187,0.5433370466,0.5017368966,0.4617047735,0.4236191327,0.3877235775,0.3542415105,0.3234567903,0.2954541826,0.2705712234,0.249031415,0.2309488529,0.2167641142,0.2068782219,0.2015607048,0.2016217986,0.2077791825,0.2207717884,0.2417955988,0.263624156,0.2816312608,0.2972858677,0.3112022851,0.3237962862,0.3353650181,0.3461223608,0.3562230189,0.3657796192,0.3748748556,0.3835701088,0.3919115573,0.3999345115,0.407666487,0.4130172047,0.4173770459,0.4219077444,0.4265262364,0.4311688009,0.4357898475,0.4403572477,0.4448486878,0.4492489897,0.4535481503,0.4577399106,0.4618207119,0.4657889356,0.4696443494,0.473387705,0.4770204452,0.4805444918,0.4839620906,0.4872757001,0.4904879107,0.4936013858,0.4966188204,0.4995429105,0.5023763321,0.5051217257,0.5077816861,0.510358755,0.5128554165,0.5152740941,0.5176171488,0.5198868786,0.5220855181,0.5242152394,0.5262781524,0.5282763058,0.5302116888,0.5320862315,0.533901807,0.5356602326,0.5373632708,0.5390126314,0.5406099724,0.5421569017,0.5436549784,0.5451057142,0.5465105748,0.5478709812,0.5491883108,0.550463899,0.5516990404,0.5528949898,0.5540529634,0.5551741403,0.556259663,0.5573106392,0.5583281423,0.5593132126,0.5602668586,0.5611900574,0.5620837561,0.5629488726,0.5637862964,0.5645968895,0.5653814873,0.5661408995,0.5668759105,0.5675872807,0.5682757468,0.5689420228,0.5695868006,0.5702107507,0.5708145227,0.5713987462,0.5719640313,0.5725109692,0.5730401328,0.5735520771,0.5740473402,0.5745264431,0.574989891,0.5754381733,0.5758717642,0.6494165758
5346,2.6680598104,2.7414099006,2.8782255996,2.9924708318,3.0077040817,2.9910917081,2.9535373607,2.8858106233,2.7899127649,2.7107329455,2.6338266219,2.5487173821,2.4703836635,2.3967385009,2.3237677218,2.2531905384,2.1847359471,2.118403459,2.0531021644,1.9880798515,1.9219547664,1.8535504207,1.7854956618,1.7181847435,1.6549858786,1.5925191551,1.5302173355,1.4618272523,1.3907150494,1.3200097722,1.24951661,1.1792320941,1.1095096927,1.0415877113,0.97757708,0.9198340979,0.86798225,0.8191593147,0.7710503073,0.7227787818,0.6741352957,0.625245312,0.5761619403,0.5337850113,0.4998078149,0.4740522693,0.4572788813,0.4505713195,0.4550908763,0.4721902379,0.5036341945,0.5399251116,0.5691239873,0.5944186856,0.6170459976,0.6377662146,0.6570615638,0.6752472104,0.6925529858,0.7091307961,0.7250792886,0.7404699577,0.7553570675,0.7697836017,0.7837850176,0.7973916216,0.8106300832,0.8235244087,0.8360965758,0.8483669548,0.8603545939,0.8720774191,0.8835523769,0.8947955428,0.9058222046,0.9166469302,0.9272836243,0.9321221796,0.9343271519,0.9367950387,0.9394041579,0.9420766983,0.9447597118,0.9474165983,0.9500223703,0.9525603648,0.9550198761,0.9573944468,0.9596806343,0.9618771209,0.963984074,0.9660026857,0.9679348423,0.9697828879,0.971549455,0.9732373445,0.9748494407,0.976388651,0.9778578646,0.9792599238,0.9805976045,0.9818736042,0.9830905336,0.9842509129,0.9853571694,0.9864116374,0.9874165592,0.9883740867,0.9892862838,0.9901551288,0.9909825174,0.9917702655,0.9925201123,0.9932337232,0.9939126924,0.9945585464,0.9951727462,0.9957566904,0.9963117174,0.9968391084,0.9973400893,0.9978158336,0.998267464,0.998696055,0.999102635,0.9994881877,0.9998536548,1.000199937,1.0005278963,1.0008383575,1.0011321097,1.0014099078,1.0016724741,1.0019204997,1.0021546457,1.0023755445,1.0025838011,1.0027799942,1.0029646773,1.0031383801,1.0033016088,1.0034548481,1.003598561,1.0037331906,1.0038591608,1.0039768765,1.0040867254,1.0041890777,1.0042842878,1.0043726944,1.0044546211,1.0045303774,1.0046002594,1.0046645497,1.0047235186,1.0047774246,1.0048265145,1.0048710243,1.0049111794,1.0790041724
6016,2.9789811431,3.0544267145,3.1665510949,3.2472575502,3.2545962076,3.2320908177,3.1850772383,3.1019636801,3.0198285602,2.9417691139,2.8652501688,2.789206131,2.7146511368,2.640951978,2.5704942129,2.4992567284,2.4261343368,2.352672017,2.2771303551,2.2001764566,2.1250623188,2.051183603,1.9785102858,1.9070792388,1.8387108845,1.7713457851,1.7045489234,1.630384546,1.5528791359,1.4758820208,1.3991424929,1.3226095835,1.2466091872,1.172387429,1.102100396,1.0381676947,0.9802138395,0.9349941688,0.8984654232,0.8627703713,0.8258843776,0.7877719381,0.7487969785,0.7096265709,0.6712940603,0.6339347812,0.5980278201,0.5641162269,0.5325606006,0.50360039,0.4774636286,0.4544619609,0.4347323099,0.4186721083,0.4066280133,0.3988779301,0.3960530716,0.3988835086,0.4080945616,0.4250228474,0.448359882,0.4668498129,0.4827114211,0.4967244969,0.5093834204,0.5210145249,0.5318356418,0.5419941467,0.5515915508,0.5606994178,0.5693696754,0.5776412997,0.5855446549,0.5931043123,0.6003408861,0.6072722308,0.6139142261,0.6183589259,0.6219470638,0.6257399794,0.6296298666,0.6335431652,0.6374287115,0.6412512598,0.64498701,0.6486203769,0.6521416544,0.6555453262,0.6588288483,0.6619917696,0.6650350996,0.6679608526,0.6707717205,0.673470838,0.6760616144,0.6785476142,0.6809324712,0.6832198292,0.6854132996,0.6875164326,0.6895326975,0.6914654702,0.6933180249,0.6950935294,0.6967950437,0.6984255189,0.6999877987,0.7014846208,0.7029186193,0.7042923275,0.7056081808,0.7068685197,0.7080755933,0.7092315621,0.7103385011,0.7113984035,0.7124131831,0.7133846777,0.7143146518,0.7152047994,0.7160567468,0.7168720554,0.7176522237,0.7183986902,0.7191128359,0.7197959859,0.7204494123,0.7210743358,0.7216719281,0.7222433135,0.7227895711,0.7233117363,0.7238108029,0.7242877242,0.7247434152,0.7251787539,0.7255945826,0.7259917095,0.7263709101,0.7267329284,0.7270784782,0.7274082445,0.7277228841,0.7280230274,0.7283092791,0.7285822193,0.7288424043,0.7290903679,0.7293266222,0.7295516583,0.7297659472,0.7299699407,0.7301640723,0.7303487576,0.7305243952,0.7306913675,0.7308500411,0.7310007676,0.7311438843,0.8061399841
6120,2.8155716835,2.8629233697,2.9618004033,3.0305224485,3.0317170198,3.0028002139,2.9510412529,2.9047572595,2.8610757461,2.819740815,2.7786082054,2.7361517451,2.6943889557,2.6527059825,2.6123501538,2.570678324,2.5268384473,2.4827067827,2.4365486226,2.3868348986,2.3330244958,2.2747596701,2.2128554336,2.1476012138,2.0815810105,2.0120214782,1.9399616527,1.8634503476,1.784978406,1.7075695046,1.6308698705,1.554708332,1.4792876465,1.4056915346,1.335880822,1.2720953721,1.2179645433,1.1783989785,1.1414401445,1.1027060962,1.0611441226,1.0170587145,0.9709500777,0.9235338788,0.8758683453,0.8280932396,0.780720623,0.7343389828,0.6893358734,0.6459539046,0.6044070415,0.5649675235,0.5276711402,0.4928069129,0.4605024971,0.4307036568,0.403665234,0.3795081332,0.3580580901,0.3397035538,0.3245456377,0.3125263481,0.3041775185,0.2995762359,0.2992807122,0.3039926917,0.314280936,0.3312772623,0.3554416885,0.3749013936,0.3918085552,0.4068799335,0.4205746958,0.4332052995,0.4449871325,0.4560705436,0.4665620985,0.4748746858,0.4821723878,0.4894169373,0.4965601824,0.5035608,0.5103910858,0.5170334713,0.5234776539,0.5297185104,0.5357545877,0.5415870094,0.547218685,0.5526537382,0.5578970941,0.5629541825,0.5678307253,0.5725325852,0.5770656582,0.5814357992,0.5856487697,0.5897102034,0.5936255833,0.5974002277,0.6010392823,0.6045477169,0.6079303249,0.6111917256,0.6143363671,0.6173685307,0.620292336,0.6231117462,0.6258305734,0.6284524842,0.6309810054,0.6334195293,0.6357713189,0.6380395133,0.6402271327,0.6423370826,0.6443721593,0.6463350535,0.6482283552,0.6500545574,0.6518160598,0.653515173,0.6551541218,0.6567350487,0.6582600169,0.6597310137,0.6611499534,0.6625186803,0.6638389709,0.6651125372,0.6663410289,0.6675260356,0.6686690895,0.6697716673,0.6708351923,0.6718610368,0.6728505236,0.6738049281,0.6747254799,0.6756133647,0.676469726,0.6772956663,0.6780922491,0.6788605001,0.6796014083,0.6803159281,0.6810049798,0.6816694514,0.6823101993,0.6829280501,0.6835238009,0.684098221,0.6846520527,0.685186012,0.6857007902,0.6861970541,0.6866754472,0.6871365905,0.6875810835,0.7638633228
9563,2.4264584224,2.6188899533,2.8629036299,3.0703981918,3.1188049993,3.123159298,3.0993803384,3.049520027,2.9690880025,2.9016610485,2.8315052903,2.7453576154,2.6636651323,2.5845677188,2.5041591152,2.4248662479,2.3467803208,2.2733168706,2.2020736063,2.130887969,2.0575150556,1.9798851708,1.9026409282,1.82669315,1.7579867309,1.6906239425,1.6236647984,1.5454336622,1.4620532604,1.3795189216,1.297742976,1.2168070475,1.1372171071,1.0605512217,0.9894632953,0.9269004364,0.8724641179,0.863665472,0.8753975311,0.8901325389,0.9022926484,0.9106182079,0.9149932715,0.9157904532,0.9138660638,0.9094883545,0.903106992,0.8952502025,0.8863285019,0.8766313074,0.8663911114,0.8558784669,0.845137983,0.8343730926,0.8237066901,0.8130531089,0.8025599563,0.792371278,0.7823092347,0.7726728928,0.7636306077,0.7550880764,0.747596584,0.7412840428,0.7367916559,0.7351489953,0.7372282721,0.7446291979,0.7593281559,0.7819395127,0.80078665,0.817698799,0.8332065433,0.8476407207,0.8612425097,0.8741908909,0.8866190811,0.8930904207,0.8967935462,0.9006261058,0.9045108038,0.9084021613,0.9122701626,0.9160940444,0.9198595447,0.9235570382,0.9271802078,0.9307250939,0.9341894155,0.9375720849,0.9408728621,0.9440921071,0.9472306034,0.9502894313,0.9532698773,0.9561733691,0.9590014285,0.9617556374,0.9644376136,0.9670489925,0.9695914142,0.972066514,0.974475915,0.9768212232,0.9791040235,0.9813258766,0.9834883174,0.9855928528,0.9876409612,0.9896340912,0.9915736615,0.9934610602,0.995297645,0.9970847429,0.9988236505,1.0005156339,1.0021619294,1.0037637433,1.0053222528,1.0068386058,1.0083139219,1.0097492926,1.0111457818,1.0125044261,1.0138262359,1.0151121953,1.0163632631,1.0175803731,1.0187644345,1.0199163329,1.0210369306,1.0221270669,1.0231875591,1.0242192026,1.0252227719,1.0261990206,1.0271486824,1.0280724711,1.0289710816,1.0298451901,1.0306954546,1.0315225155,1.0323269958,1.0331095019,1.0338706239,1.0346109358,1.0353309962,1.0360313487,1.0367125223,1.0373750314,1.0380193768,1.0386460458,1.0392555124,1.0398482378,1.0404246709,1.0409852483,1.041530395,1.0420605244,1.0425760387,1.1265439336
9581,3.2315667371,3.2973634655,3.401756809,3.4727619382,3.4698804776,3.4392583533,3.4180701716,3.3914942382,3.3637435583,3.3389857819,3.3141947627,3.2870116467,3.2614007433,3.2364574106,3.2127015081,3.188003398,3.1614940251,3.1343806391,3.1050741798,3.0722801851,3.0356650702,2.9950768075,2.9509268823,2.9033287243,2.8543882963,2.8018674213,2.7452866973,2.6781209734,2.6037106306,2.5252200462,2.442494978,2.3557981164,2.2663307085,2.1776763824,2.096421301,2.0296541538,1.9765609921,1.9290132437,1.8803627895,1.8280200597,1.771513283,1.7112807494,1.6477929889,1.5817261242,1.5141477538,1.4452866451,1.3778231272,1.311468404,1.2461030107,1.1815959652,1.1178834502,1.0549868445,0.9928048144,0.9314937354,0.8710400317,0.8113475297,0.7537952117,0.6996633874,0.6484616371,0.6005947843,0.5559813231,0.5142829668,0.4759590428,0.4406099405,0.4084320737,0.3794980617,0.353297716,0.3299639638,0.3094044354,0.2917489356,0.276708559,0.2642950366,0.2543926754,0.2471057299,0.2424239376,0.2406241014,0.2415989353,0.2429387699,0.246996316,0.2551819308,0.2680967767,0.2863929497,0.3089832717,0.3280314886,0.3450480121,0.3605449509,0.3748538668,0.3882087992,0.4007777766,0.4126829898,0.4240145702,0.4348400971,0.4452111888,0.4551680924,0.4647428907,0.4739617524,0.4828465159,0.4914158099,0.4996858485,0.5076709993,0.5153841917,0.5228372116,0.5300409172,0.5370053977,0.5437400917,0.550253877,0.5565551388,0.5626518244,0.5685514853,0.5742613121,0.5797881637,0.5851385909,0.5903188576,0.5953349591,0.6001926378,0.6048973978,0.609454518,0.613869064,0.6181458988,0.6222896934,0.6263049356,0.6301959395,0.633966853,0.6376216661,0.6411642178,0.6445982031,0.6479271794,0.6511545726,0.6542836829,0.65731769,0.6602596586,0.6631125433,0.6658791928,0.6685623548,0.67116468,0.673688726,0.6761369611,0.6785117682,0.6808154477,0.6830502212,0.6852182345,0.6873215604,0.6893622017,0.691342094,0.6932631079,0.6951270518,0.6969356741,0.6986906657,0.7003936616,0.7020462434,0.7036499413,0.7052062357,0.7067165591,0.708182298,0.7096047943,0.7109853471,0.7123252139,0.7136256125,0.7148877221,0.8042889048
9877,2.7567947838,2.8993132017,3.0726188222,3.2083737895,3.2450121303,3.2454874128,3.2167177556,3.1451843665,3.0330469186,2.9329125535,2.8362103979,2.7375912207,2.6429721428,2.551160298,2.4617695479,2.3737824884,2.2867530036,2.2014516851,2.1167846006,2.0319291332,1.9465374198,1.8604810381,1.7746279291,1.6892717751,1.6064900051,1.5242589215,1.442305416,1.3561299699,1.2682782453,1.1811130646,1.0945618051,1.0087367228,0.9241745251,0.8425066085,0.7664590023,0.6990477282,0.6398473027,0.5852027342,0.5320084464,0.4788977357,0.4253331398,0.3712211448,0.316446837,0.2734436979,0.2418463681,0.2197555408,0.2064368465,0.2016356176,0.2053404197,0.2179392628,0.2403681987,0.2740554201,0.3054647475,0.3303602382,0.3510199977,0.3685654727,0.3837843366,0.3972503605,0.4094051301,0.420562456,0.4309404754,0.4406970752,0.4499466211,0.4587721994,0.4672345052,0.4753782434,0.4832367174,0.4908351061,0.4981927994,0.5053250602,0.5122442038,0.518960435,0.5254824409,0.53181781,0.5379733283,0.5439551882,0.5497691356,0.5529753507,0.5551257763,0.5575353185,0.5601095217,0.5627773325,0.5654878437,0.5682049195,0.5709030995,0.5735646238,0.5761772816,0.5787328572,0.5812260085,0.5836534573,0.5860134058,0.5883051151,0.590528601,0.5926844147,0.5947734842,0.5967969993,0.5987563291,0.6006529615,0.6024884599,0.6042644319,0.6059825058,0.6076443145,0.6092514832,0.610805621,0.6123083142,0.613761122,0.6151655734,0.6165231649,0.6178353589,0.6191035829,0.6203292289,0.621513653,0.6226581755,0.6237640811,0.6248326188,0.625865003,0.6268624132,0.627825995,0.6287568607,0.6296560895,0.6305247287,0.6313637938,0.6321742696,0.6329571108,0.6337132428,0.6344435619,0.6351489368,0.6358302086,0.636488192,0.6371236756,0.6377374229,0.638330173,0.6389026409,0.6394555185,0.6399894754,0.6405051591,0.6410031957,0.6414841911,0.641948731,0.6423973814,0.64283069,0.6432491858,0.6436533803,0.6440437678,0.6444208261,0.6447850166,0.6451367854,0.6454765634,0.6458047667,0.6461217975,0.646428044,0.6467238815,0.6470096722,0.6472857658,0.6475525003,0.6478102017,0.6480591852,0.6482997546,0.6485322036,0.7317071518
