,2023,2026,2029,2032,2035,2038,2041,2044,2047,2050,2053,2056,2059,2062,2065,2068,2071,2074,2077,2080,2083,2086,2089,2092,2095,2098,2101,2104,2107,2110,2113,2116,2119,2122,2125,2128,2131,2134,2137,2140,2143,2146,2149,2152,2155,2158,2161,2164,2167,2170,2173,2176,2179,2182,2185,2188,2191,2194,2197,2200,2203,2206,2209,2212,2215,2218,2221,2224,2227,2230,2233,2236,2239,2242,2245,2248,2251,2254,2257,2260,2263,2266,2269,2272,2275,2278,2281,2284,2287,2290,2293,2296,2299,2302,2305,2308,2311,2314,2317,2320,2323,2326,2329,2332,2335,2338,2341,2344,2347,2350,2353,2356,2359,2362,2365,2368,2371,2374,2377,2380,2383,2386,2389,2392,2395,2398,2401,2404,2407,2410,2413,2416,2419,2422,2425,2428,2431,2434,2437,2440,2443,2446,2449,2452,2455,2458,2461,2464,2467,2470,2473,2476,2479,2482,2485,2488,2491,2494,2497,2500
2786,417.3588207441,424.0691327385,429.0901780225,432.4602411762,434.0770955984,435.6595548382,437.3699199226,439.0522374493,440.6360275749,442.0649790037,443.2958924926,444.2908597038,445.0152849358,445.4366514646,445.5260593443,445.2593852734,444.6120328502,443.5641173814,442.0981855163,440.1998342011,437.8555936032,435.0547773995,431.7879506506,428.0509005806,423.8390311284,419.1490043749,413.9882023627,408.3620376414,402.2698531183,396.1437243467,390.2898124049,384.6336684483,379.1689895721,373.9521914434,369.0931204318,364.7134253033,360.77559081,357.0997953345,353.5388609168,350.0288278467,346.5456739724,343.0867397909,339.6490648404,336.2401045867,332.8750425385,329.5379391616,326.2374626436,322.9853745992,319.7850203789,316.6361347285,313.5400296174,310.5008029512,307.5157904765,304.5936035528,301.7344467423,298.9344490493,296.2025290583,293.5371354955,290.928269349,288.3894847961,285.9148135396,283.4967851667,281.1514124639,278.8675730292,276.6560933939,274.5166942134,272.4345161873,270.4212223143,268.4791403329,266.8652664258,266.2497133764,266.5233001409,267.7031624641,269.7699092545,271.3400111092,272.650002785,273.7758859853,274.766671692,275.6564733916,276.4695127283,277.2228091521,277.9283105191,278.5945310561,279.2276112204,279.8320373546,280.4111364746,280.9674190367,281.5028175773,282.0188534449,282.5167536058,282.9975326618,283.4620505677,283.91105334,284.3452018453,284.7650922229,285.1712704283,285.564242641,285.9444827596,286.3124378419,286.6685320922,287.013169821,287.3467376731,287.6696063367,287.9821318784,288.284656812,288.5775109714,288.8610122427,289.1354671906,289.4011716064,289.6584109962,289.9074610227,290.1485879102,290.3820488195,290.6080921996,290.8269581167,291.0388785673,291.2440777737,291.4427724668,291.6351721555,291.8214793842,292.0018899798,292.1765932887,292.3457724034,292.5096043811,292.6682604531,292.8219062269,292.9707018794,293.1148023441,293.2543574902,293.3895122958,293.5204070144,293.647177335,293.7699545369,293.8888656384,294.0040335405,294.1155771649,294.2236115878,294.3282481681,294.4295946719,294.5277553916,294.6228312618,294.7149199703,294.8041160659,294.890511062,294.9741935366,295.055249229,295.1337611331,295.2098095877,295.2834723632,295.3548247458,295.4239396186,295.4908875398,295.555736819,295.6185535896,295.67940188,295.7383436819,295.795439016,295.8507459959,295.9043208902,299.9502370393
2901,418.6819505512,425.5911023531,430.9978370382,434.7477150974,437.7210417599,441.001484585,444.3683248797,447.7361467749,451.0498994774,454.2625602233,457.3352830954,460.2283666067,462.9059211396,465.3363782349,467.4859334308,469.3277714324,470.8317537268,471.9735324598,472.7302380472,473.0817348594,473.0089802533,472.4945042859,471.5238490182,470.0855838165,468.1710709155,465.7722658256,462.8878066156,459.5197391832,455.6677119809,451.3402738784,446.5550623784,441.3440793958,435.7738776472,430.004597422,424.3029776283,418.9527037757,413.9393584713,408.9693861321,403.9835935966,399.2350669775,394.6468158053,390.1927405556,385.8557632972,381.6326661679,377.5297452035,373.5210469999,369.6068881862,365.7920206217,362.0728502679,358.4423989486,354.895943884,351.4323128117,348.0437312318,344.7347556696,341.5016629746,338.3368178782,335.2465147259,332.2265439263,329.2641586011,326.3717350511,323.5416225607,320.764858655,318.0574300042,315.4072737125,312.825477512,310.3118463553,307.8511979962,305.4561634457,303.1297612269,300.8784583368,298.691757551,296.5719680712,294.5165737368,292.531023779,290.614543246,288.7719427446,286.9930002846,285.2907478138,283.6665953741,282.1133305411,280.8930611041,279.9052263537,279.1115573829,278.4580897882,277.9277456036,277.4817505905,277.1353318267,276.8697609432,276.6742800653,276.5379301698,276.4760572403,276.4697700636,276.5411197887,276.6866634851,276.9110854712,277.2291688801,277.6618629993,278.2501591604,279.032448018,280.0019235722,280.8303870449,281.5780921872,282.265535162,282.9059613112,283.5083590958,284.0789111571,284.6219401084,285.1405334605,285.6369564034,286.1129243326,286.5697827488,287.0086260386,287.4303759462,287.8358334738,288.225713272,288.6006664921,288.9612960383,289.308166812,289.6418126557,289.9627411198,290.2714367941,290.5683636881,290.8539669819,291.1286743579,291.392897052,291.6470307141,291.8914561407,292.1265399155,292.3526349872,292.5700811995,292.7792057858,292.9803238363,293.1737387412,293.3597426157,293.5386167067,293.7106317847,293.8760485217,294.0351178549,294.1880813386,294.3351714833,294.476612084,294.6126185365,294.743398143,294.8691504079,294.9900673227,295.1063336413,295.2181271459,295.3256189034,295.4289735131,295.5283493456,295.6238987734,295.715768393,295.8040992396,295.8890269941,295.970682182,296.0491903666,296.1246723334,296.1972442697,296.2670179363,300.1975683119
5004,419.5364017099,426.8339326882,432.5089838672,436.5074298597,438.673902739,441.1812231581,443.7780734978,446.3428907838,448.8083783356,451.120067826,453.2353082926,455.1142422335,456.7205153546,458.0210485173,458.9839086525,459.5824211063,459.7888434954,459.5807629505,458.9382727415,457.8444517979,456.283846327,454.2440485484,451.7149332707,448.6915871062,445.1704256034,441.1495185827,436.6373559385,431.6434911344,426.172953281,420.2445413909,413.886336212,407.1427154613,400.5719521609,394.3697162694,388.6172450383,383.4360663737,378.7883711848,374.4832662268,370.3619515459,366.3552676752,362.4369690919,358.6016749226,354.8417830656,351.1593446672,347.5642853675,344.0337814055,340.5708278578,337.1825762599,333.8676768066,330.6212643985,327.4405738806,324.3262234669,321.272176283,318.2845034992,315.3609722058,312.4954244378,309.6953857789,306.9579243762,304.2716741578,301.6499738837,299.0863583114,296.5730816379,294.1268467024,291.7367259827,289.4144724482,287.1606501146,284.9611125061,282.82887972,280.7674647206,278.783650353,277.0300252273,275.6977096021,274.6909543172,273.969652725,273.5024869101,273.2846875804,273.3016949338,273.5763905618,274.1490298336,275.0389105301,276.3146002879,277.4667960373,278.4448622887,279.3083569841,280.0877848721,280.8036317696,281.4699149455,282.0962862883,282.6894498635,283.2541205799,283.7936709627,284.3105666391,284.8066591322,285.2833825129,285.7418853897,286.1831194692,286.6078989806,287.0169405714,287.4108901248,287.7903408243,288.1558453627,288.5079242364,288.8470714231,289.1737583109,289.4884364579,289.7915395699,290.0834849542,290.3646746224,290.6354961558,290.8963234112,291.1475171167,291.389425392,291.6223842165,291.8467178575,292.0627392721,292.2707504862,292.4710429567,292.6638979197,292.8495867259,293.0283711653,293.2005037819,293.3662281786,293.5257793133,293.679383787,293.827260122,293.9696190338,294.1066636937,294.238589984,294.3655867461,294.4878360203,294.6055132792,294.7187876532,294.8278221495,294.9327738643,295.033794188,295.1310290043,295.2246188828,295.3146992653,295.4014006463,295.4848487474,295.5651646864,295.6424651405,295.7168625038,295.7884650403,295.8573770315,295.9236989186,295.9875274404,296.0489557665,296.1080736256,296.1649674299,296.2197203945,296.2724126538,296.3231213727,296.3719208546,296.4188826455,296.4640756347,296.5075661512,296.5494180576,296.5896928403,300.5050906615
5038,417.7824817264,424.3981349116,429.4371821316,432.8403066288,434.4926244819,435.5260728367,436.7674815304,437.9972600226,439.1262801279,440.0924398132,440.8486904995,441.3537103931,441.5715721499,441.4703153288,441.020909332,440.1983898373,438.9790777465,437.3436399969,435.2754894386,432.7600603564,429.7842259936,426.3387590801,422.4155308579,418.0126038073,413.1265977616,407.7559787617,401.9117546009,395.7321935716,389.8344396008,384.1173792541,378.5467787818,373.1129048377,367.8307021386,362.7676671434,358.0426826453,353.7857452003,349.9648685056,346.4019973409,342.9502712312,339.5461788609,336.1660020018,332.8070633096,329.4661052912,326.1503290659,322.8748755054,319.6235420391,316.4050082871,313.2312720438,310.1058812597,307.0287491093,304.0013994628,301.0281823423,298.1066149486,295.245582669,292.4455081469,289.7026691332,287.026245742,284.4148730076,281.8586290304,279.3713355621,276.947167097,274.5787516553,272.282395913,270.0471083526,267.8839868704,266.2870866632,265.5670372942,265.6719007378,266.6128627916,268.4397475778,270.1506050989,271.5372298869,272.7160382588,273.7413421655,274.6508753325,275.471963638,276.2244434769,276.9227280077,277.5773151756,278.1959455648,278.784295224,279.3465445053,279.8858184407,280.4044832311,280.9043582661,281.3868678868,281.8531500713,282.3041343074,282.7405974216,283.1632036319,283.5725333116,283.9691036693,284.3533836434,284.7258046519,285.0867683745,285.4366524076,285.7758143948,286.1045950644,286.4233204812,286.7323037353,287.0318462241,287.3222386427,287.6037617617,287.8766870525,288.1412772003,288.3977865354,288.6464614035,288.8875404914,289.1212551182,289.3478295005,289.567480997,289.7804203371,289.9868518361,290.1869735994,290.3809777175,290.5690504525,290.7513724177,290.9281187506,291.0994592794,291.2655586844,291.4265766541,291.5826680362,291.7339829837,291.8806670967,292.0228615598,292.1607032755,292.2943249929,292.4238554333,292.5494194114,292.6711379534,292.7891284111,292.9035045727,293.0143767703,293.1218519845,293.226033945,293.3270232293,293.4249173575,293.5198108848,293.6117954911,293.7009600678,293.787390802,293.8711712586,293.9523824592,294.0311029591,294.1074089221,294.1813741929,294.2530703671,294.3225668591,294.3899309688,294.4552279451,294.5185210482,294.5798716101,294.6393390924,294.696981144,294.7528536552,294.8070108114,294.8595051449,294.910387585,294.9597075066,299.0114256174
5346,415.8009553014,421.7547343733,426.1571855125,428.9800420745,430.0986572845,429.4096302893,429.086574369,428.7998700864,428.4463366857,427.9590714738,427.2842805758,426.3756271103,425.1953654953,423.7116907414,421.8979829039,419.7311678011,417.1934440363,414.2701763665,410.9503021678,407.224461679,403.084724957,398.5274384652,393.547954929,388.1472216084,382.9625345819,377.9576177827,373.0834067451,368.3089033336,363.6091313417,358.9738583438,354.3976098061,349.8828779828,345.4505933256,341.1675852254,337.144929468,333.501383844,330.2083003634,327.1091262893,324.0801852743,321.0746181565,318.0813345591,315.1072264483,312.1565409186,309.2408742783,306.3768178916,303.5508095901,300.7714306625,298.0491019137,295.386011051,292.7808134879,290.2335207406,287.7466537329,285.3164435588,282.9496241522,280.6450011237,278.3977276105,276.2149048885,274.0938039753,272.0240299846,270.3858417621,270.2828216185,271.6196132615,273.8781924344,275.5447985851,276.9158632809,278.0912722732,279.1313392655,280.0737418367,280.9423595741,281.7525855155,282.514558386,283.2351420588,283.9191436999,284.5700665096,285.1905766906,285.7827943191,286.3484753777,286.8891263377,287.4060768237,287.9004730672,288.373387524,288.8258427539,289.2587979118,289.673155272,290.0697664935,290.4494374913,290.8129322811,291.1609761211,291.4942581655,291.8134337681,292.1191265258,292.4119301209,292.6924100037,292.9611049402,293.2185284483,293.4651701331,293.7014969356,293.9279543018,294.1449672798,294.3529415511,294.552264401,294.7433056329,294.92641843,295.1019401693,295.2701931892,295.431485516,295.5861115494,295.7343527127,295.8764780666,296.0127448921,296.1433992413,296.2686764608,296.3888016875,296.5039903188,296.6144484597,296.7203733466,296.8219537502,296.9193703589,297.012796142,297.1023966966,297.1883305769,297.270749607,297.3497991803,297.4256185425,297.4983410634,297.5680944936,297.6350012113,297.699178456,297.760738552,297.8197891216,297.8764332883,297.9307698708,297.9828935681,298.0328951364,298.0808615577,298.1268762008,298.1710189758,298.2133664806,298.2539921418,298.2929663488,298.3303565824,298.3662275372,298.4006412393,298.4336571583,298.4653323149,298.495721383,298.5248767886,298.5528488033,298.5796856345,298.6054335112,298.6301367666,298.6538379168,298.6765777362,298.69839533,298.7193282032,298.7394123268,298.7586822016,298.7771709184,298.7949102168,302.6424777829
6016,417.7706298603,424.4342570982,429.5592352117,433.0591405622,434.7863787595,435.3630855729,436.1985195654,437.0332686239,437.7697989406,438.3470680638,438.7185777675,438.8430703534,438.6851460406,438.2137075869,437.4011044887,436.2236198804,434.6605621469,432.6954075462,430.3150099619,427.5086267261,424.2674306101,420.5871533871,416.4646623212,411.9035927524,406.9058037735,401.4747746141,395.6261876293,389.7543361657,384.1150921398,378.639474553,373.3040379952,368.1021778649,363.0489174813,358.2096382238,353.698675254,349.639636587,345.9966511091,342.5933130565,339.2866965031,336.0162846194,332.7606542465,329.5192962467,326.2912276978,323.085627007,319.9190040645,316.7769966886,313.6695783903,310.6093907565,307.6006254038,304.6438605186,301.7411348884,298.8971063531,296.1097242301,293.3879315456,290.7322922226,288.1394091718,285.6183182851,283.1676994314,280.7780751113,278.4628830827,276.2163731216,274.0314647269,271.9238010345,270.5701306318,269.9279306581,269.9734774996,270.7144578534,272.2283268036,273.9517900135,275.3084969608,276.4561496043,277.4580124255,278.3548108665,279.1735634037,279.9323194975,280.643239535,281.3146135838,281.952184559,282.5600153969,283.1410697511,283.6975634809,284.2312103164,284.7433900366,285.2352544946,285.7077971038,286.1618986042,286.5983573145,287.0179092313,287.4212414784,287.8090014001,288.1818027955,288.5402302753,288.8848423811,289.2161738865,289.5347375537,289.8410255258,290.1355104726,290.4186465646,290.6908703294,290.9526014207,291.2042433237,291.4461840114,291.6787965605,291.9024397354,292.1174585435,292.3241847653,292.5229374629,292.7140234663,292.8977378411,293.0743643381,293.2441758251,293.4074347016,293.564393299,293.7152942643,293.8603709301,293.99984767,294.1339402407,294.2628561115,294.3867947808,294.5059480807,294.6205004707,294.7306293189,294.8365051742,294.9382920265,295.0361475588,295.1302233878,295.2206652969,295.3076134597,295.3912026547,295.4715624726,295.548817515,295.6230875858,295.6944878753,295.7631291376,295.8291178603,295.8925564287,295.9535432836,296.0121730722,296.0685367944,296.1227219425,296.1748126366,296.2248897536,296.2730310524,296.3193112937,296.363802355,296.4065733419,296.4476906946,296.4872182906,296.525217543,296.5617474959,296.5968649149,296.6306243756,296.6630783472,296.6942772744,296.7242696546,296.7531021135,296.780819477,296.8074648405,296.8330796355,300.7187294408
6120,417.3554185168,423.8085291431,428.7051205666,431.9561878787,433.4434718801,435.0204394859,436.7061821145,438.3681822385,439.9405239859,441.3701517508,442.615136271,443.6370593303,444.4025622975,444.8826108985,445.0493648856,444.8800433747,444.3514554101,443.4456408862,442.1470874269,440.4426735943,438.3205413741,435.7718184825,432.7893107791,429.3706966314,425.5133518105,421.215794405,416.4862946536,411.3317201712,405.7530570107,399.764721022,393.7648401316,388.0460557739,382.5509377259,377.3203581148,372.4541421473,368.0652744053,364.1119977354,360.4155524819,356.8311480457,353.296151655,349.7873990458,346.3030672188,342.8411820506,339.4099710987,336.0250064282,332.6711700823,329.3575075478,326.0957802134,322.8893872139,319.7381461564,316.6433598316,313.6089960298,310.6323431291,307.721743872,304.8772052731,302.094762388,299.3829905714,296.7401123282,294.1561037776,291.644086081,289.1978902636,286.8099536737,284.4957768169,282.2440759892,280.0652523309,277.9586858127,275.90946516,273.9288555512,272.0188260009,270.1845451141,268.7252868336,267.9640866451,267.7967085556,268.2125910905,269.2397911582,270.9607926906,272.4761651082,273.7350091602,274.8277189079,275.8003407598,276.68346844,277.4978982059,278.2579197268,278.9734634313,279.6515265178,280.2971240837,280.9139254687,281.5046811833,282.0715101094,282.6160932215,283.1398046261,283.6438004796,284.1290795463,284.596524626,285.0469310509,285.4810264261,285.8994844244,286.3029345365,286.6919690578,287.0671481821,287.4290037904,287.7780423366,288.1147471002,288.4395799947,288.752983057,289.055379706,289.347175831,289.6287607512,289.9005080763,290.1627764885,290.4159104605,290.6602409209,290.8960858744,291.1237509825,291.3435301101,291.5557058405,291.7605499625,291.958323932,292.1492793092,292.3336581741,292.5116935213,292.6836096355,292.8496224493,293.0099398834,293.1647621714,293.3142821693,293.4586856505,293.5981515881,293.7328524236,293.8629543243,293.9886174288,294.109996082,294.2272390595,294.3404897829,294.4498865251,294.5555626072,294.6576465872,294.7562624404,294.8515297328,294.9435637863,295.0324758384,295.118373194,295.2013593724,295.2815342468,295.3589941796,295.4338321515,295.5061378853,295.5759979655,295.6434959526,295.7087124929,295.7717254248,295.8326098795,295.8914383794,295.9482809316,296.0032051184,296.0562761839,296.1075571176,296.1571087351,296.2049897549,300.2003830981
9563,419.7706126731,427.7581331328,433.8086049428,438.2058024936,440.8284225503,441.462508269,439.9032201644,438.5379703816,437.0531200918,435.302561815,433.2045050137,430.7079073621,427.7765597811,424.3811849245,420.5047780061,416.131655619,411.2569436852,405.8785908781,400.0008519064,394.2581724971,388.6311670047,383.0821931523,377.5909399548,372.1511548317,366.7571929076,361.4078327178,356.1084002831,350.8603626441,345.6623613538,340.5299412907,335.4760823176,330.5153449421,325.6812410744,321.0592396407,316.7863927951,313.008135178,309.6967437384,306.6667555789,303.7631384627,300.9192455117,298.1104772553,295.3327331929,292.5800697468,289.8564957827,287.1740708734,284.513262878,282.0644218288,280.0278445656,278.3370922053,276.9470577335,275.8221246569,274.9376837303,274.2648944473,273.7964655478,273.5298940622,273.4660549822,273.6331944181,274.0736508264,274.836005739,276.0056505056,277.139337539,278.0590461758,278.839525156,279.5154111866,280.1110865967,280.6446979744,281.1297897273,281.5764578552,281.9922248136,282.3827012415,282.7520826626,283.1035199312,283.4393941287,283.7615197581,284.0712944735,284.3698091429,284.6579285973,284.9363507834,285.2056500454,285.4664649714,285.7192975602,285.9645166211,286.2024429848,286.4333636882,286.6575393321,286.8752093911,287.0865961822,287.2919078517,287.4913406377,287.6850805976,287.8733049372,288.0561830443,288.2338773017,288.4065437341,288.5743325314,288.7373884775,288.8958513066,289.0498560062,289.1995330762,289.345008756,289.4864052248,289.6238407815,289.757430008,289.8872839183,290.0135100964,290.1362128253,290.2554932066,290.3714492743,290.4841761014,290.5937659018,290.7003081267,290.8038895568,290.9045943905,291.0025043285,291.097698654,291.1902543113,291.2802459795,291.3677461451,291.4528251707,291.5355513615,291.6159910298,291.6942085567,291.7702664518,291.8442254109,291.9161443715,291.9860805667,292.054089577,292.1202253807,292.1845404022,292.2470855587,292.3079103063,292.3670626831,292.4245893518,292.4805356413,292.5349455859,292.587861964,292.6393263353,292.6893790769,292.7380594184,292.7854054755,292.8314542828,292.8762418256,292.9198030709,292.9621719968,293.0033816215,293.0434640317,293.082450409,293.1203710568,293.1572554257,293.1931321379,293.2280290116,293.261973084,293.2949906336,293.3271072027,293.358347618,293.3887360115,293.4182958402,293.4470499057,293.4750203728,297.5817530991
9581,416.6063870143,422.639387377,427.1226766573,429.9457484684,432.2103649815,434.7282170213,437.2937904655,439.8368331121,442.3070714529,444.6568691394,446.8495231298,448.8498315977,450.6261374118,452.1510458232,453.397312831,454.3446050861,454.9686568247,455.2517817749,455.1776325173,454.7325487506,453.9033663727,452.6778665241,451.0459691849,448.9998425386,446.5334395394,443.6403530453,440.3198436657,436.5727240337,432.3959255377,427.7941351747,422.7791878776,417.375226385,411.6379894871,405.7117760201,399.9694312955,394.8762233386,390.3074330552,386.061547347,381.9810290456,377.9933714491,374.0682020025,370.1984202898,366.3782198014,362.6125219207,358.9138704599,355.2652496351,351.673472986,348.1481977788,344.6911312901,341.3006349685,337.976651791,334.7218598258,331.5324821971,328.4156928827,325.3705476481,322.3922459382,319.488416361,316.6565358959,313.8859489881,311.1889603205,308.5588195963,305.9873928783,303.4895323416,301.0535027959,298.6892176362,296.3956935399,294.1576694501,291.9861068551,289.8827584599,287.8526653416,285.884584862,283.9795176224,282.1338437782,280.3516666471,278.6311215514,276.9758176783,275.3747959269,273.8398518922,272.3716131402,270.9445663197,269.5774378925,268.268816598,267.0197988916,265.8118306115,264.648411221,263.9626327834,263.7327966963,263.8892076286,264.4120857485,265.3070238894,266.6317803283,268.0368479325,269.2154085216,270.2560498528,271.1945906093,272.0547175764,272.8530156137,273.6012599464,274.3079110982,274.9791296341,275.6194709118,276.2323632908,276.820438778,277.3857625814,277.9299931059,278.4544939061,278.9604123451,279.4487351065,279.9203275688,280.3759618919,280.8163371888,281.2420941258,281.6538255895,282.0520845673,282.4373900431,282.8102314735,283.171072244,283.5203523844,283.8584907446,284.1858867729,284.5029219966,284.8099612794,285.1073539073,285.3954345412,285.6745240637,285.9449303413,286.2069489172,286.4608636448,286.7069472735,286.9454619902,287.1766599247,287.4007836214,287.6180664821,287.8287331811,288.0330000569,288.2310754813,288.4231602077,288.609447701,288.790124449,288.9653702589,289.1353585365,289.3002565531,289.4602256976,289.6154217168,289.7659949433,289.9120905134,290.053848573,290.1914044753,290.324888968,290.4544283723,290.5801447541,290.7021560859,290.8205764036,290.935515954,291.0470813374,291.155375643,291.260498579,291.3625465968,291.4616130096,295.6066237201
9877,420.3053653954,428.0593998885,434.1374616384,438.5427615011,441.1151933373,441.6502784514,439.9430633596,438.3661612871,436.7026594149,434.7965759938,432.5599575912,429.9365804277,426.886152726,423.3754472728,419.3821312057,414.8845252876,409.8713994257,404.3337297047,398.3794456638,392.6090430003,386.9510368523,381.3707886277,375.8496312658,370.3821474433,364.9632018954,359.5920757188,354.2762055255,349.0174603534,343.8147440883,338.6787198062,333.6201865185,328.6544167485,323.8153140613,319.1883414468,314.910143522,311.1255391502,307.8066099066,304.7687688509,301.8582323909,299.0090683569,296.1969559145,293.4180256269,290.6666342581,287.9471218157,285.2717646776,282.6212735137,280.0019075232,277.4237920323,274.8889234041,272.3961359579,269.9464315844,268.3011304628,267.5485883725,267.6664470968,268.6861763975,270.6686744378,272.4408024931,273.8247120389,274.9514058121,275.8871473234,276.6798337855,277.3651269009,277.9694111852,278.5120765893,279.0073066163,279.4654475623,279.8940382028,280.2985742461,280.6830706774,281.0504726515,281.4029542065,281.742134578,282.0692343535,282.3851879064,282.690724171,282.9864245576,283.2727644019,283.5501425787,283.8189026244,284.0793753054,284.3318463132,284.5765641956,284.8137599563,285.0436515291,285.2664467561,285.4823454403,285.6915407592,285.8942202342,286.0905663932,286.2807572233,286.4649664784,286.6433638901,286.8161153131,286.9833828267,287.1453248093,287.3020959948,287.4538475183,287.6007269568,287.7428783665,287.88044232,288.013555944,288.1423529581,288.2669637165,288.3875152503,288.5041313129,288.6169324273,288.7260359344,288.8315560443,288.9336038883,289.0322875724,289.1277122317,289.2199800866,289.3091904991,289.3954400295,289.4788224945,289.5594290248,289.637348123,289.7126657224,289.7854652442,289.8558276559,289.9238315293,289.9895530968,290.0530663094,290.1144428922,290.1737524008,290.231062276,290.2864378985,290.3399426428,290.3916379297,290.4415832791,290.4898363607,290.5364530447,290.5814874516,290.6249920002,290.6670174558,290.7076129769,290.7468261607,290.7847030883,290.8212883682,290.8566251795,290.8907553134,290.9237192149,290.9555560219,290.9863036047,291.0159986042,291.0446764686,291.0723714902,291.0991168398,291.1249446019,291.1498858079,291.1739704683,291.1972276049,291.2196852813,291.2413706331,291.2623098969,291.2825284388,291.3020507818,291.3209006325,291.3391009075,295.2854340765
