,2023,2026,2029,2032,2035,2038,2041,2044,2047,2050,2053,2056,2059,2062,2065,2068,2071,2074,2077,2080,2083,2086,2089,2092,2095,2098,2101,2104,2107,2110,2113,2116,2119,2122,2125,2128,2131,2134,2137,2140,2143,2146,2149,2152,2155,2158,2161,2164,2167,2170,2173,2176,2179,2182,2185,2188,2191,2194,2197,2200,2203,2206,2209,2212,2215,2218,2221,2224,2227,2230,2233,2236,2239,2242,2245,2248,2251,2254,2257,2260,2263,2266,2269,2272,2275,2278,2281,2284,2287,2290,2293,2296,2299,2302,2305,2308,2311,2314,2317,2320,2323,2326,2329,2332,2335,2338,2341,2344,2347,2350,2353,2356,2359,2362,2365,2368,2371,2374,2377,2380,2383,2386,2389,2392,2395,2398,2401,2404,2407,2410,2413,2416,2419,2422,2425,2428,2431,2434,2437,2440,2443,2446,2449,2452,2455,2458,2461,2464,2467,2470,2473,2476,2479,2482,2485,2488,2491,2494,2497,2500
2786,10.4332846022,11.4499155344,12.3954660732,13.3089599734,14.2446123831,15.2231677075,16.2532461134,17.3400754904,18.4851390243,19.6956849707,20.9716162087,22.3138871978,23.7310391616,25.2186282677,26.7888449538,28.4366722743,30.1672333836,31.9822837611,33.8884339315,35.8936753819,37.9972489045,40.2090082885,42.5230102592,44.9545363992,47.5170792781,50.1919580419,52.9902036258,55.9511054763,59.0722406893,62.3485955271,65.7792096495,69.3765957152,73.0984496664,76.9959320332,81.0610488221,85.2956752501,89.7029370452,94.2870811829,99.0278798971,103.9567747678,109.0645077634,114.4166541133,119.9944312112,125.6438423058,131.6053892534,137.8575043714,144.3035339401,150.9347487562,157.794958593,164.9097290991,172.2483207525,179.9083091432,187.7780597308,195.8690386762,204.303217106,212.916326478,221.7174751821,230.9797275015,240.3908709344,250.0740301423,260.3058634127,270.663953423,281.5086186927,292.5403095372,303.6967549793,315.5469567589,327.776283485,340.3257194812,352.9111207814,365.9411484615,379.3432308228,393.2804460371,407.5438418625,422.2029016911,436.9862322866,452.55787521,468.185309668,483.4827340468,500.2115993446,517.1546189269,534.1869633846,550.8246475416,568.3652016126,586.454013769,606.2323820429,625.3947561518,644.9797435435,665.2837228978,686.3227237071,706.3116992945,727.2868962879,747.2180307615,768.2343509038,790.8912962446,814.4745104226,838.3275993196,861.35119979,885.7883042418,910.9701572252,936.1506111157,961.5202999842,987.2903367865,1013.2248643075,1040.2598738937,1067.5377606036,1093.7526157356,1121.0646902825,1149.2437839453,1177.8907092148,1206.3903329576,1235.756208519,1265.8642411054,1296.9822867927,1328.5776320219,1361.8098195906,1394.4176527014,1426.4474946131,1459.4346706497,1493.6453244184,1528.0491695447,1563.0543423978,1597.122706158,1632.3859997689,1668.8072613044,1705.3808059153,1744.0244143778,1780.8829767745,1818.1126498373,1855.6393374855,1893.1865094658,1930.8057941974,1971.1093535627,2010.3595737141,2050.810011446,2091.513135165,2132.2616587562,2172.6744439279,2212.9435918923,2255.6616840659,2299.4728992106,2342.9072756596,2387.0171636673,2432.1017988149,2478.6938151325,2527.6468564195,2580.8924980646,2641.746881907,2717.1445579512,2821.3376717186,2983.9187152983,2689.5693727833,2756.1026393957,2819.3499960139,2880.0167011887,2938.7214170056,2995.7823971244,3051.6908525184,3106.6626677307,3160.9404610551,3214.7578037614
2901,10.3284147031,11.4237633199,12.42178571,13.381174705,14.3583397447,15.3671100884,16.4209340761,17.5280684527,18.6916111439,19.9197942982,21.213120807,22.5728129934,24.0074319511,25.5125768289,27.1006319676,28.7665085792,30.5153484933,32.3488640528,34.2738814067,36.2985127848,38.4218543916,40.6535271552,42.9869787335,45.4371128518,48.0166848819,50.7052548591,53.5110050988,56.4679689962,59.5626398356,62.7906783205,66.1618886089,69.6966600725,73.3588899312,77.2050163376,81.2296555252,85.4327133648,89.8143157516,94.3811014278,99.1159167185,104.0457681808,109.1583489722,114.5174421309,120.1031689054,125.7607740944,131.7305459681,137.9906678725,144.4442749981,151.0825509229,157.9492929407,165.0700602623,172.4140733952,180.078987169,187.9530732406,196.047816458,204.4852994753,213.101131484,221.9044499735,231.1685532536,240.5809991627,250.2650264909,260.4974966536,270.855662472,281.70003547,292.7307147955,303.8851052755,315.7319750784,327.9553083264,340.4938058246,353.0589606467,366.0563321162,379.4211638002,393.3254878325,407.5688018973,422.2317358411,437.039254975,452.6481443557,468.3204113986,483.6669448542,500.4481071753,517.4456847701,534.5322527639,551.2215921707,568.8115565882,586.9471867877,606.7711407999,625.9761399172,645.6021845022,665.9462528941,687.0247118826,707.0509356895,728.063592394,748.0303900712,769.0830740973,791.777783865,815.3994283208,839.2908629699,862.3512566206,886.8256058902,912.0430672039,937.2545885535,962.6514837996,988.446698819,1014.4051977953,1041.4647259686,1068.7670545587,1095.0049730033,1122.3412801268,1150.5455284473,1179.2180735487,1207.7430832375,1237.1352316131,1267.2702701073,1298.4163380208,1330.0401261206,1363.3024408824,1395.9396139048,1427.9980726759,1461.0148133421,1495.2562644347,1529.6910329947,1564.7276981133,1598.8264908618,1634.1214269207,1670.5755035375,1707.1819753007,1745.8606432988,1782.75235381,1820.0155355841,1857.576020342,1895.156995719,1932.8101500385,1973.1503493983,2012.4361168677,2052.9233383674,2093.6635085889,2134.4491329598,2174.8986884701,2215.2044786033,2257.9617287612,2301.8132328008,2345.287537459,2389.4380649654,2434.5643562921,2481.1995867469,2530.1982660963,2583.4939242329,2644.40605607,2719.8762164691,2824.1709427582,2986.9126381294,2692.258881855,2758.856568029,2822.1649023682,2882.889891303,2941.6508484903,2998.7663721507,3054.7281844194,3109.7524021987,3164.0818928416,3217.9504836814
5004,10.4029760537,11.4396749007,12.3972625185,13.3184299841,14.2668024553,15.253656967,16.2892579767,17.3799155782,18.5279628817,19.7411488752,21.0196312387,22.364555464,23.7845835466,25.2753135449,26.8490318143,28.5008385072,30.2359013211,32.0559917266,33.9678212752,35.9794664678,38.0901538017,40.3096544895,42.631789999,45.0714713395,47.6415235682,50.3218261495,53.1208808828,56.073160521,59.1673337364,62.4016746865,65.7898177165,69.3589836391,73.0658612611,76.9568403955,81.0212605131,85.2591703818,89.6720455864,94.2630209779,99.0113412535,103.9481746295,109.0640644226,114.4243957662,120.0102358554,125.6674488565,131.6364462105,137.8956033825,144.3482331645,150.9855884947,157.8514768375,164.9714699948,172.3148238488,179.9791495564,187.8527888678,195.9472200465,204.384460408,213.0002057836,221.8035805419,231.0677466327,240.4804085254,250.1647426117,260.3974899224,270.7560884248,281.6009232279,292.6322462023,303.7875527692,315.6355472864,327.8606170054,340.4020534926,352.9724840366,365.9793606116,379.358330853,393.2781701337,407.535891019,422.2109300287,437.0278311774,452.6430357851,468.3183637358,483.6640497522,500.4390516378,517.4222992568,534.4844534014,551.1414156261,568.6948959718,586.7927663022,606.5785279599,625.7462252686,645.3355847853,665.6434570791,686.6860615409,706.6775541885,727.6553107039,747.5880984255,768.6062516908,791.2654759102,814.8510787876,838.7063790396,861.7315565823,886.170595912,911.3544535455,936.5366837517,961.9080157871,987.679659132,1013.6156770472,1040.6524209082,1067.9319699401,1094.1479637825,1121.4614382903,1149.6421095386,1178.2906553642,1206.7917467503,1236.1592763864,1266.2691087752,1297.3891825779,1328.9866192551,1362.2213100648,1394.8313870727,1426.8632454344,1459.8526606481,1494.0658482799,1528.4722360765,1563.4800766311,1597.5508290308,1632.81680457,1669.2410278518,1705.8175562674,1744.4646540197,1781.3262529496,1818.559054291,1856.0889478946,1893.6393418913,1931.2618822378,1971.5693382815,2010.8232301813,2051.2776346625,2091.9848057736,2132.7374144775,2173.1542430456,2213.4274400397,2256.1501477412,2299.9662479311,2343.4054674363,2387.5203823868,2432.6102927668,2479.2079451514,2528.1671626799,2581.4199223532,2642.2830533511,2717.6925365869,2821.903454309,2984.5144251862,2690.097154846,2756.6413496975,2819.8988396914,2880.5750649872,2939.2888423832,2996.3585145565,3052.2754089809,3107.2554691147,3161.5413725072,3215.3667485961
5038,10.4764562558,11.4566478792,12.3778457759,13.2733596389,14.1855852682,15.1473328417,16.1641005865,17.2394887586,18.3740878595,19.5746552657,20.8409623535,22.173864643,23.5816523453,25.0599259474,26.6208854022,28.2596310709,29.9813272223,31.7877966538,33.6859410013,35.6840057579,37.7814573261,39.9883595466,42.2991889091,44.7301024521,47.2962174441,49.9817880738,52.8033336728,55.8031387815,58.9563915746,62.2512221175,65.6922090176,69.2955659476,73.0212404748,76.9215827033,80.9892817457,85.2266503914,89.6371494685,94.2252109105,98.9706168137,103.9046510758,109.0178780533,114.3756933633,119.9592236785,125.6144609685,131.5818395104,137.8398309595,144.2918283527,150.9291294071,157.7955699956,164.9167426092,172.2619249599,179.9287029467,187.8054372936,195.9035866942,204.3451318461,212.9657813585,221.7746492851,231.0448909119,240.4643153919,250.1562498611,260.3977912809,270.767095034,281.625899375,292.6770346875,303.8630262158,315.7516493373,328.0198905458,340.5999789583,353.197072795,366.2077919327,379.5680726521,393.4555999595,407.6741165572,422.306948353,437.0808550691,452.6536152829,468.2879336547,483.5949862839,500.3341790941,517.2866415726,534.3272969262,550.9721687736,568.5193653244,586.6143913874,606.3990284819,625.5672147598,645.1579322277,665.4677034681,686.5126051899,706.5071261444,727.4880967264,747.4246856279,768.4467397732,791.1098589476,814.6994942374,838.5590739796,861.5889346867,886.0326900774,911.2214020543,936.4087189864,961.7853291054,987.5624050053,1013.5040258418,1040.5464420866,1067.831813794,1094.0538737993,1121.3734692792,1149.5603376743,1178.2151826589,1206.7227027234,1236.0967315589,1266.2131413051,1297.3398630265,1328.9440373858,1362.185528246,1394.8025158492,1426.8413769315,1459.837861758,1494.0581886402,1528.471787336,1563.4869080118,1597.5649885814,1632.838359256,1669.2700490178,1705.8540948945,1744.5088113053,1781.3780175802,1818.6184701709,1856.1560529191,1893.7141589498,1931.3444314146,1971.6597625661,2010.9214950078,2051.383816168,2092.0989298574,2132.8594921259,2173.2842577353,2213.5653817222,2256.2961753822,2300.1204371386,2343.5677912251,2387.690884533,2432.7890370335,2479.3950328698,2528.3627562296,2581.6243272147,2642.4968227204,2717.9167497837,2822.1402767755,2984.7682374467,2690.3380408684,2756.8910279806,2820.157258299,2880.8421805423,2939.5646248249,2996.6429286854,3052.5684381749,3107.5570950682,3161.8515816529,3215.6855368981
5346,10.5776528897,11.4804142831,12.3519283457,13.209023184,14.0743341777,15.0050265611,16.0000276854,17.0586643227,18.1792952186,19.3673362872,20.6217555563,21.9430993641,23.3397004941,24.8071079398,26.3574246205,27.9859293239,29.6979462157,31.4956262958,33.3860797437,35.3783979342,37.4740828083,39.6870447085,42.0192637188,44.5000151092,47.1314481271,49.8839201283,52.7597684874,55.7892900536,58.9578696626,62.2599572818,65.7036336143,69.3072270917,73.0316156214,76.9287133294,80.9898605956,85.2173108146,89.6161314436,94.1921727238,98.9258626156,103.848653246,108.9511083228,114.298517815,119.8719251,125.5173381797,131.4749297346,137.7230757917,144.165219595,150.792630209,157.6490758853,164.7601201908,172.0950977356,179.7515798145,187.6181862236,195.7066511611,204.1393340514,212.7531114421,221.5589088928,230.8330816212,240.2705236651,249.999834381,260.2807678159,270.6701086747,281.5108754286,292.5102810838,303.6173848576,315.4067563184,327.5664045596,340.037079492,352.5319620405,365.4565298795,378.7464983737,392.5736741319,406.7380529572,421.320070971,436.0453489509,451.5688484649,467.1541634163,482.4127459092,499.1016782694,516.0056295567,532.998997794,549.5983872919,567.0982587889,585.1448064381,604.876783157,623.9938436983,643.5323207611,663.7879629215,684.7767692587,704.7177721446,725.6426122285,745.5256269283,766.491244096,789.0936775738,812.6200233067,836.4157648136,859.3835858422,883.7615601571,908.8826483981,934.0020886866,959.3103481201,985.0178327966,1010.8894357792,1037.8588040515,1065.0703980771,1091.2213437848,1118.4668940844,1146.5773559926,1175.1544432314,1203.584631059,1232.8786058035,1262.9134343371,1293.9554142195,1325.4736752747,1358.6248627428,1391.1529326681,1423.1044511091,1456.0108544331,1490.1378445277,1524.4574436831,1559.3768903541,1593.3616640716,1628.5384636176,1664.8704135354,1701.3541727605,1739.9031444133,1776.6711001496,1813.8092416394,1851.2436247773,1888.6983704093,1926.2249994889,1966.4294507504,2005.5830038014,2045.9338508461,2086.536585325,2127.1849550533,2167.4978533382,2207.6675475285,2250.2803215029,2293.9837641399,2337.3105967737,2381.311787069,2426.2854129743,2472.7625015105,2521.5949363526,2574.7096592658,2635.4149037775,2710.6286320253,2814.5687847718,2976.7573040044,2683.1044847772,2749.4754824369,2812.568222556,2873.0863109079,2931.6469553714,2988.5676711021,3044.3385084563,3099.1748499018,3153.3187593618,3207.0032266499
6016,10.5171619942,11.4621434397,12.3608258309,13.2398434363,14.1324430124,15.0817618464,16.0905655029,17.1605671965,18.2915179954,19.4896200527,20.7542408315,22.086076835,23.4934234703,24.971849865,26.5335329202,28.1737004398,29.8975693446,31.7070170006,33.6089845281,35.6117663212,37.7149010742,39.9285230822,42.2472059575,44.6872107512,47.2640010147,49.9626872125,52.8012178445,55.8122563915,58.973363847,62.2739875352,65.7193660659,69.3261323174,73.054428646,76.9565926696,81.0250876007,85.2621635196,89.6714453603,94.257563508,99.0005093745,103.9317987443,109.0421738269,114.3971643541,119.9779739749,125.6306149382,131.5955310295,137.8511559574,144.3008686537,150.9359422529,157.8001718151,164.9191130852,172.2620139466,179.9264371238,187.8007369326,195.8963692218,204.3353126497,212.9533302108,221.7596167454,231.0274627914,240.4450471525,250.1363285564,260.3796046573,270.7554442109,281.630453791,292.6997754119,303.8935757289,315.7749158012,328.0224730266,340.5672417779,353.1171510831,366.0837070914,379.4087458993,393.2680514783,407.4634467988,422.0768153283,436.8340377859,452.3917342561,468.0124577367,483.3071853154,500.0341569981,516.9749721844,534.0042962213,550.63823253,568.1739772043,586.2571839982,606.028906412,625.1844844326,644.7622702906,665.058615424,686.0895997846,706.0708306909,727.0378945901,746.9612328105,767.9693823651,790.6176047493,814.1918024229,838.0358200909,861.0506884356,885.4786240526,910.65111104,935.8222690635,961.1826705465,986.943358711,1012.8685632055,1039.8939495964,1067.1622178508,1093.3679214651,1120.6705543255,1148.8399997832,1177.4772130713,1205.9672788884,1235.3233974843,1265.4215200018,1296.5294115609,1328.1145468985,1361.3360680827,1393.9335658849,1425.9533872455,1458.930327444,1493.1304410122,1527.5237982478,1562.5183965782,1596.5766254159,1631.8294965519,1668.2400635087,1704.8029841755,1743.4353937148,1780.2834814489,1817.5026774113,1855.0189104822,1892.555742297,1930.1647833989,1970.4573337604,2009.6970144692,2050.1366408034,2090.8289926419,2131.5668507996,2171.9691991034,2212.2280743915,2254.9352241007,2298.7352664288,2342.1587091974,2386.2575650252,2431.3309729295,2477.9113957935,2526.8522032518,2580.0843545415,2640.9229344426,2716.300289683,2820.4640411999,2982.9972481771,2688.7494391722,2755.2649592422,2818.4958804354,2879.1472033002,2937.8373680238,2994.8845043396,3050.7796531105,3105.7386159022,3160.0039254456,3213.80906752
6120,10.4222356721,11.4421738436,12.3889175954,13.3027015267,14.2410967512,15.2211797445,16.252005413,17.3391707737,18.4844424353,19.6952362322,20.9715969729,22.3144930369,23.7322712047,25.2205209818,26.7915129445,28.4404150408,30.1724023986,31.9892398714,33.897726967,35.9059886953,38.0132761016,40.2292902451,42.5477252494,44.983683987,47.5502819907,50.2277150933,53.0254802638,55.9800295451,59.083505217,62.3410709356,65.7611368071,69.3531975388,73.0729072804,76.9703314343,81.0369690792,85.2742606193,89.6848247049,94.2725604199,99.0171025113,103.9498357814,109.061468201,114.417544293,119.9992699915,125.6526358798,131.6181444512,137.8742341985,144.3242565773,150.9594823053,157.8237211213,164.9425367049,172.2851738418,179.9492142146,187.8229861132,195.9179397368,204.3560551393,212.9730094973,221.7778935886,231.0438237108,240.4584904406,250.1450327536,260.3801602443,270.7413050724,281.5888309359,292.6230038079,303.7813562805,315.6327006065,327.8616565909,340.4079647841,352.9851128348,366.0022584216,379.3952541804,393.3306113624,407.6029228056,422.289050896,437.1098409529,452.7148845517,468.36700617,483.68229342,500.4243686539,517.3765319226,534.4151365243,551.056991201,568.6008815605,586.6925156138,606.4739311419,625.6388466407,645.2263817024,665.5330795294,686.5749979041,706.5664643322,727.5444624354,747.4780046351,768.4970752913,791.157286095,814.7440292374,838.6006920431,861.6275649953,886.0683550501,911.254091018,936.4383967103,961.8119693543,987.5859886813,1013.5245308603,1040.563862231,1067.8461294153,1094.0650581884,1121.3815175611,1149.5652407824,1178.2169297869,1206.7212858752,1236.0921411016,1266.2053668272,1297.3288902609,1328.929856442,1362.1681128294,1394.7818722846,1426.8175167819,1459.8107711662,1494.0278466262,1528.4381947545,1563.45005735,1597.5249133045,1632.7950391788,1669.2234632053,1705.8042513451,1744.455658982,1781.3216276484,1818.5588478381,1856.0932068908,1893.6481088194,1931.2751964005,1971.5872649068,2010.8457962227,2051.3048928106,2092.0167953263,2132.7741690185,2173.1957855052,2213.4737933849,2256.2013947349,2300.0224438412,2343.4666286389,2387.5865511073,2432.6815183198,2479.2842910008,2528.2487154876,2581.5068250894,2642.3755473703,2717.7910751675,2822.0089302267,2984.6286101702,2690.2099691836,2756.7592801873,2820.0219690193,2880.7034620804,2939.4225687112,2996.4976182027,3052.4199384655,3107.4054652907,3161.6968730747,3215.5277916409
9563,10.7601940094,11.5110369344,12.2831376145,13.0631527095,13.8533378139,14.6687848064,15.5790536799,16.5706522474,17.6345265186,18.7720082498,19.9800824789,21.2586547506,22.6161228829,24.0488719916,25.5701965888,27.1785892914,28.8836235295,30.69503384,32.6328182285,34.6937658359,36.868743062,39.1622569882,41.565118752,44.0900356777,46.748249174,49.5178643686,52.4060397739,55.4457611361,58.6255851009,61.9415551648,65.4020705974,69.0255244509,72.7728143698,76.6951580403,80.7831785374,85.0387189831,89.4667892983,94.0731325653,98.8380284027,103.7927723576,108.9278877628,114.3087454771,119.9167816134,125.5987482945,131.5964925378,137.8916227957,144.3878341522,151.0718742798,157.9840597318,165.1479493134,172.531694066,180.2324477536,188.1383598037,196.2610310483,204.7227656057,213.3592278615,222.1793620024,231.4556172321,240.8730001743,250.549644759,260.7619472875,271.0905931575,281.8992064179,292.8895156389,303.999949831,315.7997642414,327.9732547987,340.4592967636,352.9697114295,365.9099389314,379.2153139054,393.0576913919,407.2367252528,421.8329071793,436.5714952067,452.1082262939,467.7058181006,482.975297806,499.6753794999,516.589280679,533.5914967704,550.1983629931,567.7059311295,585.7600805025,605.50080306,624.6254471192,644.1714245622,664.4347804783,685.4315420146,705.3790614552,726.3109078326,746.1995834438,767.1714296911,789.7810636317,813.3150958618,837.1180627689,860.0922303156,884.4772882559,909.605447161,934.7316849854,960.046356277,985.7602517148,1011.6378863688,1038.6137657798,1065.831640237,1091.9877324455,1119.2388007082,1147.3550010131,1175.9377959744,1204.3730862207,1233.6727223507,1263.7128064671,1294.7607210589,1326.2846586042,1359.4421306189,1391.9758886301,1423.9322465516,1456.8438194026,1490.9762589231,1525.3011210912,1560.2258076492,1594.214994699,1629.3965348117,1665.7335165792,1702.2221099684,1740.7765153239,1777.5488368361,1814.6912105624,1852.1296859344,1889.5882667217,1927.1184935866,1967.3275056015,2006.4848750096,2046.8398112272,2087.4466184495,2128.0984226466,2168.4148458938,2208.5876273683,2251.2042209069,2294.9114692678,2338.2423398081,2382.2470953028,2427.2243793135,2473.7057667762,2522.5432020511,2575.664394174,2636.378842275,2711.6071711202,2815.5728885494,2977.8091947576,2684.013324972,2750.397519769,2813.5013733556,2874.0288972792,2932.5976377792,2989.5253213982,3045.3022429176,3100.1439231728,3154.2925571973,3207.9812571907
9581,10.3124296795,11.4211788971,12.4274740296,13.3935495651,14.3738516064,15.3838190914,16.4376188025,17.543881859,18.7060024724,19.9323220981,21.2233463353,22.5803615785,24.0120375332,25.5138915354,27.0982417475,28.7600178425,30.504275753,32.3326387496,34.2517773422,36.2696946717,38.3854282784,40.6085697043,42.9325976868,45.372333063,47.9404612419,50.6164332902,53.4084537465,56.3506069924,59.430172748,62.6434840051,66.0011308942,69.5250203527,73.1817728752,77.031944654,81.0712402058,85.2936627367,89.6963139442,94.2798799571,99.0223454013,103.9542482963,109.0658104542,114.4222596537,120.0045835837,125.658612619,131.6247496991,137.8813538069,144.3317219143,150.9670918856,157.8312605373,164.9497910041,172.2919278644,179.9552689769,187.8281375143,195.9219945287,204.3588430696,212.9743585564,221.7776514328,231.0418835448,240.4547366608,250.1393793474,260.3725534523,270.7316561283,281.5770591517,292.6089507353,303.76474426,315.6130278301,327.8378817318,340.3780297096,352.9450223555,365.9443117634,379.3111579823,393.2175633717,407.4630574933,422.128229111,436.9380235896,452.5489845641,468.2230242215,483.5706417669,500.3513324385,517.3458267173,534.4289541129,551.1166618207,568.7081957125,586.8502930064,606.6883799212,625.9127124602,645.5592259996,665.9225379117,687.0174840054,707.0557195504,728.0729166874,748.035481615,769.0778126249,791.7589105839,815.3651919931,839.2403955934,862.2844435318,886.7430118886,911.9467612793,937.1488275404,962.5400971638,988.3319343658,1014.2882517279,1041.3460268697,1068.6467660972,1094.8832242573,1122.2178873571,1150.4203156853,1179.0909141287,1207.6139300878,1237.003944714,1267.136736042,1298.2804254357,1329.901765861,1363.1614477426,1395.7960370176,1427.8519544583,1460.8660373433,1495.1046853382,1529.5366069579,1564.5703367095,1598.6662561439,1633.9581636728,1670.409057266,1707.0122883336,1745.6874644057,1782.5758107736,1819.8355392379,1857.392485988,1894.9698633336,1932.6193520321,1972.9555577884,2012.2373709338,2052.7204525753,2093.4563893344,2134.2377056103,2174.6829149764,2214.9843008469,2257.7368288505,2301.5834265148,2345.0527870181,2389.1982267951,2434.319256681,2480.9489988594,2529.9418785255,2583.2312334626,2644.1362291407,2719.5977292937,2823.8808503149,2986.6050598106,2691.9778161106,2758.5676212759,2821.8682764423,2882.5857282494,2941.3392365403,2998.447375157,3054.40182166,3109.4186762248,3163.7407862222,3217.6019569423
9877,10.7842170854,11.5198768426,12.2871652552,13.069502888,13.866733731,14.6907370023,15.609524584,16.6125624963,17.6896146692,18.8412887756,20.0641812002,21.3577678339,22.7299526742,24.1769532874,25.7120923578,27.333551348,29.0517101069,30.8782243131,32.8304125404,34.9034050215,37.0884558432,39.3903677828,41.8000201068,44.3302492343,46.9924717362,49.7655495814,52.6568083551,55.6994288866,58.879969437,62.1936007713,65.6490624592,69.2650766037,73.0026826114,76.9137208973,80.9893784672,85.2318263434,89.6460739742,94.2378551321,98.9874497043,103.9262284701,109.0446920837,114.4081753909,119.9977798825,125.6594924464,131.633908859,137.8997954323,144.3611726507,151.0105420833,157.8940200009,165.0414781668,172.4307215729,180.1539501228,188.0899435286,196.2419701989,204.7235580153,213.3571735501,222.1536223173,231.3949772851,240.7748544025,250.42014361,260.6098479924,270.9226252963,281.7197002588,292.7018365857,303.8068755129,315.6033756832,327.7756510696,340.2625165938,352.7758937039,365.7209761269,379.0331296828,392.8841481337,407.0737958,421.682564182,436.4358321351,451.9892213082,467.6057122229,482.8964742241,499.6185256099,516.554590838,533.5794134861,550.2094601536,567.7409279325,585.8197475476,605.5861542172,624.7371435699,644.3103048714,664.6017776554,685.6276301569,705.6046270142,726.5670033988,746.4864775882,767.4902333851,790.13321219,813.7017686614,837.5401399692,860.5499797021,884.972209418,910.1387036498,935.3039941684,960.6585402108,986.4132662539,1012.3325213292,1039.3514847011,1066.6132999076,1092.813170884,1120.1094968494,1148.2722822962,1176.9026807209,1205.3860695174,1234.7351623,1264.8259726302,1295.9261461459,1327.5034055319,1360.7163716474,1393.3056531654,1425.3175670585,1458.2862201432,1492.4775588935,1526.8620999042,1561.8476653416,1595.897290538,1631.1410832139,1667.5421215197,1704.0954752227,1742.7174958177,1779.5559461161,1816.7653725888,1854.2717297991,1891.7986871441,1929.3978299223,1969.679433402,2008.9085849599,2049.3372181965,2090.0184824294,2130.7452358311,2171.1366012006,2211.3845427006,2254.0798214507,2297.867575906,2341.2788631464,2385.365301199,2430.4259135064,2476.9929628741,2525.9195029796,2579.135772159,2639.9556268461,2715.3088470257,2819.4377811366,2981.9145247247,2687.7830386912,2754.2768757849,2817.4874747684,2878.1195388485,2936.7912519113,2993.8206020417,3049.698432812,3104.640450924,3158.8890905972,3212.6777385734
