,2023,2026,2029,2032,2035,2038,2041,2044,2047,2050,2053,2056,2059,2062,2065,2068,2071,2074,2077,2080,2083,2086,2089,2092,2095,2098,2101,2104,2107,2110,2113,2116,2119,2122,2125,2128,2131,2134,2137,2140,2143,2146,2149,2152,2155,2158,2161,2164,2167,2170,2173,2176,2179,2182,2185,2188,2191,2194,2197,2200,2203,2206,2209,2212,2215,2218,2221,2224,2227,2230,2233,2236,2239,2242,2245,2248,2251,2254,2257,2260,2263,2266,2269,2272,2275,2278,2281,2284,2287,2290,2293,2296,2299,2302,2305,2308,2311,2314,2317,2320,2323,2326,2329,2332,2335,2338,2341,2344,2347,2350,2353,2356,2359,2362,2365,2368,2371,2374,2377,2380,2383,2386,2389,2392,2395,2398,2401,2404,2407,2410,2413,2416,2419,2422,2425,2428,2431,2434,2437,2440,2443,2446,2449,2452,2455,2458,2461,2464,2467,2470,2473,2476,2479,2482,2485,2488,2491,2494,2497,2500
2786,443.9569224758,462.4110327143,479.2411149045,495.1101186256,510.7498956448,526.4236333997,542.2303134508,558.2050073839,574.3302893638,590.6519185698,607.1297763279,623.7338863218,640.5092237941,657.3734754197,674.3990266209,691.4976658454,708.6744360959,725.9013410329,743.187457961,760.547630902,777.9291969957,795.361134775,812.7577164423,830.1818703136,847.6794857453,865.0909764131,882.4517058351,899.9668331546,917.5791302902,935.2385553192,952.9288250704,970.6905370883,988.2747685697,1005.8950242434,1023.4714283447,1040.9784219485,1058.3952318621,1075.6994002891,1092.7636461479,1109.6760737629,1126.3635813229,1143.0426544557,1159.6265577605,1175.5509466041,1191.6186634675,1207.7386497724,1223.5949310292,1239.1589365838,1254.5583293531,1269.8646048996,1284.9866383869,1300.1962124722,1315.2052115349,1330.0502600504,1345.0499099204,1359.8230649642,1374.3978104566,1389.4148973528,1404.2029600247,1419.040148571,1434.5376813838,1449.8730723347,1465.8087547934,1481.8339732106,1497.8826959231,1515.05284857,1532.8738259743,1551.3247221471,1569.9252722938,1589.2439689914,1609.0053340616,1629.1838090911,1649.180247167,1668.9097039747,1687.7305360018,1706.4984084232,1724.2256276204,1740.4111827614,1757.4273505557,1773.7612090336,1789.2941445107,1803.3984227161,1817.5948285579,1831.4182915519,1846.2125168932,1859.4096972013,1872.1322485248,1884.693599352,1897.1577087262,1907.6798617772,1918.2784617633,1926.9063099717,1935.4869978401,1944.5048987142,1953.3253529814,1961.4006130461,1967.7339258529,1974.1897022931,1980.2338537236,1985.2688668542,1989.4277079845,1992.8568913017,1995.342142559,1997.5575297257,1998.909819324,1998.4220077131,1997.4893709301,1995.9249557348,1993.4461974385,1989.6025820718,1984.9573054477,1979.388599726,1973.0305924165,1965.5463802964,1957.6097386456,1948.0172946752,1936.7339259568,1924.4871999533,1911.4043237457,1896.9753898387,1881.3964267783,1863.9043584729,1845.3813077107,1825.8060698121,1804.722716991,1782.9596577595,1758.9957549149,1733.5897954455,1706.6727851457,1678.0899136341,1647.749611301,1616.5160839517,1583.1571747716,1548.318911682,1511.6922671877,1473.1711925789,1432.5729837121,1389.8063478848,1345.442845677,1299.1376175381,1250.4802837056,1199.5993339886,1146.4579510829,1091.0636320125,1033.4822710182,973.9743478275,913.0001939663,851.4220642029,790.6047217424,730.3192558321,628.9447422981,556.2851764561,479.9190484326,400.0726132518,317.1566636485,232.0813289967,146.9261946989,66.313278668,0.0,0.0
2901,228.8228554716,240.1826445921,250.4841490562,260.2539408997,269.9215500803,279.5865486937,289.3245273529,299.1702243338,309.1197906639,319.194798458,329.3684045287,339.6167454618,349.9536489088,360.3216847541,370.75080701,381.1812189309,391.6030773176,401.9887027093,412.3321487499,422.6313329343,432.8431900316,442.9666846114,452.9336323109,462.7592405119,472.4512614343,481.8975094291,491.0884753279,500.1058482093,508.8761162511,517.3596938608,525.5632080454,533.5296351571,541.1392285013,548.5329015093,555.6856505867,562.586833946,569.218086212,575.5705342525,581.5847441172,587.3081824216,592.6928140942,597.8519221179,602.7437024783,607.0570064684,611.2108625621,615.1634845153,618.7541711672,621.9673465809,624.8675511064,627.4928489266,629.7958118375,631.9188026545,633.722068831,635.2222837326,636.5829991297,637.6225044351,638.3468903991,639.0708634151,639.4780388523,639.6910934655,640.0057319029,640.0421920601,640.1539620028,640.1137891887,639.8730919516,639.912460515,640.0289373115,640.2252466944,640.3207264692,640.6182468162,641.0999435972,641.9130969139,642.9734013574,644.3753891992,645.9907840339,648.2385574425,650.7851844898,653.4539333669,657.1856957527,661.42736134,666.0930287302,670.8759250846,676.2876481918,682.105240604,688.8083042523,695.4100591211,702.3038877931,709.5884560541,717.279596721,724.663157532,732.4929085207,739.9712942696,747.81202836,756.1841210379,764.8179383724,773.4602770689,781.6479175013,790.0215288166,798.2506615164,805.9687536376,813.2002593101,820.0148046528,826.3373467337,832.4649895506,838.1695837498,843.0389589864,847.6624152052,851.9676325798,855.8386809954,859.0758525683,861.918435835,864.3103368336,866.310268898,867.7643622754,868.9807035512,869.4240287264,869.0626690693,868.214977539,866.9412590164,865.0061543296,862.5005498526,859.0555852855,855.0678920081,850.5272370981,845.207683883,839.5117262996,832.7068034104,825.1393101235,816.7668762346,807.5012850586,797.2721040922,786.5036878079,774.575570177,761.7931420606,747.9927614064,733.1074787007,717.0251994318,699.6666295056,681.3067589646,661.7615081815,640.7968571514,618.4535516043,594.6864706263,569.4721299794,542.8171358022,514.8384916723,485.7790883123,456.137299473,426.760377109,397.3957389538,345.250448592,308.381478829,269.0727309526,227.3267223832,183.1662482211,136.7713190744,88.8410944821,41.5027731902,0.0,0.0
5004,351.7486011027,368.5854119369,384.1109407492,398.8785268183,413.5891609387,428.3693837255,443.3051838703,458.430607491,473.7358352338,489.254869036,504.9486359295,520.7870414848,536.7993303466,552.9038917339,569.1520461284,585.4590057898,601.8159253716,618.1843182215,634.5572296156,650.9341173627,667.2545344099,683.5262193127,699.6533921523,715.6652830424,731.5762510306,747.2167645452,762.5760701193,777.792509711,792.7694066716,807.4595809327,821.8837832402,836.1308711712,849.9997025247,863.6827387884,877.1297466511,890.3404299302,903.3123302359,916.0374431675,928.4140093736,940.5241594159,952.3075538457,963.9523441448,975.397300454,986.1625274674,996.9264823755,1007.6197224589,1017.9848173267,1028.0037205456,1037.788484869,1047.4060175834,1056.7837954778,1066.155867793,1075.2927001608,1084.2274645805,1093.2326453689,1102.0068876022,1110.5724992669,1119.4633006328,1128.1419890579,1136.8292415661,1146.0277790253,1155.0709513114,1164.5713822594,1174.1192903189,1183.6357797176,1193.9705801894,1204.7264522285,1215.8822940136,1227.0913760239,1238.9016190916,1251.2490238061,1264.3353397492,1277.8872853558,1291.9577930756,1306.1638507587,1321.1705493796,1336.1418132591,1350.5859446652,1366.2333431758,1381.7955699136,1397.0486537562,1411.3801220704,1425.9160279026,1440.2443848242,1455.4179430412,1469.3989165004,1483.0520739437,1496.6093827171,1510.1371894373,1522.1517263652,1534.2849568183,1544.891571277,1555.4955655198,1566.4838329538,1577.3502520213,1587.6711436335,1596.6172667368,1605.6939508128,1614.4734710199,1622.4670720978,1629.7778004131,1636.5248318779,1642.5149903188,1648.3026425325,1653.4178486024,1657.032476744,1660.2940131131,1663.0474904936,1665.0654616215,1665.9613856616,1666.2014545531,1665.6739442195,1664.4881261174,1662.3338822612,1659.7919964298,1655.8456879067,1650.4428017864,1644.1829435247,1637.1709943747,1628.9557752989,1619.714093517,1608.7614481024,1596.8366142818,1583.911735562,1569.5466967875,1554.4753569801,1537.3437602964,1518.792888308,1498.7478901939,1477.0561746334,1453.5830158037,1429.0926734021,1402.4560697886,1374.2217156037,1344.0945644561,1311.9675296794,1277.6662193436,1241.0666203718,1202.6625469673,1162.1492342727,1119.1535882393,1073.7936181975,1026.0437556518,975.9194939427,923.4797401578,868.9472240802,812.7226926049,755.6549448751,699.4070422532,643.6889119636,552.1794817111,486.5985098392,418.6996404248,349.019836452,278.162540555,206.8340338731,135.8703708681,66.2196678052,0.0,0.0
5038,467.5099473697,486.8645984742,504.7446340832,521.739583635,538.4426544218,555.2777362114,572.2965779454,589.5104746009,606.8887564467,624.4730143499,642.2178767205,660.0889074538,678.1285150628,696.2440040513,714.5078442368,732.8228561758,751.189974521,769.5766405357,787.9923566931,806.4534900162,824.9023239648,843.3647641513,861.7448252057,880.1043507893,898.48708128,916.719827118,934.8359819859,953.0283969927,971.1132654002,988.9945272142,1006.666901897,1024.1857940613,1041.3021847962,1058.2548951,1074.9814874578,1091.4863876911,1107.7801794458,1123.8638523414,1139.6204143904,1155.1505237703,1170.3831330354,1185.5423897025,1200.5395801093,1214.8040048776,1229.1701442945,1243.5454813136,1257.6133547496,1271.3588035724,1284.9280883276,1298.4102374912,1311.730229957,1325.1800697506,1338.4869174753,1351.7111381017,1365.1947284477,1378.57864584,1391.9217256646,1405.8895276761,1419.8303926647,1434.0452477886,1449.1477446959,1464.3045251469,1480.2478218752,1496.395617139,1512.5752602518,1529.7759413212,1547.3995964887,1565.2709619484,1582.8475790207,1600.7397799949,1618.6646324548,1636.7172238969,1654.4941156353,1672.0569637213,1688.9574267799,1706.0838239373,1722.4233028929,1737.4313992268,1753.3787396146,1768.7016242177,1783.2596566719,1796.4469952143,1809.7738896736,1822.77376823,1836.7357881062,1849.11966008,1861.0361815575,1872.7730459741,1884.3651488698,1894.0072459233,1903.6936574855,1911.4485521221,1919.1912796804,1927.3796336845,1935.3618279445,1942.5901203725,1948.1100087534,1953.7461638991,1958.9511513325,1963.1326417868,1966.42085568,1968.9569664422,1970.529560621,1971.7771855819,1972.105758462,1970.5856248709,1968.5884454702,1965.9219475971,1962.3092911086,1957.3287817075,1951.5403875739,1944.8281061313,1937.3177059973,1928.6729441248,1919.5169976803,1908.6773140963,1896.1428450779,1882.6214128992,1868.2176414763,1852.4262866012,1835.4299514815,1816.5124215774,1796.5264556361,1775.4346505895,1752.782448361,1729.3216066012,1703.59167789,1676.3215446558,1647.4404907973,1616.8082003041,1584.3437899454,1550.8338572808,1515.103392465,1477.7484389855,1438.4609529331,1397.1389624634,1353.6305446738,1307.878814055,1260.407726252,1210.8931285925,1158.9888909848,1104.8573559794,1048.5175860768,990.0368588863,929.5333695799,867.2760475603,803.6650681458,739.4034924713,675.7848964019,613.0283927791,517.0412129625,446.5125678815,374.8895988873,303.1628254101,232.5789069932,164.7513454505,101.7973621206,46.3926585086,0.0,0.0
5346,751.493637108,778.9833928331,804.7525589895,829.3654398497,853.4670576782,878.2730032937,903.7083485162,929.6715532452,956.0572121228,982.8942134399,1010.0954861246,1037.6123856334,1065.5230842999,1093.6921004059,1122.2523996402,1151.0734705766,1180.1794092415,1209.5440245043,1239.2064007147,1269.2327584816,1299.5871068439,1330.3911807266,1361.6188135747,1393.5208347799,1426.0496160658,1458.8011023697,1491.7338302091,1525.1055472461,1558.7213927439,1592.4797617159,1626.4088261145,1660.6302549585,1694.7651516732,1729.2043533934,1763.8179227238,1798.5609949714,1833.4146354092,1868.3605623937,1903.208827247,1938.1373856074,1973.035521549,2008.2846821152,2043.7368800442,2078.4111393838,2113.7085434645,2149.4556034952,2185.0857029193,2220.539775979,2256.033605786,2291.6816372498,2327.30561241,2363.3732019531,2399.3481601967,2435.2793422232,2471.7252342245,2507.9842657696,2544.1076977722,2581.2862114687,2618.3088364364,2655.5558389292,2693.8670363154,2731.2048409343,2768.6719448642,2805.0014964864,2840.0180689056,2875.6273452371,2910.7559487602,2945.211124864,2978.0576507284,3010.4980948157,3042.2751790773,3073.846167722,3104.5986443,3134.740485695,3163.4641541252,3192.4923291801,3219.9521822828,3244.8225491707,3271.4225682307,3296.8409557385,3320.825870756,3342.2014577301,3363.7696052881,3384.6206813525,3407.2145116619,3426.8073350043,3445.4523283752,3463.6953329463,3481.6633584067,3495.9828858987,3510.3970585515,3521.1916298612,3531.8723358798,3543.2910241663,3554.2721264028,3563.8413023115,3570.1875281367,3576.675957728,3582.3297837383,3586.0701332307,3588.1404928973,3588.8100799044,3587.6802401015,3585.955001373,3582.6002094267,3575.8831336116,3568.3052505155,3559.5362028672,3549.0959304074,3536.1999838563,3521.8603073923,3505.8602661581,3488.4358118423,3468.9653771844,3448.6430726542,3425.3760241956,3399.1167782676,3371.1359591324,3341.6562132118,3309.78534346,3275.8996967791,3238.6797455368,3199.6557161593,3158.7911065383,3115.2612296673,3070.5218477534,3021.9630567625,2970.9089875268,2917.2660290112,2860.7979270854,2801.3270159726,2740.3526642782,2675.7818366565,2608.7250516266,2538.6853171667,2465.5307808251,2389.0113946995,2308.9886823149,2226.4444644156,2140.8695762774,2051.651394754,1959.0784341233,1863.1687448167,1764.0087072628,1661.7560222333,1556.8504406665,1450.0331790241,1342.8114512386,1238.050001247,1135.280922798,970.5754767046,852.6007702691,731.4795158753,608.0714892856,483.3308052697,358.3800710722,234.5884198693,113.6774766885,0.0,0.0
6016,533.5181957848,555.33954154,575.6897782591,595.1317828146,614.2459742457,633.689709895,653.4725551323,673.5708249255,693.9292394238,714.576515521,735.4478131388,756.4977492861,777.7703911633,799.153844797,820.7311945321,842.3901681908,864.130116535,885.9123494222,907.7473097621,929.6549720857,951.5702873127,973.5263722326,995.4149438905,1017.3139773211,1039.2901549524,1061.1679087477,1083.0241765991,1105.0631754038,1127.091275021,1148.9985093837,1170.7834938118,1192.5219934294,1213.9312686249,1235.2971550548,1256.5436963456,1277.6567925943,1298.6211685885,1319.41839157,1339.9009207994,1360.1856635877,1380.1860611703,1400.1687557942,1420.0377752008,1439.1027814582,1458.3462971165,1477.6603791517,1496.6653712742,1515.333105688,1533.8261744388,1552.2409930922,1570.4720601945,1588.8614014354,1607.0693355106,1625.1494995186,1643.5055482291,1661.6918475022,1679.7553612109,1698.4988089062,1717.1253317446,1735.9878948268,1755.851072775,1775.7119784228,1796.4906380148,1817.518488828,1838.5368566197,1860.6447694726,1882.9827197278,1905.2480288336,1926.6321186957,1947.792079272,1968.542896167,1989.1851593027,2009.3295023944,2029.1257553086,2048.0556547742,2067.2567939209,2085.5321251949,2102.1854114325,2120.0194068169,2137.1506127531,2153.4201941544,2168.0457420548,2182.8498686153,2197.2335360005,2212.8265594388,2226.5401041219,2239.7090971395,2252.6928132026,2265.5953458037,2276.1939970493,2286.9400643312,2295.385204699,2303.8084667476,2312.7797579847,2321.5441619148,2329.4779194939,2335.3762629969,2341.4503609208,2347.0731145033,2351.5380358068,2355.002568976,2357.6463916682,2359.2001942447,2360.4627265871,2360.7609109836,2358.9271125436,2356.6073463604,2353.5831514977,2349.5363879058,2343.9324697601,2337.4382192547,2329.9053192588,2321.4960673998,2311.7890210714,2301.5953521528,2289.5135813431,2275.493047078,2260.3776264386,2244.3215271237,2226.7177230232,2207.8209892562,2186.7201578665,2164.4410378457,2140.9635022348,2115.713514987,2089.6946255581,2061.108388684,2030.8406425114,1998.8129010541,1964.8481000871,1928.7956441691,1891.6915747055,1852.0664908298,1810.6715371123,1767.1401089823,1721.3528676263,1673.1043294353,1622.2563757255,1569.4712034597,1514.361402391,1456.4496540151,1395.8943445581,1332.6619365435,1266.7684560572,1198.2827439382,1127.4793538335,1054.8429424637,981.3787517603,909.1245020489,837.6196352374,719.4140725257,634.6947515537,546.5463539912,455.5416011393,362.4392124683,268.3471681317,174.9565325139,84.7102823521,0.0,0.0
6120,411.7145783518,428.8268538726,444.2996026737,458.8201453056,473.1381419638,487.4616482867,501.8736626524,516.4045950691,531.0372864159,545.8102053756,560.683260197,575.6247801574,590.6695606452,605.7353364329,620.8880792297,636.0461955099,651.2135365771,666.3646141488,681.5108107008,696.6708315842,711.7990896004,726.9218153163,741.958856394,756.9667222256,771.9851541344,786.8643116107,801.6289775085,816.4614510838,831.3041536744,846.1603037138,861.0500401728,876.0025770619,890.7839027459,905.5836884347,920.3257534353,934.9783546569,949.5126382848,963.9042383753,978.0387489361,991.9984590846,1005.7182660188,1019.3936724085,1032.9553189555,1045.8962203003,1058.9335318565,1071.9915163025,1084.7942802078,1097.3201688577,1109.686314308,1121.9620233144,1134.0693456207,1146.2565054923,1158.2756552543,1170.1622589714,1182.2068897005,1194.0825976974,1205.815607498,1217.9821794603,1230.0010663264,1242.1186138358,1254.8852480597,1267.583116361,1280.8897870374,1294.3666044482,1307.9496950084,1322.599249261,1337.9054030175,1353.8724704549,1370.1474452654,1387.3382495515,1405.3127263295,1424.1813038366,1443.476782847,1463.0614815665,1482.2961495093,1501.769395216,1520.4591569822,1537.8217568928,1555.9028986866,1573.3408830967,1590.0261235509,1605.3971496899,1620.8108265989,1635.8462879717,1651.7178035121,1666.1331829092,1680.0937227882,1693.8762887092,1707.5519778126,1719.4527384667,1731.4127920759,1741.5835195875,1751.6957906604,1762.1886623295,1772.4907686338,1782.1182212932,1790.1550033078,1798.2942548236,1806.0545226574,1812.891336774,1818.9242966535,1824.2887305963,1828.7796375693,1833.0135728788,1836.4576422274,1838.2045439855,1839.5328225555,1840.2702881609,1840.1615729802,1838.7869019462,1836.6659599191,1833.6831747775,1829.9636611871,1825.1818280472,1819.9692612456,1813.2113150786,1804.8666195417,1795.6043703387,1785.5428319858,1774.1990122969,1761.7636087195,1747.5118388075,1732.2623839708,1715.9945364183,1698.2577925553,1679.8399587165,1659.296000608,1637.3319199105,1613.8775178563,1588.7822470366,1561.9334020408,1534.1526548817,1504.251888667,1472.8318691594,1439.5862889117,1404.4056642795,1367.1094730531,1327.5864271691,1286.3673519278,1243.1171879245,1197.4325695361,1149.4289759847,1099.065171752,1046.3418085234,991.3071246666,934.1806235922,875.3526280671,815.6181901224,756.4659567211,697.6193667037,599.4708973185,528.7879423852,454.8018584825,378.0095429884,299.1465318595,219.3882977812,140.6534912649,65.9399348066,0.0,0.0
9563,951.1703271796,986.7090637452,1022.4476732309,1057.6029554393,1092.0342633303,1126.0405298261,1161.3410713823,1197.4832474105,1234.1350340406,1271.2140624782,1308.5181857387,1345.919811277,1383.4887575227,1421.0189538287,1458.6621107572,1496.2586686993,1533.8693166507,1571.5127796826,1609.3754380903,1647.2954360913,1685.0335298994,1722.5865418227,1759.7362249949,1796.6070614149,1833.281569507,1869.3775318202,1904.9266423628,1940.3326250397,1975.4339713474,2010.1986679536,2044.7370025725,2079.262375926,2113.359688414,2147.6027843937,2181.9603433229,2216.5594815151,2251.546875612,2287.0310873029,2322.8633514238,2359.3321216718,2396.3735119865,2434.5257192657,2473.6822707088,2512.7342451095,2553.4436857398,2595.6615614167,2638.7836938367,2682.8115986501,2728.044643338,2774.6259205183,2822.3295691985,2871.6831865013,2921.9822832768,2973.2150802615,3025.9599310203,3079.2448723596,3133.0024727828,3188.5009952037,3244.1211411314,3300.3572801184,3358.3084495138,3415.7655431946,3474.2081094461,3532.1884754372,3589.297181195,3647.8154462462,3706.3039023695,3764.4417237582,3820.9938847899,3877.4502379643,3933.44899793,3989.5386709981,4044.895622312,4099.7492812691,4153.031568328,4206.9394837345,4258.9738381353,4307.7898630032,4359.0376831873,4408.8753488616,4456.9651253101,4501.7657288776,4547.0321449703,4591.566175191,4638.6243863672,4681.7840928294,4723.8209553583,4765.4535735912,4806.7889280509,4843.2070625242,4879.8103000424,4911.5079452399,4943.1820636474,4975.9977045384,5008.2719757946,5038.5851994651,5064.4114194263,5090.4578029393,5115.2898406934,5137.339252363,5156.9183800948,5174.372496738,5189.110601999,5202.8014127243,5213.8826569487,5219.8584486782,5224.3291973194,5226.7715349287,5226.4378225554,5222.1711376871,5215.4295686979,5205.8651024301,5193.7769271468,5178.2137909617,5160.8351874382,5138.4680846116,5111.0309710399,5080.3835077077,5046.7784962364,5008.8191205843,4966.9831641116,4919.2822997195,4867.9816076868,4812.9470555232,4752.8982282801,4689.8858487752,4619.9305402663,4545.0055909767,4464.9268071241,4379.3186700855,4287.9472365359,4192.9903828127,4091.289810716,3984.5157554425,3871.9139507388,3753.3122118061,3628.4116546339,3497.1522517039,3361.0798625972,3219.5053204872,3071.6879070488,2918.2612140364,2759.4867238922,2595.758655772,2427.6029032876,2255.9483770123,2082.1051509831,1908.3470518666,1738.7430286889,1573.6401271362,1325.8720796255,1146.029157958,965.7751020656,787.1482267858,612.3526075197,443.8304250288,284.2402039085,135.7857598348,0.0,0.0
9581,281.8281355834,293.8500070559,304.353976584,314.0547280666,323.4575142836,332.6927764453,341.8586228734,350.9999749021,360.1157382118,369.2367195854,378.338675466,387.4029955264,396.4550803074,405.4405200697,414.4047824784,423.2934321617,432.1102692646,440.8391867676,449.4886730499,458.0727457959,466.5631689295,474.9806522497,483.2741741519,491.4810449501,499.6291153016,507.6208265461,515.4651794679,523.2735632347,530.9951350299,538.6142649182,546.1610837822,553.7052237383,561.1430235248,568.6277723917,576.1083596059,583.5303537251,590.845331801,598.0229327546,604.9829470457,611.7738115302,618.3481626351,624.8243340481,631.1675466015,637.0486919054,642.9012855416,648.6802455556,654.2149785273,659.4855039528,664.5555801645,669.463106595,674.149651819,678.763723878,683.1521110422,687.3227416897,691.4494812691,695.3340517797,698.969485563,702.6989594043,706.1717909742,709.5063974729,713.029379556,716.3044191505,719.7197998,723.01981727,726.1292836202,729.5811447154,733.1350353761,736.7910714345,740.3290931661,744.0888483759,748.0370941154,752.3362915748,756.8757949934,761.7597603384,766.8134450767,772.5229777497,778.4857136508,784.4629343337,791.582635189,799.1947445189,807.293250736,815.6128765137,824.8941319274,834.9624626226,846.5008250154,858.2267703038,870.4963953357,883.2840150684,896.4523264863,908.9064894851,921.3849383317,932.7841566608,944.0208981038,955.3448218015,966.461898439,977.1244810693,986.8208451826,996.4792964141,1005.8404987291,1014.6017257812,1022.826268927,1030.5900846002,1037.7685424863,1044.7120503486,1051.1301313392,1056.4910299218,1061.5227726508,1066.1273815898,1070.1618835465,1073.3745459735,1076.0640149794,1078.1562248021,1079.7232701149,1080.5581044425,1081.0439247606,1080.5221472553,1078.9539256207,1076.7281796974,1073.9174408465,1070.2250622562,1065.7751436558,1060.1131710306,1053.7253775041,1046.6001832996,1038.4405858126,1029.7486827833,1019.6272457635,1008.5043695181,996.3359586613,983.0271430605,968.4808284629,953.2234125357,936.5005848615,918.6852929895,899.5859916675,879.1374560766,857.2285157431,833.7683954747,809.0918162007,783.0005272095,755.2397199797,725.8847942563,694.9117396134,662.3216364104,628.1401707099,592.5003526393,555.649701307,518.145184539,481.2275440573,444.5684357655,382.974858034,339.0821591533,293.3225011837,246.0102024715,197.5134646651,148.2894600425,98.8924008842,49.7105503711,0.0,0.0
9877,903.2808267578,937.4153792782,972.0537012219,1006.5346877986,1040.7118645628,1074.7382278658,1110.1871526805,1146.7182266643,1183.9921545183,1221.9142183493,1260.283364398,1298.9653829727,1338.0022529945,1377.1735088297,1416.6003393794,1456.0820748686,1495.6379600477,1535.2742061569,1575.1115467233,1614.9567573054,1654.5583140054,1693.886270748,1732.693375599,1771.065291347,1809.0539694453,1846.2664864507,1882.7121138963,1918.7288056202,1954.0603036881,1988.5790082953,2022.3189077927,2055.4240687119,2087.4294350746,2118.8600408772,2149.6656956099,2179.9627369886,2209.8744552096,2239.4665819481,2268.542315647,2297.327468906,2325.7051373856,2354.1407943126,2382.4757492375,2409.6029234687,2437.1806205759,2465.0167030358,2492.4709855396,2519.489454225,2546.3147699272,2573.0023588828,2599.4207908922,2626.3547486026,2653.4670834664,2681.0273535004,2709.9554238701,2739.5352690061,2769.3964474138,2800.3570012172,2830.7919397205,2861.029948575,2892.0612379677,2922.0491002183,2952.316876734,2981.6643451272,3009.7837245555,3038.6393345094,3067.0590050108,3094.8248661943,3120.9615631078,3146.7395468241,3171.8982712088,3196.9199358521,3221.1749162164,3244.8895465674,3267.2457632574,3290.0191746314,3311.2897382338,3330.0027307352,3350.5439812922,3369.9226096887,3387.8933350443,3403.2911195049,3418.9846887905,3434.0556579793,3450.9626614473,3464.9122216627,3477.9916050206,3490.7366533351,3503.2483968919,3512.1518081007,3521.1967626942,3526.7020984073,3532.2006550554,3538.5276850537,3544.4852623783,3549.0927390832,3550.5823238116,3552.2911031427,3553.2308651487,3552.3316619407,3549.8363145657,3546.011827516,3540.4710623977,3534.3795879313,3526.7040304332,3515.7712285098,3504.0424579788,3491.1839493576,3476.7219345303,3459.9066687543,3441.736151023,3422.0033852689,3400.9394405183,3377.9412499967,3354.1373494321,3327.4953690926,3297.9958513547,3266.8757809779,3234.3370273063,3199.5116875102,3162.7535960865,3122.8195830286,3081.1876666444,3037.8166571945,2991.9170000564,2944.8417378327,2894.1070305424,2840.9830462731,2785.3800337239,2727.0886836751,2665.9622631306,2603.3955002618,2537.4198173664,2469.0811052863,2397.9060028614,2323.7732102371,2246.4729674468,2165.9166959008,2083.0227408823,1997.3158598685,1908.2586730779,1816.1567043582,1721.071702255,1623.1373327293,1522.5586017834,1419.7871125153,1315.5029873721,1210.9549297059,1108.671678293,1008.5624122105,854.3498208177,742.5232897937,629.1186883164,515.3428463019,402.6259137898,292.7384394544,187.9234331472,90.8031524931,0.0,0.0
