,2023,2026,2029,2032,2035,2038,2041,2044,2047,2050,2053,2056,2059,2062,2065,2068,2071,2074,2077,2080,2083,2086,2089,2092,2095,2098,2101,2104,2107,2110,2113,2116,2119,2122,2125,2128,2131,2134,2137,2140,2143,2146,2149,2152,2155,2158,2161,2164,2167,2170,2173,2176,2179,2182,2185,2188,2191,2194,2197,2200,2203,2206,2209,2212,2215,2218,2221,2224,2227,2230,2233,2236,2239,2242,2245,2248,2251,2254,2257,2260,2263,2266,2269,2272,2275,2278,2281,2284,2287,2290,2293,2296,2299,2302,2305,2308,2311,2314,2317,2320,2323,2326,2329,2332,2335,2338,2341,2344,2347,2350,2353,2356,2359,2362,2365,2368,2371,2374,2377,2380,2383,2386,2389,2392,2395,2398,2401,2404,2407,2410,2413,2416,2419,2422,2425,2428,2431,2434,2437,2440,2443,2446,2449,2452,2455,2458,2461,2464,2467,2470,2473,2476,2479,2482,2485,2488,2491,2494,2497,2500
2786,1.257354898,1.2810768625,1.3206343594,1.373518323,1.4260216256,1.463638668,1.4940901664,1.5217313596,1.5445901929,1.5642293172,1.5829806402,1.600304549,1.6146183611,1.6275292132,1.6392332863,1.6489540685,1.6567925632,1.6627338885,1.6677346451,1.6715663012,1.6735944062,1.6733327763,1.6704785173,1.665603959,1.6586671621,1.6492963439,1.6373809049,1.6227866262,1.6029616592,1.5779905204,1.5503687889,1.5220150239,1.4934465782,1.4649099392,1.4367437453,1.4095296182,1.3840167572,1.3604315619,1.3382458045,1.3167295555,1.2953539803,1.2738020496,1.2519222163,1.2296295813,1.2069212577,1.1838924184,1.160520248,1.1368408917,1.1129233632,1.0888160587,1.0645461239,1.0401394997,1.0156338833,0.9910411205,0.9664158149,0.9417900029,0.9171699133,0.8926118303,0.8681415165,0.8437364598,0.8194678983,0.7953446678,0.771346942,0.7475585419,0.723965986,0.7006336155,0.6775962026,0.6548046861,0.6323137977,0.6101662647,0.5897527131,0.5751945876,0.5675760969,0.5675954387,0.5754668086,0.5840745558,0.5920723768,0.5990902448,0.6041540807,0.6076450368,0.6103022593,0.6124526701,0.6142778502,0.6158831146,0.6173319541,0.6186640919,0.6199052528,0.6210726342,0.6221780801,0.6232299851,0.6242344726,0.6251961433,0.6261185591,0.6270045634,0.6278564941,0.6286763276,0.6294657765,0.6302263569,0.630959435,0.6316662591,0.6323479825,0.6330056797,0.6336403586,0.6342529686,0.6348444074,0.6354155263,0.6359671339,0.6364999997,0.6370148565,0.6375124031,0.6379933063,0.6384582025,0.6389077,0.6393423798,0.6397627975,0.6401694845,0.6405629491,0.640943678,0.641312137,0.6416687722,0.642014011,0.642348263,0.6426719207,0.6429853606,0.6432889436,0.643583016,0.6438679104,0.6441439455,0.6444114278,0.6446706515,0.644921899,0.6451654419,0.6454015412,0.6456304479,0.645852403,0.6460676387,0.6462763783,0.6464788364,0.6466752199,0.6468657277,0.6470505516,0.6472298761,0.647403879,0.6475727316,0.6477365991,0.6478956405,0.6480500092,0.6481998533,0.6483453154,0.648486533,0.648623639,0.6487567616,0.6488860243,0.6490115465,0.6491334436,0.6492518266,0.6493668032,0.6494784771,0.6495869486,0.6496923146
2901,1.2152304209,1.3078568703,1.3437790572,1.3783506067,1.4038677556,1.4236985834,1.4418357002,1.4587937856,1.4729715694,1.485547521,1.4979145802,1.510008897,1.5213981667,1.5323507742,1.542659867,1.5516035801,1.5591092996,1.5650629822,1.5692748657,1.5716160086,1.5719924065,1.5705322622,1.5676091741,1.5631937375,1.5570963819,1.5490468801,1.538893592,1.526496184,1.5113229163,1.4933358999,1.4726431516,1.4492235564,1.4230902185,1.3944046367,1.363750812,1.3323004486,1.3015483681,1.2719765647,1.2426355885,1.2130094682,1.1839510247,1.1554059432,1.1272887723,1.0995119932,1.0720482613,1.0449620452,1.0181764909,0.9916821498,0.9655058539,0.9396500653,0.9140949384,0.8888224369,0.8638302222,0.8390891254,0.814620244,0.7904199669,0.7664588695,0.7427665407,0.7193389985,0.6961226331,0.6731725464,0.6504733309,0.6279825586,0.6057759181,0.5838195492,0.5621704808,0.5408520869,0.5197992936,0.4990675026,0.4786956617,0.4587409521,0.4391728383,0.4200043286,0.4012320752,0.3828936061,0.3650038549,0.3476040658,0.3306566505,0.3139437405,0.297648432,0.281956208,0.2684575224,0.2570578887,0.2475563175,0.2395729102,0.2328817421,0.2271674569,0.2224141745,0.2184930186,0.215297776,0.2127252285,0.2108314189,0.2095161295,0.2088821265,0.2089368239,0.2097131919,0.2113096888,0.2138816473,0.2177224734,0.2231517998,0.2302301407,0.2370396195,0.2433560166,0.2491694696,0.254541539,0.2595427941,0.2642335602,0.2686606239,0.2728589824,0.2768546279,0.2806670614,0.2843112319,0.2877989326,0.2911397702,0.2943418264,0.2974121032,0.3003568226,0.3031816274,0.3058917164,0.3084919364,0.310986845,0.3133807541,0.3156777614,0.3178817728,0.3199965191,0.3220255696,0.3239723423,0.3258401132,0.3276320233,0.3293510856,0.331000191,0.3325821139,0.334099517,0.3355549565,0.3369508863,0.3382896624,0.3395735466,0.3408047111,0.3419852413,0.3431171401,0.3442023306,0.3452426599,0.3462399016,0.3471957594,0.3481118692,0.3489898026,0.3498310688,0.3506371174,0.3514093408,0.3521490766,0.3528576093,0.3535361731,0.3541859534,0.3548080889,0.3554036734,0.3559737578,0.3565193514,0.3570414241,0.3575409074,0.3580186963
5004,1.2901163614,1.3195399502,1.3649807571,1.4222471593,1.4748887544,1.5130456759,1.5478395157,1.5811632244,1.6087087635,1.6322605298,1.6544327849,1.6745244118,1.6912308264,1.7062911314,1.7196970419,1.7303878377,1.73881173,1.745063914,1.7497203138,1.7525404296,1.7531458859,1.7512797985,1.7468683065,1.7405511762,1.7322456232,1.7218629605,1.7091498557,1.6939434573,1.6733250959,1.6479272797,1.6190079766,1.58667355,1.5509840336,1.5140168828,1.476998926,1.440713541,1.4060753502,1.3733923805,1.3421993942,1.3119234791,1.2822402103,1.2529878736,1.2240995566,1.195511332,1.1672071639,1.1392365406,1.1115053636,1.0840082171,1.0567738632,1.0298030226,1.0030780674,0.9765877119,0.9503373632,0.9243039148,0.8985177405,0.8729796168,0.8476669255,0.8226199242,0.797839389,0.7732779918,0.7490037527,0.7250042195,0.7012467234,0.6778206516,0.6546938544,0.6319352255,0.6095726325,0.587548898,0.5659363161,0.5447784371,0.5241365792,0.5049013318,0.4883838672,0.474429606,0.4629410793,0.4538208247,0.4470839887,0.4426868506,0.4397597975,0.4389659111,0.4410348297,0.4464721855,0.4525249921,0.4583809517,0.4640513136,0.4695481765,0.4748776242,0.4800430338,0.4850465231,0.4898897422,0.4945743276,0.4991021454,0.5034754017,0.5076966714,0.5117688808,0.5156952647,0.5194793138,0.5231247192,0.5266353194,0.5300150521,0.5332679126,0.5363979181,0.5394090773,0.5423053667,0.545090711,0.5477689672,0.5503439131,0.552819238,0.5551985365,0.5574853039,0.5596829331,0.5617947129,0.5638238279,0.5657733586,0.5676462822,0.5694454742,0.5711737103,0.5728336685,0.5744279315,0.575958989,0.5774292408,0.5788409989,0.5801964909,0.5814978619,0.582747178,0.5839464283,0.585097528,0.5862023209,0.5872625816,0.5882800183,0.589256275,0.590192934,0.5910915179,0.5919534919,0.592780266,0.593573197,0.5943335901,0.5950627014,0.5957617395,0.5964318669,0.5970742023,0.5976898218,0.5982797609,0.5988450155,0.5993865438,0.5999052675,0.6004020734,0.6008778144,0.6013333111,0.6017693526,0.6021866982,0.602586078,0.6029681946,0.6033337235,0.6036833145,0.6040175927,0.6043371591,0.6046425919,0.6049344473,0.6052132599
5038,1.3104841216,1.371453577,1.4257774891,1.4858559843,1.5408056148,1.5862146946,1.6250768032,1.6600757149,1.6895223341,1.7147149481,1.7372321433,1.7571917031,1.7743980383,1.7895924462,1.8027987385,1.8133181749,1.8213832327,1.826996487,1.8300722337,1.8304884043,1.8281196692,1.8228804234,1.81484385,1.8041545165,1.7907579228,1.7748151508,1.7559770652,1.734018606,1.7078691872,1.6793734653,1.6493009072,1.6179842248,1.5856913621,1.5526855167,1.5193603836,1.4863143084,1.4542889618,1.423626027,1.3940960958,1.3653004829,1.3369253061,1.3087361199,1.2805732194,1.2523040246,1.2238582814,1.195248413,1.1664018001,1.1373144034,1.1080142615,1.0785208784,1.0488468439,1.0190105989,0.9890432627,0.9589568313,0.9288009605,0.8986062593,0.86838598,0.8381954781,0.8080629279,0.7779800433,0.7480152479,0.7181809257,0.6884715702,0.6589652365,0.6296557326,0.6006070207,0.5738984038,0.5516120006,0.5346335608,0.5237941129,0.5199103132,0.5194198439,0.5204917287,0.5225412953,0.5251273918,0.527962392,0.5308652296,0.5337258766,0.5361813983,0.5383159542,0.5402808137,0.5421067995,0.5438165986,0.5454274076,0.5469523638,0.5484015877,0.5497829568,0.5511026798,0.5523657224,0.5535761212,0.5547372172,0.555851827,0.5569223703,0.5579509637,0.5589394899,0.5598896493,0.560802998,0.5616809758,0.5625249277,0.5633361193,0.564115749,0.5648649566,0.5655848305,0.5662764129,0.5669407039,0.5675786647,0.5681912206,0.5687792632,0.5693436518,0.5698852155,0.5704047543,0.5709030405,0.5713808199,0.5718388123,0.5722777135,0.572698195,0.5731009057,0.5734864724,0.5738555006,0.5742085752,0.5745462613,0.5748691048,0.5751776329,0.5754723552,0.5757537638,0.5760223342,0.5762785257,0.5765227821,0.5767555321,0.5769771899,0.5771881555,0.5773888155,0.5775795432,0.5777606995,0.5779326327,0.5780956796,0.5782501654,0.5783964043,0.5785346997,0.578665345,0.5787886233,0.5789048082,0.5790141641,0.5791169463,0.5792134014,0.5793037677,0.5793882753,0.5794671464,0.5795405958,0.5796088308,0.5796720517,0.579730452,0.5797842186,0.5798335317,0.5798785658,0.5799194891,0.579956464,0.5799896475,0.5800191912,0.5800452412
5346,1.2878684274,1.3380126588,1.392238915,1.463204992,1.5311150832,1.5796624529,1.6153936069,1.6483355382,1.6755249617,1.6988483111,1.7206550922,1.7398877008,1.754808129,1.7676539258,1.7784474549,1.7861693791,1.7911959485,1.7935806612,1.7947352097,1.7941860817,1.7911089075,1.7850561505,1.7757618752,1.7639066247,1.7493547311,1.7344989438,1.7195758616,1.7045458023,1.6863059105,1.6656195131,1.6439193978,1.6213656796,1.5980186954,1.5740055244,1.5496800955,1.5256724707,1.5027572971,1.4811076293,1.4601790221,1.4393704001,1.4183507971,1.3969685451,1.3751848233,1.3529775527,1.3303823208,1.3075030775,1.2842993577,1.2608161658,1.2371259502,1.2132703548,1.1892704748,1.1651506897,1.1409488829,1.1166720503,1.0923778797,1.0680914382,1.0438123671,1.0196001234,0.9954717426,0.9713957321,0.9495696989,0.9369066871,0.9346457042,0.940668215,0.9464000112,0.95181596,0.9570215237,0.9620819861,0.9670359323,0.9719071936,0.9767115596,0.9814604157,0.9861627123,0.990826029,0.9954571459,1.0000623449,1.0046475659,1.0092184855,1.0122691929,1.0143141736,1.0161383199,1.0178440252,1.0194598239,1.0210015381,1.0224797906,1.0239020196,1.0252735642,1.02659837,1.0278794594,1.0291192433,1.0303197266,1.0314826431,1.0326095419,1.0337018429,1.0347608718,1.0357878816,1.0367840657,1.0377505661,1.0386884779,1.0395988523,1.0404826985,1.041340985,1.0421746409,1.0429845564,1.0437715847,1.0445365426,1.0452802116,1.04600334,1.0467066432,1.0473908057,1.0480564824,1.0487042998,1.0493348572,1.0499487283,1.0505464625,1.0511285855,1.0516956014,1.0522479929,1.0527862229,1.0533107354,1.0538219564,1.0543202947,1.054806143,1.0552798785,1.0557418637,1.0561924472,1.0566319642,1.0570607373,1.0574790773,1.057887283,1.0582856427,1.0586744342,1.0590539251,1.0594243737,1.0597860291,1.0601391319,1.0604839142,1.0608206003,1.0611494068,1.061470543,1.0617842115,1.0620906079,1.0623899217,1.0626823359,1.062968028,1.0632471696,1.063519927,1.0637864612,1.0640469283,1.0643014796,1.0645502616,1.0647934165,1.0650310821,1.0652633923,1.0654904769,1.0657124617,1.0659294692,1.066141618,1.0663490235,1.0665517976
6016,1.3508772371,1.4386886974,1.4982441845,1.5634076767,1.6199379134,1.6619453495,1.6940633534,1.7229862682,1.7454913009,1.7638172048,1.7805177852,1.795232075,1.8071510851,1.8175821119,1.826391299,1.8324304128,1.8360732215,1.8373297441,1.8361156434,1.8322603528,1.8256018963,1.8160473389,1.8037618105,1.7890934063,1.7719100496,1.7521100775,1.7293831108,1.7035301413,1.6741498158,1.6431785469,1.611620068,1.5796594876,1.5474164604,1.5150552229,1.4829724264,1.4518671386,1.4226007448,1.3953495319,1.3694571893,1.3441693059,1.3190093794,1.2936981636,1.2680977615,1.2421112699,1.2157297584,1.1890433711,1.1619916581,1.1346183837,1.1070028822,1.0791948862,1.0512243622,1.0231260018,0.99494989,0.9667120248,0.9384853926,0.9103068506,0.8821855072,0.8541965964,0.8263679174,0.798674219,0.771212802,0.7439863204,0.7169736949,0.690285259,0.6682301854,0.6516200549,0.6409058975,0.6365156837,0.6391944073,0.6456885529,0.6518220505,0.6574620815,0.6625475388,0.6670923371,0.6711474107,0.6747751644,0.6780366329,0.6809859667,0.6832665692,0.6851478704,0.6869095746,0.6885939975,0.6902170725,0.6917850596,0.6932994259,0.6947594705,0.6961637791,0.6975109855,0.6988001255,0.700030762,0.701202987,0.7023173651,0.7033748525,0.7043767138,0.7053244443,0.7062197028,0.707064256,0.7078599346,0.7086085981,0.7093121084,0.7099723102,0.7105910162,0.7111699972,0.7117109748,0.7122156169,0.7126855351,0.713122283,0.7135273565,0.7139021934,0.714248175,0.7145666269,0.7148588208,0.715125976,0.7153692614,0.715589797,0.7157886558,0.7159668658,0.7161254115,0.716265236,0.7163872422,0.7164922947,0.7165812214,0.7166548151,0.7167138345,0.7167590062,0.7167910256,0.7168105584,0.7168182418,0.7168146857,0.7168004737,0.7167761643,0.7167422922,0.7166993685,0.7166478828,0.7165883031,0.7165210773,0.7164466337,0.7163653819,0.7162777138,0.716184004,0.7160846108,0.7159798766,0.7158701287,0.7157556801,0.7156368296,0.715513863,0.7153870533,0.7152566611,0.7151229353,0.7149861138,0.7148464235,0.7147040811,0.7145592933,0.7144122574,0.7142631616,0.7141121852,0.7139594996,0.7138052676,0.7136496449,0.7134927794
6120,1.3071404425,1.3772976224,1.4269224966,1.4841544362,1.5346432999,1.5706701315,1.6008779406,1.6279986169,1.6496827156,1.6676035357,1.6838640375,1.6987020062,1.7119799878,1.7241141139,1.7348750247,1.7428388661,1.7485111303,1.7519996455,1.7534053452,1.7525634409,1.7492691697,1.743664224,1.7361727212,1.7266647719,1.7151034673,1.7021828428,1.6871335089,1.6695554225,1.6473434983,1.6206881324,1.5903272357,1.557836091,1.5248187312,1.4916548941,1.4588182631,1.426998061,1.3970053481,1.3690568072,1.3426072587,1.3169621979,1.2916412497,1.2663454263,1.2409169403,1.2152503181,1.1893223125,1.1632029028,1.1368392712,1.1102628863,1.0835399692,1.0567137007,1.0298086674,1.0028516389,0.9758822829,0.9489110569,0.9219963044,0.8951676216,0.8684288217,0.8418397604,0.8154220435,0.7891466687,0.7630903583,0.7372540616,0.7116136561,0.6862589748,0.6611646542,0.6363977451,0.611986472,0.5878716611,0.5641137555,0.5407494603,0.5178336721,0.4971352148,0.4811019654,0.47003861,0.4642545901,0.4641417391,0.4703538139,0.4779615475,0.4850719803,0.4915331008,0.4974320928,0.5028061529,0.5077116933,0.5122111224,0.5163629248,0.5202176277,0.5238170054,0.5271947691,0.5303778046,0.5333874918,0.5362409009,0.5389517916,0.5415314096,0.5439891019,0.5463327812,0.5485692729,0.5507045695,0.5527440181,0.5546924564,0.5565543127,0.5583336785,0.5600343627,0.561659932,0.5632137408,0.5646989552,0.5661185713,0.5674754298,0.5687722291,0.5700115346,0.5711957885,0.5723273172,0.5734083382,0.5744409667,0.5754272212,0.5763690288,0.5772682301,0.5781265836,0.5789457703,0.5797273973,0.5804730015,0.5811840535,0.5818619605,0.5825080696,0.5831236705,0.5837099986,0.5842682371,0.58479952,0.5853049339,0.5857855206,0.5862422789,0.5866761667,0.5870881029,0.5874789689,0.5878496106,0.5882008397,0.5885334355,0.588848146,0.5891456895,0.5894267556,0.589692007,0.5899420799,0.5901775858,0.5903991119,0.5906072229,0.590802461,0.5909853478,0.5911563844,0.5913160524,0.5914648152,0.5916031181,0.5917313892,0.5918500403,0.5919594676,0.5920600518,0.5921521593,0.5922361424,0.59231234,0.5923810783,0.5924426708,0.5924974193
9563,1.533193945,1.5730486347,1.6841765199,1.8191242219,1.9522620433,2.057097662,2.1454387569,2.219050099,2.2812259005,2.3341768593,2.3805956453,2.4192641266,2.4484623435,2.4706131842,2.4854842833,2.4903398359,2.4869015636,2.4756471314,2.4583357619,2.4345144138,2.4062211174,2.3740358221,2.3384918781,2.3003606714,2.2602445188,2.2203545877,2.1795197476,2.1375620583,2.0890663313,2.035557542,1.9796610052,1.9217901776,1.8622275884,1.8013555262,1.7398807932,1.6789202816,1.619827112,1.5631330033,1.5083209648,1.4547111066,1.4019239118,1.3497654991,1.2981484538,1.2469792044,1.1962272763,1.1459448413,1.0960010292,1.0475510034,1.0021630284,0.9599749143,0.9210383485,0.8853755977,0.8530126139,0.8239017574,0.7980828061,0.7756154207,0.7565718741,0.7411969121,0.7298636971,0.7230331346,0.7214424795,0.7225135086,0.7246373789,0.7277263586,0.7316697615,0.7363596961,0.7417005682,0.7476082987,0.7540086682,0.7608359431,0.7680317858,0.7755443685,0.7833276326,0.7913406564,0.7995471065,0.8079147559,0.816415057,0.8250227617,0.8321300659,0.8382295779,0.8440625533,0.8496874297,0.8551171465,0.8603616379,0.8654301908,0.8703315516,0.8750739298,0.879665008,0.8841119626,0.8884214904,0.8925998378,0.8966528322,0.9005859132,0.9044041623,0.9081123319,0.911714872,0.9152159555,0.9186195009,0.9219291936,0.9251485052,0.9282807111,0.9313289063,0.9342960201,0.9371848289,0.9399979686,0.9427379449,0.9454071433,0.948007838,0.9505421997,0.9530123031,0.9554201334,0.9577675921,0.9600565031,0.9622886169,0.9644656156,0.9665891168,0.9686606777,0.9706817982,0.9726539243,0.9745784509,0.9764567245,0.9782900458,0.9800796716,0.9818268175,0.9835326592,0.9851983349,0.9868249464,0.9884135612,0.9899652137,0.9914809064,0.9929616115,0.994408272,0.9958218025,0.997203091,0.9985529989,0.9998723628,1.001161995,1.0024226845,1.0036551974,1.0048602784,1.0060386507,1.0071910174,1.0083180615,1.0094204473,1.0104988203,1.011553808,1.0125860208,1.0135960519,1.0145844785,1.0155518616,1.016498747,1.0174256656,1.0183331338,1.0192216537,1.0200917141,1.0209437903,1.0217783447,1.0225958273,1.0233966759,1.0241813164
9581,1.2257976538,1.2804649924,1.3199087931,1.3670659788,1.4063373014,1.4360198261,1.46316137,1.4885606395,1.5097589247,1.5285348808,1.5465984665,1.5632703314,1.5776724885,1.5911125023,1.6034187196,1.6135335397,1.6219256891,1.6286394757,1.6338906118,1.6374689221,1.639149525,1.6389054448,1.6369416689,1.6335578292,1.6286445396,1.6223484217,1.6142519173,1.6041549257,1.590089044,1.572588196,1.5524182445,1.5295265172,1.5038798798,1.4755840688,1.4451438375,1.4141213861,1.3847489608,1.3570273691,1.3303792687,1.3042322005,1.2782791106,1.2523685956,1.2264452276,1.200463467,1.1744349363,1.1484402074,1.1224161086,1.0963908142,1.0704169778,1.0445174345,1.0186985046,0.9929724797,0.9673657656,0.9418750021,0.9165483823,0.8914002561,0.866422358,0.8416667303,0.8171408948,0.7928076497,0.7687416448,0.7449281615,0.7213352312,0.6980508253,0.6750330069,0.6523452164,0.6300024832,0.6079352364,0.586208229,0.5648490139,0.5439034435,0.52332661,0.5031321186,0.483310402,0.4638943066,0.4448865666,0.4263199881,0.4081433756,0.389835702,0.3717434728,0.3540601197,0.3368956557,0.3202483352,0.3041265257,0.2884176432,0.2731295404,0.2609984639,0.2523076907,0.2468386685,0.2445740277,0.2456238545,0.250408517,0.2568330462,0.2627524312,0.2683355551,0.2736425752,0.2787055194,0.2835467852,0.2881834467,0.2926292238,0.2968956289,0.3009926638,0.3049292521,0.30871351,0.3123529192,0.3158544397,0.3192245849,0.3224694751,0.3255948754,0.3286062257,0.3315086649,0.334307051,0.3370059791,0.3396097982,0.3421226255,0.3445483608,0.3468906992,0.3491531435,0.3513390157,0.3534514677,0.3554934914,0.3574679285,0.3593774789,0.3612247097,0.3630120625,0.3647418609,0.3664163176,0.3680375402,0.3696075379,0.3711282266,0.3726014344,0.3740289063,0.3754123091,0.3767532351,0.3780532068,0.3793136804,0.3805360489,0.3817216462,0.3828717495,0.3839875826,0.3850703184,0.3861210818,0.3871409516,0.3881309633,0.3890921109,0.3900253489,0.3909315944,0.3918117288,0.3926665993,0.3934970208,0.3943037773,0.3950876231,0.3958492842,0.3965894601,0.3973088242,0.3980080253,0.398687689,0.399348418,0.3999907938,0.400615377
9877,1.4227422003,1.4905619829,1.5797728735,1.6790587132,1.7724395131,1.8478428028,1.9099330159,1.9583732579,1.9973539311,2.0290852666,2.0557741449,2.0768868494,2.0915663405,2.1015020691,2.1066754393,2.1062596138,2.1005936454,2.0896686129,2.0739546003,2.0535301592,2.0305086085,2.0051206304,1.9777552168,1.9490307605,1.9191141724,1.8882649626,1.8564115733,1.823589852,1.788325158,1.7510815702,1.7125551718,1.6728529857,1.6321031497,1.5905357106,1.5486788667,1.5074336197,1.4679166576,1.4305050903,1.394644945,1.3596411743,1.3250572893,1.2906213703,1.2561734598,1.2215691082,1.1867440625,1.1517365629,1.1164209111,1.080792769,1.0448910513,1.0087299123,0.9723113494,0.9356509072,0.9033254214,0.8770191029,0.8576399288,0.8461727121,0.8436340246,0.8436737517,0.8442227455,0.8450462845,0.8459056978,0.8466600892,0.8472395505,0.8476184599,0.8477974078,0.8477914742,0.8476227937,0.8473159705,0.846895368,0.8463836124,0.8458008675,0.8451645857,0.8444895414,0.8437880185,0.8430700745,0.8423438295,0.8416157513,0.8408909214,0.8396530947,0.8381407114,0.8366271979,0.835135795,0.8336780886,0.83226015,0.8308845794,0.8295518182,0.8282610166,0.8270106,0.8257986334,0.8246230491,0.8234817852,0.8223728649,0.8212944376,0.8202447967,0.819222382,0.8182257749,0.8172536879,0.816304953,0.8153785089,0.8144733893,0.8135887117,0.8127236673,0.8118775121,0.811049559,0.8102391714,0.8094457571,0.8086687632,0.8079076722,0.8071619981,0.8064312832,0.8057150953,0.8050130255,0.8043246862,0.8036497089,0.8029877433,0.8023384551,0.8017015256,0.8010766498,0.8004635362,0.7998619053,0.799271489,0.79869203,0.798123281,0.7975650041,0.7970169705,0.7964789594,0.7959507581,0.7954321614,0.794922971,0.7944229954,0.7939320492,0.7934499533,0.792976534,0.7925116231,0.7920550576,0.7916066792,0.7911663344,0.7907338741,0.7903091533,0.789892031,0.7894823703,0.7890800376,0.788684903,0.78829684,0.7879157251,0.7875414381,0.7871738615,0.7868128808,0.7864583841,0.7861102621,0.7857684081,0.7854327178,0.7851030889,0.7847794218,0.7844616187,0.7841495839,0.7838432238,0.7835424467,0.7832471627,0.7829572837
