,2023,2026,2029,2032,2035,2038,2041,2044,2047,2050,2053,2056,2059,2062,2065,2068,2071,2074,2077,2080,2083,2086,2089,2092,2095,2098,2101,2104,2107,2110,2113,2116,2119,2122,2125,2128,2131,2134,2137,2140,2143,2146,2149,2152,2155,2158,2161,2164,2167,2170,2173,2176,2179,2182,2185,2188,2191,2194,2197,2200,2203,2206,2209,2212,2215,2218,2221,2224,2227,2230,2233,2236,2239,2242,2245,2248,2251,2254,2257,2260,2263,2266,2269,2272,2275,2278,2281,2284,2287,2290,2293,2296,2299,2302,2305,2308,2311,2314,2317,2320,2323,2326,2329,2332,2335,2338,2341,2344,2347,2350,2353,2356,2359,2362,2365,2368,2371,2374,2377,2380,2383,2386,2389,2392,2395,2398,2401,2404,2407,2410,2413,2416,2419,2422,2425,2428,2431,2434,2437,2440,2443,2446,2449,2452,2455,2458,2461,2464,2467,2470,2473,2476,2479,2482,2485,2488,2491,2494,2497,2500
2786,1.2563240202,1.2800392448,1.3158059956,1.362331689,1.4136464202,1.4681116284,1.5236329935,1.5791881055,1.6350214624,1.6907463114,1.7458348191,1.7989814257,1.8484296759,1.8956416951,1.9411235272,1.9856240658,2.0291516942,2.0715548031,2.1129068913,2.152871407,2.1910717726,2.2271035359,2.2606483195,2.2921000243,2.3208640881,2.3429802834,2.3599625469,2.3725591777,2.3770298444,2.3734464683,2.3632986317,2.3469407615,2.3244051754,2.2987570651,2.2723899654,2.2464301421,2.2217747913,2.1987485253,2.1769687183,2.1558402953,2.1349221235,2.1139477641,2.0927848618,2.0713520024,2.0496323695,2.0277164418,2.0055817465,1.9832414542,1.9607322122,1.9380735266,1.9152683114,1.8923198133,1.8692424706,1.8460312226,1.8227166438,1.7993129315,1.775814375,1.7522570347,1.7286539141,1.7049775698,1.6812772925,1.6575546425,1.6337886788,1.6100439438,1.586307386,1.5626298433,1.5390405504,1.5155013122,1.4920586367,1.4687499915,1.4456276849,1.4226798482,1.3999238697,1.377365018,1.3550384306,1.3329638012,1.3111810566,1.2896714152,1.267489987,1.2451004328,1.2231098852,1.2017456517,1.1810441838,1.1609919217,1.1414718653,1.1224372956,1.103805807,1.0856474053,1.0679196833,1.0505970139,1.0336710917,1.0171941738,1.0010963497,0.985412746,0.9700650631,0.9550145442,0.940273662,0.9258662995,0.9118237705,0.8980958262,0.8846893449,0.8716204532,0.8588852555,0.8464743411,0.8343838104,0.8225904456,0.8111003087,0.799926605,0.7890272582,0.7783897522,0.7680100373,0.7578885024,0.7480050283,0.7383521693,0.7289217806,0.7197165994,0.7107248334,0.7019684744,0.7021929322,0.7047992504,0.7077479835,0.7104330913,0.7126818024,0.714498149,0.7159454737,0.717097536,0.718020508,0.7187681041,0.7193818517,0.7198930405,0.7203249309,0.7206947113,0.7210150722,0.7212954098,0.7215427242,0.7217622769,0.7219580685,0.7221331845,0.7222900428,0.7224305734,0.7225563461,0.7226686633,0.7227686264,0.7228571844,0.7229351681,0.7230033162,0.7230622936,0.7231127052,0.7231551061,0.7231900096,0.7232178925,0.7232392001,0.7232543498,0.7232637334,0.7232677202,0.7232666582,0.7232608761,0.7232506847,0.7232363781,0.7232182344
2901,1.2394705989,1.3395400564,1.3848063757,1.4307467671,1.4758747576,1.5223226361,1.5687656356,1.6145700341,1.6595285835,1.703473049,1.7462782498,1.7870523091,1.8246238514,1.8602677999,1.8942927105,1.9268516557,1.9581212289,1.988027241,2.0166243871,2.0435993346,2.0686245118,2.0916079499,2.1126138624,2.1316160041,2.1483134973,2.1614899082,2.171362445,2.1779475838,2.1796097948,2.1762388032,2.1682812201,2.1557781368,2.1387046287,2.1170874011,2.0912202685,2.0618205748,2.0298703892,1.9956556115,1.961335966,1.9278326208,1.895016659,1.8626665341,1.8306384097,1.7988380185,1.767248879,1.7359755843,1.7049959036,1.6743296608,1.6440229066,1.6141003342,1.5845655518,1.5554203644,1.5266768016,1.4983224041,1.4703823217,1.4428599572,1.4157339012,1.3890278972,1.3627367516,1.3368083493,1.3112765455,1.2861184258,1.2612853113,1.236824516,1.2126930184,1.1889199435,1.1655081096,1.142385127,1.1195767075,1.0970965249,1.074973726,1.0531654713,1.0316652348,1.0104542849,0.9895485301,0.9689463436,0.948669586,0.928675418,0.9091387884,0.8903573714,0.8723240168,0.8550547921,0.8384877879,0.822567305,0.8071503423,0.7921876166,0.7775924201,0.7634478973,0.7497044775,0.7363343895,0.7233298868,0.7107490601,0.6985115178,0.6866588792,0.6751042357,0.663810185,0.6527958129,0.6420893154,0.6317249342,0.621646053,0.6118640831,0.602398825,0.5932465613,0.5843982752,0.5758516728,0.567583018,0.5596020023,0.5519245413,0.5445044661,0.5373315217,0.5304039932,0.5237240876,0.5172706904,0.5110377838,0.5050180815,0.499216095,0.4936194116,0.4882534714,0.4831169701,0.4781878727,0.4734563325,0.4689275634,0.4645950118,0.4604661977,0.4565171858,0.452740531,0.4491389675,0.4456963423,0.4424354085,0.4393381432,0.4363963684,0.4336033246,0.430950125,0.4284150271,0.4260118502,0.4237257797,0.4215561757,0.4194995933,0.4175523679,0.4157072048,0.4139471665,0.4122733354,0.4106897194,0.409190745,0.4077729973,0.4064334349,0.4051699132,0.4039801889,0.4028635791,0.4018195699,0.4008483394,0.3999546535,0.3991467846,0.3983526583,0.3975693032,0.396800424,0.3960510939,0.395325011,0.3946248636,0.3939519366
5004,1.2968837467,1.3321772456,1.3777641612,1.4329612367,1.4898805407,1.5491045258,1.6084870658,1.6673662455,1.7259487209,1.7838633227,1.840744904,1.8951285748,1.9450584204,1.9926200729,2.0380641467,2.0816352909,2.1234821454,2.1635235473,2.2018225043,2.2380185185,2.2717925221,2.3030233943,2.3317670167,2.3581398874,2.3815053905,2.3984919562,2.4108833408,2.4191015697,2.4193618691,2.4122342204,2.3991429991,2.3801247964,2.3550871333,2.3239982173,2.288807486,2.2529644138,2.2176475495,2.1832881328,2.1496058739,2.1161795412,2.0827814536,2.0493331042,2.015847521,1.9823462415,1.9488884572,1.9155988378,1.882468374,1.8495440494,1.8168954993,1.7845654372,1.7525757326,1.720947769,1.6897122619,1.658872343,1.6284700583,1.5985205056,1.5690141215,1.5399888066,1.5114474905,1.4833466153,1.4557335481,1.4285882778,1.4018680111,1.3756293875,1.3498268003,1.3244949088,1.2996353442,1.2751752747,1.251148671,1.2275671355,1.2044574099,1.181773164,1.1595126704,1.1376589311,1.1162300082,1.0952228804,1.0746600748,1.0544979087,1.0336015884,1.0126450932,0.9922522161,0.9725348025,0.9534690607,0.9350345415,0.9171170387,0.899697817,0.8827052446,0.8662343247,0.8502281159,0.8346631572,0.81953554,0.8049036822,0.7906815758,0.7769185209,0.76352531,0.7504729636,0.7377835585,0.725480354,0.7135912289,0.7020550688,0.6908881742,0.6801088529,0.66971016,0.6596825825,0.6500241675,0.6407109927,0.631753607,0.6231649699,0.6148960869,0.6069394829,0.5992924962,0.5919542302,0.5849003729,0.5781237378,0.5716144981,0.5653740457,0.5593861372,0.5536730389,0.5482276338,0.5430254465,0.5380566372,0.5333247395,0.5288198948,0.5292259057,0.5342381076,0.5391623745,0.5439482429,0.5486037856,0.5531280286,0.5575190433,0.5617753978,0.565896368,0.5698819534,0.5737328334,0.577450296,0.5810361544,0.5844926604,0.587822421,0.5910283223,0.5941134619,0.5970810902,0.5999345609,0.6026772889,0.6053127165,0.607844285,0.6102754129,0.6126094773,0.6148498009,0.6169996407,0.6190621803,0.6210405239,0.6229376927,0.6247566217,0.6265001588,0.6281710636,0.6297720083,0.6313055779,0.6327742716,0.6341805043,0.6355266081
5038,1.3206065016,1.3845096788,1.4399695259,1.4997169971,1.5587538991,1.6193425949,1.6800350703,1.7403651294,1.8003688952,1.8597786016,1.9183023153,1.9749965291,2.0285874313,2.079981091,2.129165371,2.1760326207,2.2207412195,2.2632466441,2.3034560262,2.3411310415,2.3760388269,2.4080786571,2.4372824563,2.463500379,2.4863417806,2.5043565827,2.5178187744,2.5265934563,2.5287390698,2.5240246298,2.5126518414,2.4943724563,2.472430101,2.4476856777,2.4209291544,2.3930453753,2.3649790698,2.3372823417,2.3099623745,2.2828289598,2.255729521,2.2285567112,2.2012460236,2.1737383204,2.1460120668,2.1181250858,2.0900440066,2.0617770658,2.0333515494,2.0047825334,1.9760753148,1.9472370406,1.9182833476,1.889213036,1.8600543137,1.8308200562,1.8015085676,1.772152444,1.7427630744,1.7133208695,1.6838690391,1.6544070541,1.6249195928,1.5954603091,1.5660153832,1.5366285514,1.5073228955,1.4780697787,1.4489115603,1.419877062,1.3910098077,1.3623028352,1.3337767262,1.3054387214,1.2773199703,1.2494373845,1.2218260241,1.1944730421,1.1672042413,1.140319548,1.1139887719,1.0883091326,1.0633033798,1.0389842413,1.0152827908,0.9921831136,0.9696251422,0.9476666826,0.9262645205,0.9053975443,0.885055655,0.8652757828,0.845995031,0.8272428943,0.8089498468,0.7910836286,0.7736468408,0.7566481304,0.7401047153,0.7239714094,0.7082541685,0.6929615264,0.678086596,0.6636203174,0.6495581439,0.6358791875,0.6259723118,0.6232581152,0.6220129619,0.6219326822,0.6225882906,0.6236767448,0.6249969052,0.6264183383,0.627858625,0.6292675724,0.6306163327,0.6318899576,0.6330823468,0.6341928547,0.6352240397,0.6361801953,0.6370664129,0.6378880005,0.6386501393,0.6393576937,0.6400151221,0.6406264471,0.641195264,0.6417247687,0.6422177955,0.6426768582,0.6431041909,0.6435017858,0.6438714278,0.6442147239,0.6445331297,0.6448279715,0.6451004647,0.6453517299,0.6455828058,0.6457946602,0.6459881989,0.6461642733,0.6463236867,0.6464671995,0.6465955331,0.6467093742,0.6468093774,0.6468961678,0.6469703432,0.6470324762,0.6470831156,0.647122788,0.6471519989,0.6471712339,0.6471809595,0.6471816246,0.6471736605,0.6471574824
5346,1.2816284184,1.3310051833,1.3791461498,1.4405589892,1.5029717614,1.5662545309,1.6293368923,1.6918484635,1.754528323,1.8168999753,1.8783486005,1.9376552803,1.9932804215,2.0468481606,2.0986933183,2.1500203779,2.200316111,2.249279604,2.2971531015,2.3435270405,2.3879811525,2.4298136433,2.4683078243,2.5044732739,2.5375393089,2.5624362537,2.5819426922,2.596809969,2.601461884,2.5968076894,2.5863805517,2.5739801949,2.5599683129,2.5446504077,2.5284741156,2.5120745604,2.4961732412,2.4809622352,2.4660090747,2.4508149773,2.435095204,2.4187116752,2.4016219841,2.3838034299,2.365285022,2.3461747689,2.3264567666,2.3061790115,2.2854106161,2.2641972286,2.2425693147,2.2205602516,2.1982140063,2.1755498931,2.1526269105,2.1294782918,2.1061171343,2.082603495,2.0589636672,2.0351833084,2.0113361879,1.9874299041,1.9634543928,1.9394939479,1.9155333953,1.891636872,1.8678340622,1.8440852477,1.8204526086,1.7969731341,1.7736981102,1.750607792,1.7277247295,1.7050541935,1.682633662,1.6604781105,1.6386253039,1.6170474276,1.5947174699,1.5722871557,1.550339712,1.528987887,1.5082149219,1.4880057026,1.4682525524,1.4489387655,1.4299953097,1.4115128854,1.393433989,1.3757334343,1.3584038051,1.3414974171,1.3249271149,1.3087365309,1.2928354692,1.2771926986,1.2618261621,1.2467548328,1.2390031734,1.2394094169,1.2396884307,1.2397486848,1.2396537889,1.2394452935,1.2391476657,1.2387757654,1.2383392412,1.2378449306,1.2372981514,1.236703386,1.236064637,1.235385604,1.2346697678,1.2339204259,1.233140706,1.2323335689,1.2315018093,1.2306480558,1.2297747729,1.2288842641,1.2279786773,1.2270600101,1.2261301173,1.2251907185,1.2242434051,1.2232896489,1.2223308093,1.2213681411,1.2204028015,1.2194358569,1.2184682894,1.2175010029,1.2165348289,1.2155705315,1.2146088125,1.213650316,1.2126956324,1.2117453028,1.2107998221,1.2098596428,1.2089251777,1.207996803,1.2070748611,1.2061596628,1.2052514897,1.2043505962,1.2034572116,1.2025715417,1.2016937707,1.2008240626,1.1999625627,1.199109399,1.198264683,1.1974285115,1.1966009674,1.1957821203,1.194972028,1.1941707371,1.1933782838,1.1925946945
6016,1.3671564589,1.4580218741,1.5161858978,1.5780064225,1.6377739606,1.7007411713,1.7636891513,1.8257544522,1.8870254263,1.9471742302,2.0058921168,2.0615371301,2.1120157571,2.1596938275,2.2046513557,2.2461389139,2.2850672824,2.3215656473,2.3553429964,2.3861310859,2.4137465255,2.4384390621,2.4607199198,2.4799851496,2.4956051683,2.5052053262,2.5097563229,2.5093282167,2.5020770094,2.4878668496,2.4669708886,2.440305681,2.4120610854,2.3828045767,2.3531259345,2.3238467031,2.2959000503,2.2695987818,2.244486159,2.2199717447,2.1956792099,2.1713883089,2.1469848767,2.1223781699,2.097541301,2.07255014,2.0473376447,2.0219122324,1.9963108127,1.9705462452,1.9446160076,1.9185229516,1.892284399,1.8658912312,1.8393824565,1.812769903,1.7860439851,1.7592514551,1.7324023683,1.7054613268,1.6784964267,1.6515015711,1.6244519825,1.5974336281,1.5704198057,1.5434775296,1.5166357466,1.4898445753,1.4631721156,1.4366584658,1.410362539,1.3842624547,1.3583851037,1.3327369566,1.3073622017,1.2822798594,1.2575360954,1.2331016471,1.2083150583,1.1837923502,1.1599505516,1.136897828,1.1146184473,1.0930951435,1.0722000403,1.0519076389,1.0321317464,1.0129719313,0.9943603016,0.9762687977,0.9586884415,0.9416787957,0.9251405288,0.9091238026,0.893524011,0.8783042992,0.8634824374,0.8490784646,0.8351184305,0.8215304445,0.8083271905,0.7955224227,0.7945456063,0.7981183546,0.801706212,0.8051238442,0.8082427423,0.8110205884,0.8134649563,0.8156056665,0.8174796168,0.8191232228,0.8205690985,0.8218449882,0.8229738164,0.8239742287,0.82486129,0.8256471759,0.8263417844,0.8269532444,0.8274883235,0.8279527446,0.8283514294,0.8286886816,0.8289683243,0.8291938016,0.8293682547,0.8294945778,0.8295754594,0.8296134139,0.8296108049,0.8295698628,0.829492699,0.8293813163,0.8292376186,0.829063417,0.8288604368,0.8286303224,0.8283746416,0.8280948902,0.8277924953,0.8274688191,0.8271251615,0.8267627635,0.8263828095,0.8259864303,0.8255747052,0.8251486644,0.8247092913,0.8242575244,0.8237942593,0.8233203505,0.8228366135,0.8223438262,0.8218427305,0.8213340341,0.8208184116,0.8202965066,0.819768932,0.8192362725
6120,1.3092895241,1.3812968466,1.4295561928,1.4841976869,1.5394285343,1.5962761181,1.6532111322,1.7096464924,1.7660456779,1.8220156551,1.8770303622,1.9298015034,1.9786857028,2.025197294,2.0696054872,2.1123247695,2.1533258615,2.1924751244,2.2300593233,2.2657038474,2.2989576225,2.3293907453,2.3566582545,2.3811036362,2.4023124813,2.4181265147,2.4294800886,2.4366055888,2.4362419608,2.4286966572,2.4151667398,2.3957922091,2.3705678602,2.3395033692,2.3070624324,2.2747572749,2.2436539873,2.214197509,2.1860879967,2.1588228318,2.1320335803,2.1054755458,2.079001046,2.0524935691,2.0258996525,1.9992621387,1.9725115907,1.9456419802,1.9186763182,1.8916212082,1.8644712518,1.8372260051,1.8098984776,1.7824806634,1.7550054755,1.7274852516,1.699913527,1.6723310801,1.6447497896,1.6171410755,1.589562509,1.5620122649,1.5344693773,1.5070063439,1.4796034801,1.4523170872,1.4251739593,1.3981309457,1.3712419163,1.3445414088,1.3180799184,1.2918383348,1.2658351711,1.2400723724,1.2145837728,1.1893830754,1.1645066474,1.139926086,1.1161970384,1.0935286798,1.0717387619,1.0508249481,1.0307253495,1.0113907932,0.9926855588,0.9745648299,0.9569394227,0.9398848953,0.9233416525,0.9072793805,0.8916858336,0.8766112741,0.8619698495,0.8478002531,0.8340104269,0.8205608889,0.8074629826,0.7947343113,0.7823996304,0.7703971706,0.7587350626,0.7474260846,0.7364603247,0.725824447,0.7155120122,0.7054954882,0.6957804705,0.68637741,0.6772370831,0.6683476214,0.6597034806,0.6513026285,0.6431208938,0.6351499995,0.6273799512,0.6198124791,0.6124329624,0.6052646178,0.5983040543,0.5915296042,0.5849322878,0.5882832518,0.5923521389,0.5965681119,0.6006436967,0.6044452065,0.6079313019,0.6111072821,0.6139988711,0.6166383506,0.6190577278,0.6212857589,0.6233469927,0.6252618082,0.6270468816,0.6287157899,0.6302796058,0.6317474231,0.6331267923,0.6344240692,0.6356446861,0.6367933605,0.6378742516,0.6388910795,0.6398472131,0.6407457365,0.6415894986,0.6423811501,0.643123172,0.6438178973,0.6444675275,0.6450741463,0.6456397302,0.646166157,0.6466552136,0.6471086021,0.6475279448,0.6479147899,0.648270615,0.6485968312
9563,1.4913978264,1.521857024,1.5992778646,1.6920916522,1.7797166935,1.8702428604,1.9614297788,2.0519698496,2.1436773149,2.2354748643,2.3258853443,2.4127021718,2.493267377,2.5698282313,2.6421862663,2.7100199402,2.7733155398,2.8317400723,2.8852431166,2.9331609833,2.9747966327,3.0090975222,3.0349346897,3.0528146533,3.061132609,3.057887491,3.0482218399,3.0337378137,3.0097416351,2.9776656744,2.9400500962,2.8975077515,2.8505274764,2.7996709734,2.745778018,2.6900694457,2.6340037128,2.5783262751,2.5228015151,2.4669788314,2.4106539521,2.3538064169,2.2965266102,2.238904655,2.1810748945,2.123247468,2.0654507065,2.0077924835,1.9504082219,1.8933922903,1.8368071346,1.7807108356,1.7251699266,1.6702075255,1.6158968686,1.5622688302,1.5093170692,1.4570976832,1.4056147048,1.3548071192,1.304737255,1.2553723154,1.2066506841,1.1586464008,1.1112945448,1.0646443732,1.0187017529,0.9733774763,0.9287294074,0.8847858974,0.8416014815,0.7991377768,0.7616032545,0.747749777,0.7400592961,0.733866521,0.7291667464,0.7257929241,0.7222773085,0.7191212669,0.7169212297,0.7155967923,0.7150397846,0.7151547802,0.7158586585,0.7170784908,0.718749846,0.7208154913,0.7232243813,0.7259308573,0.7288939994,0.7320770902,0.7354471636,0.7389746188,0.7426328839,0.746398121,0.7502489641,0.7541662851,0.7581329832,0.7621337951,0.7661551229,0.770184878,0.7742123397,0.7782280258,0.7822235757,0.786191643,0.7901257987,0.7940204422,0.7978707209,0.8016724566,0.8054220786,0.8091165631,0.8127533777,0.8163304313,0.8198460285,0.823298828,0.826687805,0.8300122173,0.833271574,0.8364656079,0.8395942498,0.8426576057,0.8456559361,0.8485896371,0.8514592235,0.8542653137,0.8570086158,0.859689915,0.8623100631,0.8648699676,0.8673705834,0.8698129045,0.8721979567,0.8745267913,0.8768004791,0.8790201055,0.881186766,0.8833015618,0.8853655965,0.8873799727,0.8893457896,0.89126414,0.8931361086,0.8949627699,0.8967451868,0.8984844088,0.9001814713,0.9018373943,0.9034531814,0.9050298196,0.9065682781,0.9080695085,0.9095344438,0.9109639987,0.9123590688,0.9137205312,0.9150492439,0.916346046,0.9176117579,0.9188471811
9581,1.2361344729,1.2923344668,1.3321852228,1.3822349462,1.4325647121,1.4844045415,1.5357380655,1.5861258341,1.6357979025,1.6845164193,1.7320578506,1.7774017102,1.8192705805,1.8593715899,1.8978339841,1.9349596673,1.9708136993,2.0052941287,2.0383305218,2.0696648484,2.0991210886,2.126663307,2.1524143552,2.1764862714,2.1984338457,2.2160939207,2.230784187,2.2427023957,2.2490982818,2.2505537613,2.248083761,2.2416807878,2.2313149083,2.2170206484,2.1990577424,2.1780118743,2.1546107973,2.1289009092,2.1012106752,2.0739863434,2.046876388,2.0197585249,1.9926047083,1.9653869139,1.9381155522,1.9108751948,1.8836184568,1.8563628432,1.8291437816,1.8019743966,1.7748566403,1.747798467,1.720819874,1.6939186664,1.6671333925,1.640477238,1.6139467485,1.5875856817,1.5614037496,1.5353744027,1.5095586983,1.4839498288,1.4585279767,1.4333657123,1.4084348049,1.3837888659,1.3594443535,1.3353527001,1.3115683165,1.2881156837,1.265033948,1.2422928154,1.2199073898,1.1978740606,1.1762213859,1.154954185,1.1341006356,1.1136237424,1.0931411989,1.0731826634,1.0540015335,1.0356316885,1.0180192918,1.0011266524,0.9848300498,0.969104405,0.9538703793,0.9392106854,0.9250529723,0.9113659865,0.8981357667,0.88540699,0.8730824083,0.8612037442,0.8496726051,0.8384576086,0.8275740795,0.8170353154,0.806858494,0.7969744101,0.7873950634,0.778130931,0.7691680176,0.7604918659,0.7520964282,0.7439545241,0.7360747517,0.7284666786,0.7210791407,0.713906201,0.7069451717,0.7001950375,0.6936317608,0.6872500535,0.6810414966,0.6750092142,0.6691383368,0.6634537071,0.6579487913,0.6526014352,0.6474056981,0.6423686341,0.6374831001,0.6327575655,0.6281679738,0.6237115185,0.6193930742,0.6151969617,0.6111486662,0.6072277604,0.6034298866,0.59975125,0.5961854131,0.5927134449,0.5893534611,0.5860894705,0.5829237117,0.579853893,0.5768777749,0.5739896761,0.5711749493,0.5684383747,0.5657846192,0.5632080323,0.560706851,0.5582795849,0.5559255367,0.5536437515,0.5514348524,0.5492994025,0.5472386529,0.5452584147,0.5433673698,0.5414927632,0.5396443221,0.5378270966,0.5360444691,0.5342983131,0.5325901827,0.5309208234
9877,1.4157370616,1.4824230491,1.5608594133,1.6465921556,1.7260844612,1.8077319701,1.8891353641,1.9696060972,2.0496352066,2.128595675,2.2058034506,2.2797145726,2.3484449297,2.4136398521,2.4752074945,2.5334568669,2.5880496499,2.6386395789,2.6851443252,2.726979175,2.7635359009,2.7940982803,2.8179893308,2.8352653946,2.8449266899,2.8444993366,2.8398744884,2.8320090574,2.8177746976,2.7982582937,2.7751389509,2.7488049369,2.7196029837,2.687923436,2.6543852192,2.6199335526,2.5857215004,2.5522761975,2.5192667111,2.4861658132,2.4526456545,2.4185371361,2.3837855175,2.3483592192,2.3122938414,2.2757364704,2.2386696986,2.2011579997,2.1632969308,2.1251536127,2.0867741505,2.0482061156,2.009509003,1.9707072067,1.9318743685,1.893048004,1.8542349618,1.8154997529,1.7768592927,1.7382723567,1.6998087132,1.6614484413,1.6231456601,1.5849748666,1.5468799432,1.5089088251,1.4710649411,1.4332643913,1.3955556413,1.3579556456,1.3205058156,1.2831624937,1.245940983,1.2088369768,1.171891912,1.1351239114,1.1191268258,1.1101963369,1.1021075119,1.095073323,1.0888285202,1.0830620221,1.0775683447,1.0722201351,1.0669429646,1.0616972777,1.0564658473,1.0512451878,1.0460397731,1.0408582213,1.0357108435,1.0306081284,1.0255598586,1.0205746444,1.0156597276,1.0108209539,1.006062844,1.001388718,0.9968008438,0.9923005901,0.9878885734,0.9835647925,0.9793287484,0.9751795475,0.9711159903,0.9671366447,0.963239908,0.9594240562,0.9556872849,0.9520277416,0.9484435513,0.9449328366,0.9414937332,0.9381244018,0.9348230367,0.9315878723,0.9284171876,0.9253093089,0.922262612,0.9192755229,0.9163465177,0.9134741226,0.9106569129,0.9078935119,0.90518259,0.9025228626,0.8999130894,0.8973520721,0.8948386534,0.8923717149,0.8899501759,0.8875729919,0.8852391528,0.8829476816,0.8806976333,0.8784880929,0.8763181748,0.8741870211,0.8720938007,0.870037708,0.868017962,0.8660338049,0.8640845018,0.862169339,0.8602876237,0.8584386828,0.8566218623,0.8548365266,0.8530820574,0.8513578535,0.8496633298,0.8479979168,0.8463610599,0.844752219,0.8431708679,0.8416164938,0.8400885966,0.8385866887,0.8371102946,0.83565895
